tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,dpi,resolution,quality,indexed,time
0,1,1,1,0,1,0,100,8294400,0.9,8,1.78
0,0,0,0,0,1,1,100,307200,0.1,2,1.22
0,1,0,0,0,0,1,400,307200,0.1,1,1.18
0,1,1,0,0,0,1,400,307200,0.1,1,1.32
0,1,1,1,0,1,0,50,8294400,0.9,8,1.83
0,0,0,0,0,1,1,400,307200,0.1,1,1.23
0,1,1,0,1,0,0,200,307200,0.1,1,1.16
0,1,1,1,0,0,0,50,2073600,0.1,1,1.36
0,1,0,0,0,0,1,400,307200,0.1,8,1.19
1,1,1,0,0,1,0,400,2073600,0.1,8,1.42
0,1,1,1,0,1,0,50,2073600,0.9,8,1.46
1,1,1,0,0,0,0,200,307200,0.1,1,1.11
0,0,0,0,1,0,0,400,8294400,0.1,2,2.86
0,1,1,1,0,1,0,100,2073600,0.9,8,1.46
1,1,1,0,0,1,0,400,2073600,0.1,4,1.4
0,1,1,1,0,1,0,400,2073600,0.9,8,1.49
0,0,0,0,0,1,1,400,307200,0.1,8,1.21
0,1,1,0,1,1,0,400,2073600,0.1,8,1.74
0,0,0,0,1,0,0,50,8294400,0.1,1,2.65
1,0,0,0,0,0,0,50,8294400,0.1,1,1.73
0,0,0,0,1,0,0,50,2073600,0.1,1,1.42
0,1,1,1,0,1,0,50,307200,0.9,8,1.22
1,0,0,0,0,0,0,50,2073600,0.1,1,1.25
1,1,1,0,0,0,0,400,307200,0.1,1,1.14
0,1,0,0,0,0,1,200,307200,0.1,8,1.21
0,1,1,1,0,1,0,100,307200,0.9,8,1.13
0,0,0,0,1,0,0,100,2073600,0.1,1,1.38
0,1,1,1,0,1,0,200,2073600,0.9,8,1.47
0,1,1,0,1,0,0,400,307200,0.1,1,1.21
0,1,1,0,0,0,1,50,307200,0.1,1,1.3
0,1,1,0,0,0,1,100,307200,0.1,1,1.33
1,0,0,0,0,0,0,100,2073600,0.1,1,1.21
0,1,1,1,0,1,0,200,8294400,0.9,8,1.79
0,1,1,1,0,1,0,400,8294400,0.9,8,1.92
0,1,1,0,1,1,0,400,2073600,0.1,4,1.72
0,1,1,0,0,1,1,50,2073600,0.1,8,1.33
0,0,0,0,0,1,1,200,307200,0.1,8,1.24
0,1,1,0,1,0,0,50,307200,0.1,1,1.13
0,1,0,0,0,0,1,100,307200,0.1,8,1.22
0,0,0,0,0,1,1,100,307200,0.1,8,1.2
1,1,1,0,0,0,0,50,307200,0.1,1,1.14
0,0,1,0,0,0,1,200,307200,0.1,8,1.33
1,1,1,0,0,0,0,100,307200,0.1,1,1.15
0,1,1,1,0,1,0,400,8294400,0.1,8,1.72
0,1,1,0,0,1,1,50,2073600,0.1,4,1.36
0,1,1,0,1,0,0,100,307200,0.1,1,1.21
0,1,1,0,0,1,1,200,2073600,0.1,8,1.35
0,0,1,0,1,1,0,400,307200,0.1,1,1.2
0,0,0,0,1,0,0,100,8294400,0.1,1,2.65
1,0,0,0,0,0,0,100,8294400,0.1,1,1.69
0,1,1,0,0,1,1,200,2073600,0.1,4,1.41
0,0,0,0,0,0,1,100,8294400,0.1,1,1.17
1,0,1,0,0,1,0,400,307200,0.1,1,1.19
0,1,1,1,0,1,0,200,8294400,0.1,8,1.69
0,0,1,0,0,0,1,100,307200,0.1,8,1.29
0,1,1,1,0,1,0,400,2073600,0.1,8,1.36
0,1,0,0,0,0,1,200,307200,0.1,4,1.17
0,1,1,1,0,1,0,200,2073600,0.1,8,1.39
0,1,1,1,0,1,0,50,307200,0.1,8,1.16
0,0,0,0,0,0,1,100,2073600,0.1,1,1.25
1,0,0,0,0,0,0,100,307200,0.1,1,0.99
0,0,1,0,0,0,1,200,307200,0.1,4,1.27
0,0,0,0,0,1,1,200,307200,0.1,4,1.21
0,1,0,0,0,0,1,200,307200,0.1,1,1.18
0,1,1,1,0,1,0,100,307200,0.1,8,1.13
0,1,1,0,0,1,1,400,307200,0.1,8,1.35
0,0,1,0,0,0,1,200,307200,0.1,1,1.28
0,1,1,0,0,1,1,400,307200,0.1,4,1.31
0,0,1,0,0,1,1,400,307200,0.1,1,1.35
0,0,1,0,1,1,0,50,307200,0.1,1,1.21
0,0,0,0,1,0,0,100,307200,0.1,1,1.08
1,1,1,0,0,1,0,50,307200,0.1,8,1.18
1,0,1,0,0,1,0,50,307200,0.1,1,1.19
1,0,0,0,0,0,0,50,307200,0.1,1,0.97
0,0,1,0,0,1,1,50,307200,0.1,1,1.37
1,0,1,0,0,1,0,100,307200,0.1,1,1.31
0,0,0,0,0,1,1,200,307200,0.1,1,1.22
0,1,0,0,0,0,1,100,307200,0.1,4,1.21
0,0,1,0,0,0,1,100,307200,0.1,4,1.29
0,1,1,1,0,1,0,400,307200,0.1,8,1.16
1,1,1,0,0,1,0,50,307200,0.1,4,1.22
0,0,0,0,0,1,1,100,307200,0.1,4,1.25
0,1,0,0,0,0,1,100,307200,0.1,1,1.19
0,1,1,0,1,1,0,50,307200,0.1,8,1.25
0,0,1,0,0,0,1,100,307200,0.1,1,1.32
0,1,1,1,0,1,0,200,307200,0.1,8,1.19
0,1,1,0,1,1,0,50,307200,0.1,4,1.2
0,0,1,0,1,1,0,100,307200,0.1,1,1.17
1,1,1,0,0,1,0,200,307200,0.1,8,1.21
0,0,0,0,0,1,1,100,307200,0.1,1,1.25
0,0,1,0,0,1,1,100,307200,0.1,1,1.31
0,0,1,1,0,0,0,400,307200,0.9,1,1.16
0,0,1,1,0,0,0,400,307200,0.9,4,1.07
0,1,0,0,1,0,0,100,307200,0.1,8,1.11
0,0,1,1,0,0,0,400,307200,0.9,2,1.12
0,1,1,1,0,1,0,400,307200,0.9,8,1.16
0,0,0,1,0,1,0,400,307200,0.9,4,1.07
1,1,1,0,0,1,0,200,307200,0.1,4,1.17
0,1,1,0,1,1,0,200,307200,0.1,8,1.36
0,1,1,0,1,1,0,200,307200,0.1,4,1.27
0,1,0,0,1,0,0,100,307200,0.1,4,1.07
0,0,0,0,1,0,0,50,307200,0.1,1,1.04
0,1,0,1,0,0,0,400,307200,0.9,4,0.94
0,1,1,0,1,1,0,400,8294400,0.1,4,3.18
0,1,1,0,1,1,0,400,8294400,0.1,8,2.98
1,0,0,0,0,0,0,400,307200,0.1,1,1.08
0,0,1,0,1,0,0,100,307200,0.1,8,1.23
0,0,0,0,1,0,0,400,307200,0.1,1,1.06
0,0,0,0,0,0,1,400,307200,0.1,1,1.24
0,1,1,0,1,1,0,400,307200,0.1,1,1.26
0,0,1,0,1,0,0,100,307200,0.1,4,1.15
0,0,0,0,0,0,1,50,307200,0.1,1,1.14
0,0,0,0,0,0,1,100,307200,0.1,1,1.19
1,0,0,0,0,0,0,400,307200,0.1,4,1.0
0,1,1,1,0,1,0,200,307200,0.9,8,1.2
0,0,0,0,1,1,0,100,307200,0.1,8,1.08
0,1,1,1,0,1,0,100,2073600,0.1,8,1.34
0,0,0,0,1,1,0,100,307200,0.1,4,1.07
0,0,0,0,1,1,0,200,307200,0.1,8,1.13
0,0,0,0,1,0,0,400,307200,0.1,4,1.09
0,1,1,1,0,1,0,100,2073600,0.9,4,1.38
1,0,0,0,0,1,0,200,307200,0.1,8,1.05
1,0,0,0,0,0,0,50,307200,0.1,4,1.03
0,0,0,1,0,0,0,200,307200,0.9,8,0.98
0,1,1,1,0,1,0,100,2073600,0.1,4,1.33
0,1,1,1,0,1,0,100,2073600,0.9,1,1.45
0,0,0,0,1,0,0,50,307200,0.1,4,1.08
1,1,1,0,0,1,0,400,307200,0.1,1,1.15
1,0,0,0,0,0,0,100,307200,0.1,4,0.98
0,0,0,1,0,0,0,200,307200,0.1,8,1.06
0,0,0,0,0,1,1,200,2073600,0.1,8,1.25
0,0,0,0,1,1,0,200,2073600,0.1,8,1.58
0,1,1,1,0,1,0,50,2073600,0.9,1,1.37
0,0,0,1,0,1,0,400,307200,0.9,1,1.09
0,1,0,1,0,0,0,400,307200,0.9,1,0.94
0,1,1,0,1,1,0,50,8294400,0.1,1,2.7
0,0,0,1,0,1,0,400,307200,0.9,2,1.04
1,0,0,0,0,1,0,200,2073600,0.1,8,1.25
0,0,0,1,0,0,0,200,2073600,0.9,8,1.21
