tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,dpi,resolution,quality,indexed,time
0,1,1,1,0,1,0,100,8294400,0.9,8,1.94
0,0,0,0,0,1,1,100,307200,0.1,2,2.82
0,1,0,0,0,0,1,400,307200,0.1,1,2.88
0,1,1,0,0,0,1,400,307200,0.1,1,3.04
0,1,1,1,0,1,0,50,8294400,0.9,8,2.04
0,0,0,0,0,1,1,400,307200,0.1,1,2.9
0,1,1,0,1,0,0,200,307200,0.1,1,1.72
0,1,1,1,0,0,0,50,2073600,0.1,1,1.68
0,1,0,0,0,0,1,400,307200,0.1,8,2.79
1,1,1,0,0,1,0,400,2073600,0.1,8,1.85
0,1,1,1,0,1,0,50,2073600,0.9,8,1.78
1,1,1,0,0,0,0,200,307200,0.1,1,1.65
0,0,0,0,1,0,0,400,8294400,0.1,2,2.06
0,1,1,1,0,1,0,100,2073600,0.9,8,1.82
1,1,1,0,0,1,0,400,2073600,0.1,4,1.78
0,1,1,1,0,1,0,400,2073600,0.9,8,1.92
0,0,0,0,0,1,1,400,307200,0.1,8,2.92
0,1,1,0,1,1,0,400,2073600,0.1,8,2.06
0,0,0,0,1,0,0,50,8294400,0.1,1,2.01
1,0,0,0,0,0,0,50,8294400,0.1,1,1.77
0,0,0,0,1,0,0,50,2073600,0.1,1,1.6
0,1,1,1,0,1,0,50,307200,0.9,8,1.66
1,0,0,0,0,0,0,50,2073600,0.1,1,1.5
1,1,1,0,0,0,0,400,307200,0.1,1,1.63
0,1,0,0,0,0,1,200,307200,0.1,8,2.89
0,1,1,1,0,1,0,100,307200,0.9,8,1.7
0,0,0,0,1,0,0,100,2073600,0.1,1,1.59
0,1,1,1,0,1,0,200,2073600,0.9,8,1.84
0,1,1,0,1,0,0,400,307200,0.1,1,1.72
0,1,1,0,0,0,1,50,307200,0.1,1,3.1
0,1,1,0,0,0,1,100,307200,0.1,1,3.14
1,0,0,0,0,0,0,100,2073600,0.1,1,1.51
0,1,1,1,0,1,0,200,8294400,0.9,8,1.94
0,1,1,1,0,1,0,400,8294400,0.9,8,1.98
0,1,1,0,1,1,0,400,2073600,0.1,4,2.02
0,1,1,0,0,1,1,50,2073600,0.1,8,3.07
0,0,0,0,0,1,1,200,307200,0.1,8,2.86
0,1,1,0,1,0,0,50,307200,0.1,1,1.68
0,1,0,0,0,0,1,100,307200,0.1,8,3.01
0,0,0,0,0,1,1,100,307200,0.1,8,2.88
1,1,1,0,0,0,0,50,307200,0.1,1,1.61
0,0,1,0,0,0,1,200,307200,0.1,8,3.13
1,1,1,0,0,0,0,100,307200,0.1,1,1.66
0,1,1,1,0,1,0,400,8294400,0.1,8,2.04
0,1,1,0,0,1,1,50,2073600,0.1,4,3.12
0,1,1,0,1,0,0,100,307200,0.1,1,1.68
0,1,1,0,0,1,1,200,2073600,0.1,8,3.15
0,0,1,0,1,1,0,400,307200,0.1,1,1.76
0,0,0,0,1,0,0,100,8294400,0.1,1,1.94
