tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,dpi,resolution,quality,indexed,time
0,1,1,1,0,1,0,100,8294400,0.9,8,7.7
0,0,0,0,0,1,1,100,307200,0.1,2,5.55
0,1,0,0,0,0,1,400,307200,0.1,1,5.14
0,1,1,0,0,0,1,400,307200,0.1,1,6.93
0,1,1,1,0,1,0,50,8294400,0.9,8,8.16
0,0,0,0,0,1,1,400,307200,0.1,1,5.69
0,1,1,0,1,0,0,200,307200,0.1,1,6.17
0,1,1,1,0,0,0,50,2073600,0.1,1,6.34
0,1,0,0,0,0,1,400,307200,0.1,8,5.31
1,1,1,0,0,1,0,400,2073600,0.1,8,6.84
0,1,1,1,0,1,0,50,2073600,0.9,8,6.66
1,1,1,0,0,0,0,200,307200,0.1,1,6.0
0,0,0,0,1,0,0,400,8294400,0.1,2,6.42
0,1,1,1,0,1,0,100,2073600,0.9,8,6.87
1,1,1,0,0,1,0,400,2073600,0.1,4,6.75
0,1,1,1,0,1,0,400,2073600,0.9,8,7.06
0,0,0,0,0,1,1,400,307200,0.1,8,5.78
0,1,1,0,1,1,0,400,2073600,0.1,8,7.1
0,0,0,0,1,0,0,50,8294400,0.1,1,6.18
1,0,0,0,0,0,0,50,8294400,0.1,1,5.76
0,0,0,0,1,0,0,50,2073600,0.1,1,4.95
0,1,1,1,0,1,0,50,307200,0.9,8,6.2
1,0,0,0,0,0,0,50,2073600,0.1,1,4.73
1,1,1,0,0,0,0,400,307200,0.1,1,5.9
0,1,0,0,0,0,1,200,307200,0.1,8,5.46
0,1,1,1,0,1,0,100,307200,0.9,8,6.29
0,0,0,0,1,0,0,100,2073600,0.1,1,4.99
0,1,1,1,0,1,0,200,2073600,0.9,8,6.9
0,1,1,0,1,0,0,400,307200,0.1,1,6.17
0,1,1,0,0,0,1,50,307200,0.1,1,7.0
0,1,1,0,0,0,1,100,307200,0.1,1,7.35
1,0,0,0,0,0,0,100,2073600,0.1,1,4.83
0,1,1,1,0,1,0,200,8294400,0.9,8,7.8
0,1,1,1,0,1,0,400,8294400,0.9,8,7.63
0,1,1,0,1,1,0,400,2073600,0.1,4,6.99
0,1,1,0,0,1,1,50,2073600,0.1,8,7.34
0,0,0,0,0,1,1,200,307200,0.1,8,5.7
0,1,1,0,1,0,0,50,307200,0.1,1,5.98
0,1,0,0,0,0,1,100,307200,0.1,8,5.63
0,0,0,0,0,1,1,100,307200,0.1,8,5.76
1,1,1,0,0,0,0,50,307200,0.1,1,5.77
0,0,1,0,0,0,1,200,307200,0.1,8,7.05
1,1,1,0,0,0,0,100,307200,0.1,1,6.11
0,1,1,1,0,1,0,400,8294400,0.1,8,8.01
0,1,1,0,0,1,1,50,2073600,0.1,4,7.38
0,1,1,0,1,0,0,100,307200,0.1,1,6.29
0,1,1,0,0,1,1,200,2073600,0.1,8,7.43
0,0,1,0,1,1,0,400,307200,0.1,1,6.41
0,0,0,0,1,0,0,100,8294400,0.1,1,6.23
1,0,0,0,0,0,0,100,8294400,0.1,1,5.76
0,1,1,0,0,1,1,200,2073600,0.1,4,7.55
0,0,0,0,0,0,1,100,8294400,0.1,1,5.38
1,0,1,0,0,1,0,400,307200,0.1,1,6.22
0,1,1,1,0,1,0,200,8294400,0.1,8,8.16
0,0,1,0,0,0,1,100,307200,0.1,8,6.96
0,1,1,1,0,1,0,400,2073600,0.1,8,6.61
