tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,dpi,resolution,quality,indexed,time
0,1,1,1,0,1,0,100,8294400,0.9,8,3.58
0,0,0,0,0,1,1,100,307200,0.1,2,5.36
0,1,0,0,0,0,1,400,307200,0.1,1,5.47
0,1,1,0,0,0,1,400,307200,0.1,1,5.47
0,1,1,1,0,1,0,50,8294400,0.9,8,3.81
0,0,0,0,0,1,1,400,307200,0.1,1,5.3
0,1,1,0,1,0,0,200,307200,0.1,1,2.81
0,1,1,1,0,0,0,50,2073600,0.1,1,2.93
0,1,0,0,0,0,1,400,307200,0.1,8,5.41
1,1,1,0,0,1,0,400,2073600,0.1,8,3.24
0,1,1,1,0,1,0,50,2073600,0.9,8,3.22
1,1,1,0,0,0,0,200,307200,0.1,1,2.71
0,0,0,0,1,0,0,400,8294400,0.1,2,3.81
0,1,1,1,0,1,0,100,2073600,0.9,8,3.25
1,1,1,0,0,1,0,400,2073600,0.1,4,3.13
0,1,1,1,0,1,0,400,2073600,0.9,8,3.36
0,0,0,0,0,1,1,400,307200,0.1,8,5.53
0,1,1,0,1,1,0,400,2073600,0.1,8,3.42
0,0,0,0,1,0,0,50,8294400,0.1,1,3.57
1,0,0,0,0,0,0,50,8294400,0.1,1,3.32
0,0,0,0,1,0,0,50,2073600,0.1,1,2.99
0,1,1,1,0,1,0,50,307200,0.9,8,2.81
1,0,0,0,0,0,0,50,2073600,0.1,1,2.83
1,1,1,0,0,0,0,400,307200,0.1,1,2.71
0,1,0,0,0,0,1,200,307200,0.1,8,5.33
0,1,1,1,0,1,0,100,307200,0.9,8,2.84
0,0,0,0,1,0,0,100,2073600,0.1,1,2.87
0,1,1,1,0,1,0,200,2073600,0.9,8,3.23
0,1,1,0,1,0,0,400,307200,0.1,1,2.91
0,1,1,0,0,0,1,50,307200,0.1,1,5.49
0,1,1,0,0,0,1,100,307200,0.1,1,5.61
1,0,0,0,0,0,0,100,2073600,0.1,1,2.82
0,1,1,1,0,1,0,200,8294400,0.9,8,3.6
0,1,1,1,0,1,0,400,8294400,0.9,8,3.55
0,1,1,0,1,1,0,400,2073600,0.1,4,3.31
0,1,1,0,0,1,1,50,2073600,0.1,8,5.66
0,0,0,0,0,1,1,200,307200,0.1,8,5.4
0,1,1,0,1,0,0,50,307200,0.1,1,2.76
0,1,0,0,0,0,1,100,307200,0.1,8,5.61
0,0,0,0,0,1,1,100,307200,0.1,8,5.44
1,1,1,0,0,0,0,50,307200,0.1,1,2.66
0,0,1,0,0,0,1,200,307200,0.1,8,5.46
1,1,1,0,0,0,0,100,307200,0.1,1,2.83
0,1,1,1,0,1,0,400,8294400,0.1,8,3.74
0,1,1,0,0,1,1,50,2073600,0.1,4,5.55
0,1,1,0,1,0,0,100,307200,0.1,1,2.77
0,1,1,0,0,1,1,200,2073600,0.1,8,5.7
0,0,1,0,1,1,0,400,307200,0.1,1,2.85
0,0,0,0,1,0,0,100,8294400,0.1,1,3.63
1,0,0,0,0,0,0,100,8294400,0.1,1,3.26
0,1,1,0,0,1,1,200,2073600,0.1,4,5.84
0,0,0,0,0,0,1,100,8294400,0.1,1,5.32
1,0,1,0,0,1,0,400,307200,0.1,1,2.78
0,1,1,1,0,1,0,200,8294400,0.1,8,3.8
0,0,1,0,0,0,1,100,307200,0.1,8,5.47
0,1,1,1,0,1,0,400,2073600,0.1,8,3.12
0,1,0,0,0,0,1,200,307200,0.1,4,5.31
0,1,1,1,0,1,0,200,2073600,0.1,8,3.21
0,1,1,1,0,1,0,50,307200,0.1,8,2.84
0,0,0,0,0,0,1,100,2073600,0.1,1,5.5
1,0,0,0,0,0,0,100,307200,0.1,1,2.62
0,0,1,0,0,0,1,200,307200,0.1,4,5.66
0,0,0,0,0,1,1,200,307200,0.1,4,5.41
0,1,0,0,0,0,1,200,307200,0.1,1,5.4
0,1,1,1,0,1,0,100,307200,0.1,8,2.76
0,1,1,0,0,1,1,400,307200,0.1,8,5.5
0,0,1,0,0,0,1,200,307200,0.1,1,5.44
0,1,1,0,0,1,1,400,307200,0.1,4,5.52
0,0,1,0,0,1,1,400,307200,0.1,1,5.56
0,0,1,0,1,1,0,50,307200,0.1,1,2.96
0,0,0,0,1,0,0,100,307200,0.1,1,2.61
1,1,1,0,0,1,0,50,307200,0.1,8,2.86
1,0,1,0,0,1,0,50,307200,0.1,1,2.92
1,0,0,0,0,0,0,50,307200,0.1,1,2.48
0,0,1,0,0,1,1,50,307200,0.1,1,5.89
1,0,1,0,0,1,0,100,307200,0.1,1,2.99
0,0,0,0,0,1,1,200,307200,0.1,1,5.53
0,1,0,0,0,0,1,100,307200,0.1,4,5.33
0,0,1,0,0,0,1,100,307200,0.1,4,5.5
0,1,1,1,0,1,0,400,307200,0.1,8,2.96
1,1,1,0,0,1,0,50,307200,0.1,4,2.92
0,0,0,0,0,1,1,100,307200,0.1,4,5.77
0,1,0,0,0,0,1,100,307200,0.1,1,5.23
0,1,1,0,1,1,0,50,307200,0.1,8,2.9
0,0,1,0,0,0,1,100,307200,0.1,1,5.54
0,1,1,1,0,1,0,200,307200,0.1,8,2.89
0,1,1,0,1,1,0,50,307200,0.1,4,2.87
0,0,1,0,1,1,0,100,307200,0.1,1,2.87
1,1,1,0,0,1,0,200,307200,0.1,8,2.9
0,0,0,0,0,1,1,100,307200,0.1,1,5.87
0,0,1,0,0,1,1,100,307200,0.1,1,5.69
0,0,1,1,0,0,0,400,307200,0.9,1,2.7
0,0,1,1,0,0,0,400,307200,0.9,4,2.65
0,1,0,0,1,0,0,100,307200,0.1,8,2.75
0,0,1,1,0,0,0,400,307200,0.9,2,2.65
0,1,1,1,0,1,0,400,307200,0.9,8,2.8
0,0,0,1,0,1,0,400,307200,0.9,4,2.73
1,1,1,0,0,1,0,200,307200,0.1,4,2.79
0,1,1,0,1,1,0,200,307200,0.1,8,2.9
0,1,1,0,1,1,0,200,307200,0.1,4,2.94
0,1,0,0,1,0,0,100,307200,0.1,4,2.74
0,0,0,0,1,0,0,50,307200,0.1,1,2.56
0,1,0,1,0,0,0,400,307200,0.9,4,2.54
0,1,1,0,1,1,0,400,8294400,0.1,4,4.06
0,1,1,0,1,1,0,400,8294400,0.1,8,4.03
1,0,0,0,0,0,0,400,307200,0.1,1,2.7
0,0,1,0,1,0,0,100,307200,0.1,8,2.75
0,0,0,0,1,0,0,400,307200,0.1,1,2.62
0,0,0,0,0,0,1,400,307200,0.1,1,5.63
0,1,1,0,1,1,0,400,307200,0.1,1,2.97
0,0,1,0,1,0,0,100,307200,0.1,4,2.78
0,0,0,0,0,0,1,50,307200,0.1,1,5.32
0,0,0,0,0,0,1,100,307200,0.1,1,5.36
1,0,0,0,0,0,0,400,307200,0.1,4,2.46
0,1,1,1,0,1,0,200,307200,0.9,8,2.92
0,0,0,0,1,1,0,100,307200,0.1,8,2.66
0,1,1,1,0,1,0,100,2073600,0.1,8,3.24
0,0,0,0,1,1,0,100,307200,0.1,4,2.77
0,0,0,0,1,1,0,200,307200,0.1,8,2.82
0,0,0,0,1,0,0,400,307200,0.1,4,2.8
0,1,1,1,0,1,0,100,2073600,0.9,4,3.24
1,0,0,0,0,1,0,200,307200,0.1,8,2.76
1,0,0,0,0,0,0,50,307200,0.1,4,2.57
0,0,0,1,0,0,0,200,307200,0.9,8,2.51
0,1,1,1,0,1,0,100,2073600,0.1,4,3.23
0,1,1,1,0,1,0,100,2073600,0.9,1,3.25
0,0,0,0,1,0,0,50,307200,0.1,4,2.56
1,1,1,0,0,1,0,400,307200,0.1,1,2.81
1,0,0,0,0,0,0,100,307200,0.1,4,2.54
0,0,0,1,0,0,0,200,307200,0.1,8,2.61
0,0,0,0,0,1,1,200,2073600,0.1,8,5.45
0,0,0,0,1,1,0,200,2073600,0.1,8,3.21
0,1,1,1,0,1,0,50,2073600,0.9,1,3.16
0,0,0,1,0,1,0,400,307200,0.9,1,2.73
0,1,0,1,0,0,0,400,307200,0.9,1,2.39
0,1,1,0,1,1,0,50,8294400,0.1,1,3.78
0,0,0,1,0,1,0,400,307200,0.9,2,2.63
1,0,0,0,0,1,0,200,2073600,0.1,8,2.99
0,0,0,1,0,0,0,200,2073600,0.9,8,2.92
0,0,0,0,1,0,0,100,307200,0.1,4,2.66
1,1,1,0,0,1,0,50,8294400,0.1,1,3.74
0,1,1,0,0,1,1,50,307200,0.1,1,5.67
0,1,1,0,0,1,1,400,8294400,0.1,1,5.79
1,1,1,0,0,1,0,400,307200,0.1,4,2.84
0,0,0,1,0,0,0,200,2073600,0.1,8,2.89
0,1,0,0,1,0,0,200,307200,0.1,8,2.71
1,1,0,0,0,0,0,200,307200,0.1,8,2.72
0,1,1,1,0,1,0,50,2073600,0.1,1,3.15
0,1,0,1,0,0,0,400,307200,0.9,2,2.51
