tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,dpi,resolution,quality,indexed,time
0,1,1,1,0,1,0,100,8294400,0.9,8,4.84
0,0,0,0,0,1,1,100,307200,0.1,2,5.41
0,1,0,0,0,0,1,400,307200,0.1,1,5.19
0,1,1,0,0,0,1,400,307200,0.1,1,5.73
0,1,1,1,0,1,0,50,8294400,0.9,8,4.85
0,0,0,0,0,1,1,400,307200,0.1,1,5.6
0,1,1,0,1,0,0,200,307200,0.1,1,4.42
0,1,1,1,0,0,0,50,2073600,0.1,1,4.38
0,1,0,0,0,0,1,400,307200,0.1,8,5.31
1,1,1,0,0,1,0,400,2073600,0.1,8,4.87
0,1,1,1,0,1,0,50,2073600,0.9,8,4.76
1,1,1,0,0,0,0,200,307200,0.1,1,3.93
0,0,0,0,1,0,0,400,8294400,0.1,2,5.64
0,1,1,1,0,1,0,100,2073600,0.9,8,4.36
1,1,1,0,0,1,0,400,2073600,0.1,4,4.83
0,1,1,1,0,1,0,400,2073600,0.9,8,5.09
0,0,0,0,0,1,1,400,307200,0.1,8,5.9
0,1,1,0,1,1,0,400,2073600,0.1,8,5.44
0,0,0,0,1,0,0,50,8294400,0.1,1,5.34
1,0,0,0,0,0,0,50,8294400,0.1,1,4.12
0,0,0,0,1,0,0,50,2073600,0.1,1,3.91
0,1,1,1,0,1,0,50,307200,0.9,8,4.44
1,0,0,0,0,0,0,50,2073600,0.1,1,3.67
1,1,1,0,0,0,0,400,307200,0.1,1,4.13
0,1,0,0,0,0,1,200,307200,0.1,8,5.55
0,1,1,1,0,1,0,100,307200,0.9,8,4.58
0,0,0,0,1,0,0,100,2073600,0.1,1,4.03
0,1,1,1,0,1,0,200,2073600,0.9,8,4.87
0,1,1,0,1,0,0,400,307200,0.1,1,4.37
0,1,1,0,0,0,1,50,307200,0.1,1,6.14
0,1,1,0,0,0,1,100,307200,0.1,1,6.09
1,0,0,0,0,0,0,100,2073600,0.1,1,3.69
0,1,1,1,0,1,0,200,8294400,0.9,8,5.12
0,1,1,1,0,1,0,400,8294400,0.9,8,5.12
0,1,1,0,1,1,0,400,2073600,0.1,4,5.37
0,1,1,0,0,1,1,50,2073600,0.1,8,6.39
0,0,0,0,0,1,1,200,307200,0.1,8,5.77
0,1,1,0,1,0,0,50,307200,0.1,1,4.34
0,1,0,0,0,0,1,100,307200,0.1,8,5.72
0,0,0,0,0,1,1,100,307200,0.1,8,5.81
1,1,1,0,0,0,0,50,307200,0.1,1,3.76
0,0,1,0,0,0,1,200,307200,0.1,8,6.25
1,1,1,0,0,0,0,100,307200,0.1,1,4.29
0,1,1,1,0,1,0,400,8294400,0.1,8,5.1
0,1,1,0,0,1,1,50,2073600,0.1,4,6.49
0,1,1,0,1,0,0,100,307200,0.1,1,4.54
0,1,1,0,0,1,1,200,2073600,0.1,8,6.63
0,0,1,0,1,1,0,400,307200,0.1,1,4.69
0,0,0,0,1,0,0,100,8294400,0.1,1,5.32
1,0,0,0,0,0,0,100,8294400,0.1,1,4.13
0,1,1,0,0,1,1,200,2073600,0.1,4,6.67
0,0,0,0,0,0,1,100,8294400,0.1,1,5.44
1,0,1,0,0,1,0,400,307200,0.1,1,4.46
0,1,1,1,0,1,0,200,8294400,0.1,8,5.34
0,0,1,0,0,0,1,100,307200,0.1,8,6.12
0,1,1,1,0,1,0,400,2073600,0.1,8,4.59
0,1,0,0,0,0,1,200,307200,0.1,4,5.12
0,1,1,1,0,1,0,200,2073600,0.1,8,4.76
0,1,1,1,0,1,0,50,307200,0.1,8,4.72
0,0,0,0,0,0,1,100,2073600,0.1,1,5.59
1,0,0,0,0,0,0,100,307200,0.1,1,3.21
0,0,1,0,0,0,1,200,307200,0.1,4,6.26
0,0,0,0,0,1,1,200,307200,0.1,4,5.71
0,1,0,0,0,0,1,200,307200,0.1,1,5.56
0,1,1,1,0,1,0,100,307200,0.1,8,4.57
0,1,1,0,0,1,1,400,307200,0.1,8,6.17
0,0,1,0,0,0,1,200,307200,0.1,1,6.12
0,1,1,0,0,1,1,400,307200,0.1,4,6.4
0,0,1,0,0,1,1,400,307200,0.1,1,6.6
0,0,1,0,1,1,0,50,307200,0.1,1,4.57
0,0,0,0,1,0,0,100,307200,0.1,1,3.76
1,1,1,0,0,1,0,50,307200,0.1,8,4.44
1,0,1,0,0,1,0,50,307200,0.1,1,4.57
1,0,0,0,0,0,0,50,307200,0.1,1,3.53
0,0,1,0,0,1,1,50,307200,0.1,1,6.74
1,0,1,0,0,1,0,100,307200,0.1,1,4.31
0,0,0,0,0,1,1,200,307200,0.1,1,5.85
0,1,0,0,0,0,1,100,307200,0.1,4,5.44
0,0,1,0,0,0,1,100,307200,0.1,4,6.28
0,1,1,1,0,1,0,400,307200,0.1,8,4.58
1,1,1,0,0,1,0,50,307200,0.1,4,4.39
0,0,0,0,0,1,1,100,307200,0.1,4,6.0
0,1,0,0,0,0,1,100,307200,0.1,1,5.63
0,1,1,0,1,1,0,50,307200,0.1,8,4.65
0,0,1,0,0,0,1,100,307200,0.1,1,6.22
0,1,1,1,0,1,0,200,307200,0.1,8,4.62
0,1,1,0,1,1,0,50,307200,0.1,4,4.81
0,0,1,0,1,1,0,100,307200,0.1,1,4.69
1,1,1,0,0,1,0,200,307200,0.1,8,4.44
0,0,0,0,0,1,1,100,307200,0.1,1,6.06
0,0,1,0,0,1,1,100,307200,0.1,1,6.64
0,0,1,1,0,0,0,400,307200,0.9,1,4.27
