tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,dpi,resolution,quality,indexed,time
0,1,1,1,0,1,0,100,8294400,0.9,8,1.57
0,0,0,0,0,1,1,100,307200,0.1,2,1.82
0,1,0,0,0,0,1,400,307200,0.1,1,1.8
0,1,1,0,0,0,1,400,307200,0.1,1,1.96
0,1,1,1,0,1,0,50,8294400,0.9,8,1.69
0,0,0,0,0,1,1,400,307200,0.1,1,1.94
0,1,1,0,1,0,0,200,307200,0.1,1,1.46
0,1,1,1,0,0,0,50,2073600,0.1,1,1.48
0,1,0,0,0,0,1,400,307200,0.1,8,1.79
1,1,1,0,0,1,0,400,2073600,0.1,8,1.63
0,1,1,1,0,1,0,50,2073600,0.9,8,1.56
1,1,1,0,0,0,0,200,307200,0.1,1,1.4
0,0,0,0,1,0,0,400,8294400,0.1,2,4.02
0,1,1,1,0,1,0,100,2073600,0.9,8,1.59
1,1,1,0,0,1,0,400,2073600,0.1,4,1.53
0,1,1,1,0,1,0,400,2073600,0.9,8,1.64
0,0,0,0,0,1,1,400,307200,0.1,8,1.92
0,1,1,0,1,1,0,400,2073600,0.1,8,2.15
0,0,0,0,1,0,0,50,8294400,0.1,1,3.99
1,0,0,0,0,0,0,50,8294400,0.1,1,1.62
0,0,0,0,1,0,0,50,2073600,0.1,1,1.71
0,1,1,1,0,1,0,50,307200,0.9,8,1.4
1,0,0,0,0,0,0,50,2073600,0.1,1,1.32
1,1,1,0,0,0,0,400,307200,0.1,1,1.36
0,1,0,0,0,0,1,200,307200,0.1,8,1.88
0,1,1,1,0,1,0,100,307200,0.9,8,1.35
0,0,0,0,1,0,0,100,2073600,0.1,1,1.67
0,1,1,1,0,1,0,200,2073600,0.9,8,1.59
0,1,1,0,1,0,0,400,307200,0.1,1,1.5
0,1,1,0,0,0,1,50,307200,0.1,1,2.07
0,1,1,0,0,0,1,100,307200,0.1,1,2.11
1,0,0,0,0,0,0,100,2073600,0.1,1,1.29
0,1,1,1,0,1,0,200,8294400,0.9,8,1.81
0,1,1,1,0,1,0,400,8294400,0.9,8,1.75
0,1,1,0,1,1,0,400,2073600,0.1,4,2.07
0,1,1,0,0,1,1,50,2073600,0.1,8,2.09
0,0,0,0,0,1,1,200,307200,0.1,8,1.89
0,1,1,0,1,0,0,50,307200,0.1,1,1.45
0,1,0,0,0,0,1,100,307200,0.1,8,1.96
0,0,0,0,0,1,1,100,307200,0.1,8,1.93
1,1,1,0,0,0,0,50,307200,0.1,1,1.34
0,0,1,0,0,0,1,200,307200,0.1,8,2.08
1,1,1,0,0,0,0,100,307200,0.1,1,1.44
0,1,1,1,0,1,0,400,8294400,0.1,8,1.78
0,1,1,0,0,1,1,50,2073600,0.1,4,2.1
0,1,1,0,1,0,0,100,307200,0.1,1,1.47
0,1,1,0,0,1,1,200,2073600,0.1,8,2.16
0,0,1,0,1,1,0,400,307200,0.1,1,1.54
0,0,0,0,1,0,0,100,8294400,0.1,1,4.04
1,0,0,0,0,0,0,100,8294400,0.1,1,1.6
0,1,1,0,0,1,1,200,2073600,0.1,4,2.25
0,0,0,0,0,0,1,100,8294400,0.1,1,1.85
1,0,1,0,0,1,0,400,307200,0.1,1,1.46
0,1,1,1,0,1,0,200,8294400,0.1,8,1.82
0,0,1,0,0,0,1,100,307200,0.1,8,2.04
0,1,1,1,0,1,0,400,2073600,0.1,8,1.54
0,1,0,0,0,0,1,200,307200,0.1,4,1.86
0,1,1,1,0,1,0,200,2073600,0.1,8,1.57
0,1,1,1,0,1,0,50,307200,0.1,8,1.43
0,0,0,0,0,0,1,100,2073600,0.1,1,1.91
1,0,0,0,0,0,0,100,307200,0.1,1,1.21
0,0,1,0,0,0,1,200,307200,0.1,4,2.07
0,0,0,0,0,1,1,200,307200,0.1,4,1.96
0,1,0,0,0,0,1,200,307200,0.1,1,1.89
0,1,1,1,0,1,0,100,307200,0.1,8,1.41
0,1,1,0,0,1,1,400,307200,0.1,8,2.07
0,0,1,0,0,0,1,200,307200,0.1,1,1.97
0,1,1,0,0,1,1,400,307200,0.1,4,2.06
0,0,1,0,0,1,1,400,307200,0.1,1,2.12
0,0,1,0,1,1,0,50,307200,0.1,1,1.45
0,0,0,0,1,0,0,100,307200,0.1,1,1.31
1,1,1,0,0,1,0,50,307200,0.1,8,1.46
1,0,1,0,0,1,0,50,307200,0.1,1,1.49
1,0,0,0,0,0,0,50,307200,0.1,1,1.2
0,0,1,0,0,1,1,50,307200,0.1,1,2.16
1,0,1,0,0,1,0,100,307200,0.1,1,1.48
0,0,0,0,0,1,1,200,307200,0.1,1,1.95
0,1,0,0,0,0,1,100,307200,0.1,4,1.87
0,0,1,0,0,0,1,100,307200,0.1,4,2.09
0,1,1,1,0,1,0,400,307200,0.1,8,1.42
1,1,1,0,0,1,0,50,307200,0.1,4,1.42
0,0,0,0,0,1,1,100,307200,0.1,4,1.94
0,1,0,0,0,0,1,100,307200,0.1,1,1.87
0,1,1,0,1,1,0,50,307200,0.1,8,1.55
0,0,1,0,0,0,1,100,307200,0.1,1,2.08
0,1,1,1,0,1,0,200,307200,0.1,8,1.47
0,1,1,0,1,1,0,50,307200,0.1,4,1.49
0,0,1,0,1,1,0,100,307200,0.1,1,1.49
1,1,1,0,0,1,0,200,307200,0.1,8,1.42
0,0,0,0,0,1,1,100,307200,0.1,1,2.03
0,0,1,0,0,1,1,100,307200,0.1,1,2.12
0,0,1,1,0,0,0,400,307200,0.9,1,1.4
0,0,1,1,0,0,0,400,307200,0.9,4,1.33
0,1,0,0,1,0,0,100,307200,0.1,8,1.33
0,0,1,1,0,0,0,400,307200,0.9,2,1.4
0,1,1,1,0,1,0,400,307200,0.9,8,1.43
0,0,0,1,0,1,0,400,307200,0.9,4,1.27
1,1,1,0,0,1,0,200,307200,0.1,4,1.47
0,1,1,0,1,1,0,200,307200,0.1,8,1.56
0,1,1,0,1,1,0,200,307200,0.1,4,1.55
0,1,0,0,1,0,0,100,307200,0.1,4,1.32
0,0,0,0,1,0,0,50,307200,0.1,1,1.25
0,1,0,1,0,0,0,400,307200,0.9,4,1.14
0,1,1,0,1,1,0,400,8294400,0.1,4,3.91
0,1,1,0,1,1,0,400,8294400,0.1,8,3.75
1,0,0,0,0,0,0,400,307200,0.1,1,1.24
0,0,1,0,1,0,0,100,307200,0.1,8,1.46
0,0,0,0,1,0,0,400,307200,0.1,1,1.26
0,0,0,0,0,0,1,400,307200,0.1,1,1.94
0,1,1,0,1,1,0,400,307200,0.1,1,1.48
0,0,1,0,1,0,0,100,307200,0.1,4,1.47
0,0,0,0,0,0,1,50,307200,0.1,1,1.88
0,0,0,0,0,0,1,100,307200,0.1,1,1.86
1,0,0,0,0,0,0,400,307200,0.1,4,1.17
0,1,1,1,0,1,0,200,307200,0.9,8,1.49
0,0,0,0,1,1,0,100,307200,0.1,8,1.36
0,1,1,1,0,1,0,100,2073600,0.1,8,1.53
0,0,0,0,1,1,0,100,307200,0.1,4,1.31
0,0,0,0,1,1,0,200,307200,0.1,8,1.36
0,0,0,0,1,0,0,400,307200,0.1,4,1.31
0,1,1,1,0,1,0,100,2073600,0.9,4,1.57
1,0,0,0,0,1,0,200,307200,0.1,8,1.27
1,0,0,0,0,0,0,50,307200,0.1,4,1.21
0,0,0,1,0,0,0,200,307200,0.9,8,1.18
0,1,1,1,0,1,0,100,2073600,0.1,4,1.55
0,1,1,1,0,1,0,100,2073600,0.9,1,1.57
0,0,0,0,1,0,0,50,307200,0.1,4,1.28
1,1,1,0,0,1,0,400,307200,0.1,1,1.39
1,0,0,0,0,0,0,100,307200,0.1,4,1.22
0,0,0,1,0,0,0,200,307200,0.1,8,1.23
0,0,0,0,0,1,1,200,2073600,0.1,8,1.93
0,0,0,0,1,1,0,200,2073600,0.1,8,1.86
0,1,1,1,0,1,0,50,2073600,0.9,1,1.62
0,0,0,1,0,1,0,400,307200,0.9,1,1.29
0,1,0,1,0,0,0,400,307200,0.9,1,1.17
0,1,1,0,1,1,0,50,8294400,0.1,1,4.0
0,0,0,1,0,1,0,400,307200,0.9,2,1.27
1,0,0,0,0,1,0,200,2073600,0.1,8,1.43
0,0,0,1,0,0,0,200,2073600,0.9,8,1.31
0,0,0,0,1,0,0,100,307200,0.1,4,1.26
1,1,1,0,0,1,0,50,8294400,0.1,1,1.85
0,1,1,0,0,1,1,50,307200,0.1,1,2.11
0,1,1,0,0,1,1,400,8294400,0.1,1,2.15
1,1,1,0,0,1,0,400,307200,0.1,4,1.42
0,0,0,1,0,0,0,200,2073600,0.1,8,1.27
0,1,0,0,1,0,0,200,307200,0.1,8,1.35
1,1,0,0,0,0,0,200,307200,0.1,8,1.25
0,1,1,1,0,1,0,50,2073600,0.1,1,1.54
0,1,0,1,0,0,0,400,307200,0.9,2,1.17
0,0,0,1,0,1,0,400,8294400,0.9,4,1.59
0,1,0,0,1,0,0,200,2073600,0.1,8,1.77
1,1,1,0,0,1,0,400,307200,0.1,8,1.42
1,1,0,0,0,0,0,200,2073600,0.1,8,1.33
0,1,1,0,0,1,1,400,8294400,0.1,4,2.09
1,0,0,0,0,0,0,50,307200,0.1,2,1.21
0,1,1,0,0,1,1,400,8294400,0.1,8,2.08
0,1,1,0,1,1,0,400,307200,0.1,4,1.46
0,1,1,0,1,1,0,400,307200,0.1,8,1.61
0,1,1,1,0,1,0,100,2073600,0.1,1,1.63
0,1,1,0,0,1,1,100,307200,0.1,4,2.13
0,1,1,0,0,1,1,100,307200,0.1,8,2.1
0,0,0,0,1,0,0,50,307200,0.1,2,1.26
0,0,0,1,0,1,0,400,8294400,0.9,1,1.61
0,0,0,1,0,1,0,400,8294400,0.9,2,1.55
1,0,0,0,0,0,0,400,307200,0.1,2,1.14
0,0,0,0,1,0,0,400,307200,0.1,2,1.26
0,1,0,0,0,0,1,200,2073600,0.1,8,1.87
0,1,1,0,0,1,1,100,307200,0.1,1,2.12
0,1,1,0,0,1,1,400,2073600,0.1,1,2.17
0,1,1,1,0,1,0,50,8294400,0.9,1,1.82
0,1,1,1,0,1,0,50,8294400,0.1,1,1.81
0,0,0,1,0,1,0,400,2073600,0.9,4,1.36
1,1,1,0,0,1,0,100,8294400,0.1,1,1.96
0,1,1,0,1,1,0,100,8294400,0.1,1,3.97
0,1,1,1,0,1,0,50,8294400,0.9,2,1.72
0,1,1,1,0,1,0,50,8294400,0.1,2,1.82
0,1,1,1,0,0,0,100,8294400,0.9,1,1.73
0,0,0,0,0,1,1,200,2073600,0.1,4,1.94
0,1,1,1,0,1,0,50,8294400,0.9,4,1.78
1,0,0,0,0,0,0,100,307200,0.1,2,1.22
0,1,1,1,0,1,0,50,8294400,0.1,4,1.74
0,0,0,1,0,1,0,50,307200,0.9,4,1.3
0,1,1,1,0,1,0,100,8294400,0.9,1,1.74
0,0,0,0,1,0,0,100,307200,0.1,2,1.27
0,1,1,1,0,1,0,100,8294400,0.1,1,1.85
1,0,0,0,0,0,0,400,307200,0.1,8,1.18
0,0,0,0,1,1,0,200,2073600,0.1,4,1.77
0,0,0,0,1,0,0,400,307200,0.1,8,1.3
0,0,1,1,0,0,0,50,307200,0.9,4,1.38
1,0,0,0,0,1,0,200,2073600,0.1,4,1.37
1,0,0,0,0,0,0,50,307200,0.1,8,1.22
0,1,0,1,0,1,0,100,8294400,0.9,1,1.65
0,1,1,1,0,1,0,100,8294400,0.9,2,1.7
0,0,0,1,0,1,0,50,307200,0.1,4,1.24
0,0,0,0,1,1,0,200,307200,0.1,4,1.33
0,1,1,1,0,0,0,100,8294400,0.9,4,1.73
0,0,0,0,1,0,0,50,307200,0.1,8,1.27
0,1,1,1,0,0,0,100,8294400,0.9,8,1.67
1,0,0,0,0,1,0,200,307200,0.1,4,1.22
0,1,1,1,0,1,0,100,8294400,0.1,2,1.74
0,1,1,1,0,1,0,100,8294400,0.9,4,1.7
0,0,0,1,0,1,0,400,307200,0.1,4,1.26
0,1,1,1,0,1,0,100,8294400,0.1,4,1.76
0,0,0,0,0,0,1,400,307200,0.1,8,1.84
1,1,1,0,0,1,0,100,8294400,0.1,4,1.92
0,0,0,0,0,0,1,50,307200,0.1,8,1.85
0,0,0,1,0,0,0,200,2073600,0.9,4,1.27
1,1,1,0,0,1,0,100,8294400,0.1,8,1.83
0,0,1,1,0,0,0,400,307200,0.1,4,1.37
0,0,1,1,0,0,0,50,307200,0.1,4,1.37
0,0,0,1,0,0,0,200,2073600,0.1,4,1.27
0,0,0,1,0,0,0,200,307200,0.9,4,1.22
0,1,1,1,0,1,0,400,8294400,0.9,1,1.67
0,0,0,1,0,0,0,200,307200,0.1,4,1.21
0,0,1,0,1,1,0,400,307200,0.1,4,1.59
0,1,1,1,0,1,0,200,8294400,0.9,1,1.79
0,1,1,1,0,1,0,200,8294400,0.9,4,1.74
1,0,1,0,0,1,0,400,307200,0.1,4,1.43
0,1,1,0,1,1,0,100,8294400,0.1,4,4.1
0,1,0,0,0,0,1,200,2073600,0.1,4,1.88
0,1,1,1,0,1,0,200,2073600,0.9,4,1.6
0,0,1,0,0,1,1,400,307200,0.1,4,2.15
0,1,1,1,0,1,0,400,2073600,0.9,4,1.73
1,0,0,0,0,0,0,100,307200,0.1,8,1.23
0,0,0,0,1,0,0,100,307200,0.1,8,1.35
0,0,0,0,0,0,1,100,307200,0.1,8,1.87
0,0,0,0,0,0,1,400,307200,0.1,4,1.9
0,1,1,1,0,1,0,400,2073600,0.1,4,1.56
0,1,1,1,0,1,0,100,307200,0.1,4,1.41
0,0,1,0,1,1,0,50,307200,0.1,4,1.54
1,0,0,0,0,0,0,400,8294400,0.1,4,1.58
1,0,1,0,0,1,0,50,307200,0.1,4,1.4
0,1,1,1,0,1,0,400,307200,0.1,4,1.43
0,1,1,0,1,1,0,100,8294400,0.1,8,4.07
0,1,1,1,0,1,0,400,307200,0.9,4,1.36
0,0,0,0,1,0,0,400,8294400,0.1,4,4.16
0,1,1,1,0,1,0,200,307200,0.9,4,1.46
1,0,0,0,0,0,0,50,8294400,0.1,4,1.59
0,0,1,0,0,0,1,200,2073600,0.1,8,2.08
0,0,1,0,0,1,1,50,307200,0.1,4,2.15
0,1,0,1,0,1,0,100,8294400,0.9,4,1.52
0,0,1,0,0,0,1,200,2073600,0.1,4,2.03
0,0,0,0,1,0,0,50,8294400,0.1,4,4.31
0,1,1,1,0,1,0,200,307200,0.1,4,1.41
1,0,0,0,0,0,0,400,8294400,0.1,1,1.64
0,0,0,1,0,1,0,50,8294400,0.9,4,1.66
0,0,0,1,0,1,0,400,8294400,0.1,4,1.58
0,0,0,0,0,1,1,50,307200,0.1,8,1.97
0,0,0,1,0,1,0,50,8294400,0.1,4,1.57
0,1,1,1,0,1,0,400,307200,0.9,1,1.4
0,0,0,0,0,1,1,400,2073600,0.1,8,1.99
0,1,1,1,0,1,0,400,307200,0.1,1,1.39
0,1,1,1,0,1,0,200,307200,0.1,1,1.42
0,1,1,1,0,1,0,200,307200,0.9,1,1.37
0,1,1,1,0,1,0,50,2073600,0.1,4,1.54
0,0,0,0,0,1,1,50,2073600,0.1,8,1.94
0,1,1,1,0,1,0,50,2073600,0.9,4,1.6
0,0,0,0,0,1,1,100,2073600,0.1,8,1.97
0,0,0,0,1,1,0,400,307200,0.1,8,1.44
0,0,1,0,1,1,0,400,8294400,0.1,4,4.13
0,1,0,1,0,1,0,100,8294400,0.9,8,1.59
1,0,0,0,0,1,0,400,307200,0.1,8,1.33
0,1,1,1,0,1,0,50,2073600,0.1,8,1.59
0,0,0,0,1,1,0,50,307200,0.1,8,1.35
1,0,0,0,0,1,0,50,307200,0.1,8,1.27
0,0,1,1,0,1,0,100,8294400,0.9,1,1.74
0,0,0,0,1,0,0,400,8294400,0.1,1,4.12
1,0,1,0,0,1,0,400,8294400,0.1,4,1.89
1,0,0,0,0,0,0,100,8294400,0.1,4,1.64
0,1,1,1,0,1,0,50,8294400,0.1,8,1.75
1,0,0,0,0,1,0,100,307200,0.1,8,1.22
0,1,1,1,0,1,0,100,8294400,0.1,8,1.8
0,0,1,1,0,0,0,400,8294400,0.9,4,1.69
0,0,0,0,1,0,0,100,8294400,0.1,4,4.57
0,0,1,0,0,1,1,400,8294400,0.1,4,2.16
1,0,0,0,0,0,0,400,2073600,0.1,4,1.3
0,0,1,1,0,1,0,100,8294400,0.9,2,1.79
0,0,0,0,1,0,0,400,2073600,0.1,4,1.77
0,1,1,1,0,1,0,50,2073600,0.9,2,1.54
0,0,1,0,1,1,0,50,8294400,0.1,4,4.22
1,1,1,0,0,1,0,100,8294400,0.1,2,1.83
1,0,1,0,0,1,0,50,8294400,0.1,4,1.9
0,0,0,0,1,1,0,400,2073600,0.1,8,1.76
1,0,0,0,0,0,0,50,2073600,0.1,4,1.32
0,0,0,0,1,0,0,50,2073600,0.1,4,1.7
1,0,0,0,0,0,0,400,2073600,0.1,1,1.28
0,0,1,1,0,0,0,50,8294400,0.9,4,1.63
1,0,0,0,0,1,0,400,2073600,0.1,8,1.48
0,1,1,1,0,1,0,50,2073600,0.1,2,1.53
0,0,0,0,1,0,0,400,2073600,0.1,1,1.64
0,0,0,0,1,1,0,50,2073600,0.1,8,1.9
0,1,1,0,1,1,0,100,8294400,0.1,2,4.13
0,1,1,1,0,0,0,100,8294400,0.9,2,1.73
1,0,0,0,0,1,0,50,2073600,0.1,8,1.41
0,0,1,0,0,1,1,50,8294400,0.1,4,2.05
0,1,0,1,0,1,0,100,8294400,0.9,2,1.55
0,1,1,1,0,1,0,100,2073600,0.9,2,1.58
0,1,1,1,0,1,0,100,2073600,0.1,2,1.57
0,1,1,1,0,0,0,100,8294400,0.1,2,1.65
