tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,dpi,resolution,quality,indexed,time
0,1,1,1,0,1,0,100,8294400,0.9,8,18.47
0,0,0,0,0,1,1,100,307200,0.1,2,8.93
0,1,0,0,0,0,1,400,307200,0.1,1,8.75
0,1,1,0,0,0,1,400,307200,0.1,1,9.69
0,1,1,1,0,1,0,50,8294400,0.9,8,19.04
0,0,0,0,0,1,1,400,307200,0.1,1,9.09
0,1,1,0,1,0,0,200,307200,0.1,1,8.35
0,1,1,1,0,0,0,50,2073600,0.1,1,12.14
0,1,0,0,0,0,1,400,307200,0.1,8,8.55
1,1,1,0,0,1,0,400,2073600,0.1,8,12.64
0,1,1,1,0,1,0,50,2073600,0.9,8,12.11
1,1,1,0,0,0,0,200,307200,0.1,1,8.08
0,0,0,0,1,0,0,400,8294400,0.1,2,17.78
0,1,1,1,0,1,0,100,2073600,0.9,8,12.64
1,1,1,0,0,1,0,400,2073600,0.1,4,12.22
0,1,1,1,0,1,0,400,2073600,0.9,8,12.84
0,0,0,0,0,1,1,400,307200,0.1,8,9.2
0,1,1,0,1,1,0,400,2073600,0.1,8,12.77
0,0,0,0,1,0,0,50,8294400,0.1,1,17.29
1,0,0,0,0,0,0,50,8294400,0.1,1,17.29
0,0,0,0,1,0,0,50,2073600,0.1,1,11.34
0,1,1,1,0,1,0,50,307200,0.9,8,8.28
1,0,0,0,0,0,0,50,2073600,0.1,1,10.99
1,1,1,0,0,0,0,400,307200,0.1,1,8.06
0,1,0,0,0,0,1,200,307200,0.1,8,8.79
0,1,1,1,0,1,0,100,307200,0.9,8,8.32
0,0,0,0,1,0,0,100,2073600,0.1,1,11.02
0,1,1,1,0,1,0,200,2073600,0.9,8,12.62
0,1,1,0,1,0,0,400,307200,0.1,1,8.38
0,1,1,0,0,0,1,50,307200,0.1,1,9.45
0,1,1,0,0,0,1,100,307200,0.1,1,10.06
1,0,0,0,0,0,0,100,2073600,0.1,1,11.33
0,1,1,1,0,1,0,200,8294400,0.9,8,18.56
0,1,1,1,0,1,0,400,8294400,0.9,8,18.25
0,1,1,0,1,1,0,400,2073600,0.1,4,12.21
0,1,1,0,0,1,1,50,2073600,0.1,8,10.15
0,0,0,0,0,1,1,200,307200,0.1,8,8.93
0,1,1,0,1,0,0,50,307200,0.1,1,8.14
0,1,0,0,0,0,1,100,307200,0.1,8,9.04
0,0,0,0,0,1,1,100,307200,0.1,8,9.07
1,1,1,0,0,0,0,50,307200,0.1,1,7.98
0,0,1,0,0,0,1,200,307200,0.1,8,9.72
1,1,1,0,0,0,0,100,307200,0.1,1,8.35
0,1,1,1,0,1,0,400,8294400,0.1,8,19.33
0,1,1,0,0,1,1,50,2073600,0.1,4,10.01
0,1,1,0,1,0,0,100,307200,0.1,1,8.15
0,1,1,0,0,1,1,200,2073600,0.1,8,10.21
0,0,1,0,1,1,0,400,307200,0.1,1,8.47
0,0,0,0,1,0,0,100,8294400,0.1,1,17.52
1,0,0,0,0,0,0,100,8294400,0.1,1,17.35
0,1,1,0,0,1,1,200,2073600,0.1,4,10.47
0,0,0,0,0,0,1,100,8294400,0.1,1,8.54
1,0,1,0,0,1,0,400,307200,0.1,1,8.38
0,1,1,1,0,1,0,200,8294400,0.1,8,19.74
0,0,1,0,0,0,1,100,307200,0.1,8,9.44
0,1,1,1,0,1,0,400,2073600,0.1,8,12.1
0,1,0,0,0,0,1,200,307200,0.1,4,8.61
0,1,1,1,0,1,0,200,2073600,0.1,8,12.52
0,1,1,1,0,1,0,50,307200,0.1,8,8.47
0,0,0,0,0,0,1,100,2073600,0.1,1,8.95
1,0,0,0,0,0,0,100,307200,0.1,1,7.42
0,0,1,0,0,0,1,200,307200,0.1,4,9.74
0,0,0,0,0,1,1,200,307200,0.1,4,8.97
0,1,0,0,0,0,1,200,307200,0.1,1,8.75
0,1,1,1,0,1,0,100,307200,0.1,8,8.26
0,1,1,0,0,1,1,400,307200,0.1,8,9.95
0,0,1,0,0,0,1,200,307200,0.1,1,9.6
0,1,1,0,0,1,1,400,307200,0.1,4,9.96
0,0,1,0,0,1,1,400,307200,0.1,1,10.2
0,0,1,0,1,1,0,50,307200,0.1,1,8.32
0,0,0,0,1,0,0,100,307200,0.1,1,7.39
1,1,1,0,0,1,0,50,307200,0.1,8,8.25
1,0,1,0,0,1,0,50,307200,0.1,1,8.63
1,0,0,0,0,0,0,50,307200,0.1,1,7.25
0,0,1,0,0,1,1,50,307200,0.1,1,10.59
1,0,1,0,0,1,0,100,307200,0.1,1,8.83
0,0,0,0,0,1,1,200,307200,0.1,1,9.17
0,1,0,0,0,0,1,100,307200,0.1,4,8.66
0,0,1,0,0,0,1,100,307200,0.1,4,9.79
0,1,1,1,0,1,0,400,307200,0.1,8,8.51
1,1,1,0,0,1,0,50,307200,0.1,4,8.34
0,0,0,0,0,1,1,100,307200,0.1,4,9.0
0,1,0,0,0,0,1,100,307200,0.1,1,8.59
0,1,1,0,1,1,0,50,307200,0.1,8,8.37
0,0,1,0,0,0,1,100,307200,0.1,1,9.63
0,1,1,1,0,1,0,200,307200,0.1,8,8.65
0,1,1,0,1,1,0,50,307200,0.1,4,8.34
0,0,1,0,1,1,0,100,307200,0.1,1,8.37
1,1,1,0,0,1,0,200,307200,0.1,8,8.35
0,0,0,0,0,1,1,100,307200,0.1,1,9.53
0,0,1,0,0,1,1,100,307200,0.1,1,10.32
0,0,1,1,0,0,0,400,307200,0.9,1,8.17
0,0,1,1,0,0,0,400,307200,0.9,4,7.96
0,1,0,0,1,0,0,100,307200,0.1,8,7.66
0,0,1,1,0,0,0,400,307200,0.9,2,8.13
0,1,1,1,0,1,0,400,307200,0.9,8,8.45
0,0,0,1,0,1,0,400,307200,0.9,4,7.58
1,1,1,0,0,1,0,200,307200,0.1,4,8.29
0,1,1,0,1,1,0,200,307200,0.1,8,8.37
0,1,1,0,1,1,0,200,307200,0.1,4,8.64
0,1,0,0,1,0,0,100,307200,0.1,4,7.47
0,0,0,0,1,0,0,50,307200,0.1,1,7.17
0,1,0,1,0,0,0,400,307200,0.9,4,7.21
0,1,1,0,1,1,0,400,8294400,0.1,4,18.49
0,1,1,0,1,1,0,400,8294400,0.1,8,18.86
1,0,0,0,0,0,0,400,307200,0.1,1,7.49
0,0,1,0,1,0,0,100,307200,0.1,8,8.2
0,0,0,0,1,0,0,400,307200,0.1,1,7.22
0,0,0,0,0,0,1,400,307200,0.1,1,9.02
0,1,1,0,1,1,0,400,307200,0.1,1,8.59
0,0,1,0,1,0,0,100,307200,0.1,4,8.11
0,0,0,0,0,0,1,50,307200,0.1,1,8.68
0,0,0,0,0,0,1,100,307200,0.1,1,8.76
1,0,0,0,0,0,0,400,307200,0.1,4,7.16
0,1,1,1,0,1,0,200,307200,0.9,8,8.57
0,0,0,0,1,1,0,100,307200,0.1,8,7.64
0,1,1,1,0,1,0,100,2073600,0.1,8,12.47
0,0,0,0,1,1,0,100,307200,0.1,4,7.56
0,0,0,0,1,1,0,200,307200,0.1,8,7.75
0,0,0,0,1,0,0,400,307200,0.1,4,7.52
0,1,1,1,0,1,0,100,2073600,0.9,4,12.17
1,0,0,0,0,1,0,200,307200,0.1,8,7.69
1,0,0,0,0,0,0,50,307200,0.1,4,7.36
0,0,0,1,0,0,0,200,307200,0.9,8,7.35
0,1,1,1,0,1,0,100,2073600,0.1,4,12.18
0,1,1,1,0,1,0,100,2073600,0.9,1,12.88
0,0,0,0,1,0,0,50,307200,0.1,4,7.19
1,1,1,0,0,1,0,400,307200,0.1,1,8.28
1,0,0,0,0,0,0,100,307200,0.1,4,7.38
0,0,0,1,0,0,0,200,307200,0.1,8,7.39
0,0,0,0,0,1,1,200,2073600,0.1,8,9.05
0,0,0,0,1,1,0,200,2073600,0.1,8,11.95
0,1,1,1,0,1,0,50,2073600,0.9,1,12.4
0,0,0,1,0,1,0,400,307200,0.9,1,7.86
0,1,0,1,0,0,0,400,307200,0.9,1,7.31
0,1,1,0,1,1,0,50,8294400,0.1,1,18.46
0,0,0,1,0,1,0,400,307200,0.9,2,7.65
1,0,0,0,0,1,0,200,2073600,0.1,8,11.53
0,0,0,1,0,0,0,200,2073600,0.9,8,11.34
0,0,0,0,1,0,0,100,307200,0.1,4,7.34
1,1,1,0,0,1,0,50,8294400,0.1,1,18.38
0,1,1,0,0,1,1,50,307200,0.1,1,10.26
0,1,1,0,0,1,1,400,8294400,0.1,1,10.23
1,1,1,0,0,1,0,400,307200,0.1,4,8.35
0,0,0,1,0,0,0,200,2073600,0.1,8,10.97
0,1,0,0,1,0,0,200,307200,0.1,8,7.54
1,1,0,0,0,0,0,200,307200,0.1,8,7.56
0,1,1,1,0,1,0,50,2073600,0.1,1,12.37
0,1,0,1,0,0,0,400,307200,0.9,2,7.28
0,0,0,1,0,1,0,400,8294400,0.9,4,17.86
0,1,0,0,1,0,0,200,2073600,0.1,8,11.52
1,1,1,0,0,1,0,400,307200,0.1,8,8.44
1,1,0,0,0,0,0,200,2073600,0.1,8,11.22
0,1,1,0,0,1,1,400,8294400,0.1,4,10.22
1,0,0,0,0,0,0,50,307200,0.1,2,7.36
0,1,1,0,0,1,1,400,8294400,0.1,8,10.02
0,1,1,0,1,1,0,400,307200,0.1,4,8.37
0,1,1,0,1,1,0,400,307200,0.1,8,8.82
0,1,1,1,0,1,0,100,2073600,0.1,1,12.79
0,1,1,0,0,1,1,100,307200,0.1,4,10.07
0,1,1,0,0,1,1,100,307200,0.1,8,10.2
0,0,0,0,1,0,0,50,307200,0.1,2,7.13
0,0,0,1,0,1,0,400,8294400,0.9,1,18.35
0,0,0,1,0,1,0,400,8294400,0.9,2,17.99
1,0,0,0,0,0,0,400,307200,0.1,2,7.04
0,0,0,0,1,0,0,400,307200,0.1,2,7.24
0,1,0,0,0,0,1,200,2073600,0.1,8,8.57
0,1,1,0,0,1,1,100,307200,0.1,1,10.33
0,1,1,0,0,1,1,400,2073600,0.1,1,10.18
0,1,1,1,0,1,0,50,8294400,0.9,1,18.6
0,1,1,1,0,1,0,50,8294400,0.1,1,18.62
0,0,0,1,0,1,0,400,2073600,0.9,4,11.69
1,1,1,0,0,1,0,100,8294400,0.1,1,19.92
0,1,1,0,1,1,0,100,8294400,0.1,1,18.52
0,1,1,1,0,1,0,50,8294400,0.9,2,18.24
0,1,1,1,0,1,0,50,8294400,0.1,2,19.59
0,1,1,1,0,0,0,100,8294400,0.9,1,18.21
0,0,0,0,0,1,1,200,2073600,0.1,4,8.93
0,1,1,1,0,1,0,50,8294400,0.9,4,18.34
1,0,0,0,0,0,0,100,307200,0.1,2,7.37
0,1,1,1,0,1,0,50,8294400,0.1,4,18.87
0,0,0,1,0,1,0,50,307200,0.9,4,7.77
