tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,dpi,resolution,quality,indexed,time
0,1,1,1,0,1,0,100,8294400,0.9,8,1.34
0,0,0,0,0,1,1,100,307200,0.1,2,1.41
0,1,0,0,0,0,1,400,307200,0.1,1,1.19
0,1,1,0,0,0,1,400,307200,0.1,1,1.29
0,1,1,1,0,1,0,50,8294400,0.9,8,1.44
0,0,0,0,0,1,1,400,307200,0.1,1,1.41
0,1,1,0,1,0,0,200,307200,0.1,1,1.17
0,1,1,1,0,0,0,50,2073600,0.1,1,1.2
0,1,0,0,0,0,1,400,307200,0.1,8,1.18
1,1,1,0,0,1,0,400,2073600,0.1,8,1.25
0,1,1,1,0,1,0,50,2073600,0.9,8,1.23
1,1,1,0,0,0,0,200,307200,0.1,1,1.15
0,0,0,0,1,0,0,400,8294400,0.1,2,1.62
0,1,1,1,0,1,0,100,2073600,0.9,8,1.25
1,1,1,0,0,1,0,400,2073600,0.1,4,1.26
0,1,1,1,0,1,0,400,2073600,0.9,8,1.25
0,0,0,0,0,1,1,400,307200,0.1,8,1.4
0,1,1,0,1,1,0,400,2073600,0.1,8,1.39
0,0,0,0,1,0,0,50,8294400,0.1,1,1.54
1,0,0,0,0,0,0,50,8294400,0.1,1,1.38
0,0,0,0,1,0,0,50,2073600,0.1,1,1.24
0,1,1,1,0,1,0,50,307200,0.9,8,1.15
1,0,0,0,0,0,0,50,2073600,0.1,1,1.16
1,1,1,0,0,0,0,400,307200,0.1,1,1.15
0,1,0,0,0,0,1,200,307200,0.1,8,1.23
0,1,1,1,0,1,0,100,307200,0.9,8,1.17
0,0,0,0,1,0,0,100,2073600,0.1,1,1.27
0,1,1,1,0,1,0,200,2073600,0.9,8,1.25
0,1,1,0,1,0,0,400,307200,0.1,1,1.18
0,1,1,0,0,0,1,50,307200,0.1,1,1.3
0,1,1,0,0,0,1,100,307200,0.1,1,1.32
1,0,0,0,0,0,0,100,2073600,0.1,1,1.17
0,1,1,1,0,1,0,200,8294400,0.9,8,1.36
0,1,1,1,0,1,0,400,8294400,0.9,8,1.33
0,1,1,0,1,1,0,400,2073600,0.1,4,1.38
0,1,1,0,0,1,1,50,2073600,0.1,8,1.48
0,0,0,0,0,1,1,200,307200,0.1,8,1.43
0,1,1,0,1,0,0,50,307200,0.1,1,1.16
0,1,0,0,0,0,1,100,307200,0.1,8,1.23
0,0,0,0,0,1,1,100,307200,0.1,8,1.39
1,1,1,0,0,0,0,50,307200,0.1,1,1.14
0,0,1,0,0,0,1,200,307200,0.1,8,1.33
1,1,1,0,0,0,0,100,307200,0.1,1,1.15
0,1,1,1,0,1,0,400,8294400,0.1,8,1.4
