tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,dpi,resolution,quality,indexed,time
0,1,1,1,0,1,0,100,8294400,0.9,8,2.3
0,0,0,0,0,1,1,100,307200,0.1,2,3.02
0,1,0,0,0,0,1,400,307200,0.1,1,2.93
0,1,1,0,0,0,1,400,307200,0.1,1,3.14
0,1,1,1,0,1,0,50,8294400,0.9,8,2.39
0,0,0,0,0,1,1,400,307200,0.1,1,3.21
0,1,1,0,1,0,0,200,307200,0.1,1,2.42
0,1,1,1,0,0,0,50,2073600,0.1,1,2.14
0,1,0,0,0,0,1,400,307200,0.1,8,3.02
1,1,1,0,0,1,0,400,2073600,0.1,8,2.34
0,1,1,1,0,1,0,50,2073600,0.9,8,2.25
1,1,1,0,0,0,0,200,307200,0.1,1,2.07
0,0,0,0,1,0,0,400,8294400,0.1,2,16.19
0,1,1,1,0,1,0,100,2073600,0.9,8,2.29
1,1,1,0,0,1,0,400,2073600,0.1,4,2.27
0,1,1,1,0,1,0,400,2073600,0.9,8,2.37
0,0,0,0,0,1,1,400,307200,0.1,8,3.18
0,1,1,0,1,1,0,400,2073600,0.1,8,5.53
0,0,0,0,1,0,0,50,8294400,0.1,1,15.5
1,0,0,0,0,0,0,50,8294400,0.1,1,2.15
0,0,0,0,1,0,0,50,2073600,0.1,1,4.93
0,1,1,1,0,1,0,50,307200,0.9,8,2.07
1,0,0,0,0,0,0,50,2073600,0.1,1,1.91
1,1,1,0,0,0,0,400,307200,0.1,1,2.02
0,1,0,0,0,0,1,200,307200,0.1,8,3.07
0,1,1,1,0,1,0,100,307200,0.9,8,2.06
0,0,0,0,1,0,0,100,2073600,0.1,1,5.02
0,1,1,1,0,1,0,200,2073600,0.9,8,2.27
0,1,1,0,1,0,0,400,307200,0.1,1,2.5
0,1,1,0,0,0,1,50,307200,0.1,1,3.34
0,1,1,0,0,0,1,100,307200,0.1,1,3.48
1,0,0,0,0,0,0,100,2073600,0.1,1,1.91
0,1,1,1,0,1,0,200,8294400,0.9,8,2.44
0,1,1,1,0,1,0,400,8294400,0.9,8,2.46
0,1,1,0,1,1,0,400,2073600,0.1,4,5.19
0,1,1,0,0,1,1,50,2073600,0.1,8,3.46
0,0,0,0,0,1,1,200,307200,0.1,8,3.06
0,1,1,0,1,0,0,50,307200,0.1,1,2.39
0,1,0,0,0,0,1,100,307200,0.1,8,3.23
0,0,0,0,0,1,1,100,307200,0.1,8,3.15
1,1,1,0,0,0,0,50,307200,0.1,1,1.95
0,0,1,0,0,0,1,200,307200,0.1,8,3.32
