iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,90,1.12
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,2.89
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,1.26
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,1.23
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.39
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,90,1.45
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90,1.77
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,1.37
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,90,1.4
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,1.43
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1.99
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,90,1.57
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.16
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,1.41
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,90,1.15
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,10,2.15
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,1.25
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,10,1.98
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,1.25
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1.54
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,1.23
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90,1.48
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,1.65
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,1.23
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,1.83
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,1.79
0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,90,1.92
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,2.49
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,2.48
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,1.75
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,10,2.67
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,10,1.53
0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,10,2.46
0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,90,1.8
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,1.74
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,1.81
0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,90,1.77
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,1.84
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,2.52
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,10,2.46
0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,90,1.77
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,1.74
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,10,1.55
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,1.84
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,90,1.18
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,2.42
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,2.47
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,10,3.62
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,90,1.99
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,1.94
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,10,1.97
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,1.37
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,1.47
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,1.66
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,10,1.46
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,90,1.76
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,1.32
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,1.69
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,1.38
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,1.52
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10,2.08
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.15
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1.98
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,1.26
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,1.3
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,1.26
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,10,2.01
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.31
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90,1.72
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,1.26
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,1.29
