iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,90,1.56
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,3.32
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,1.72
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,1.81
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.85
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,90,2.05
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90,2.43
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,1.81
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,90,1.96
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,1.95
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3.34
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,90,2.11
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.57
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,1.93
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,90,1.59
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,10,3.61
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,1.77
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,10,3.33
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,1.79
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,2.18
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,1.62
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90,2.03
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,2.29
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,1.8
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,2.41
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,2.47
0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,90,2.63
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,3.19
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,3.2
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,2.35
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,10,3.46
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,10,2.04
0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,10,3.18
0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,90,2.31
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,2.34
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,2.42
0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,90,2.43
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,2.4
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,3.4
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,10,3.15
0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,90,2.39
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,2.42
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,10,2.13
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,2.52
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,90,1.75
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,3.16
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,3.16
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,10,4.73
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,90,2.58
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,2.64
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,10,2.44
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,2.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,2.27
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,2.58
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,10,1.85
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,90,2.46
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,1.84
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,2.51
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,1.94
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,2.38
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10,2.74
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.62
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3.35
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,1.75
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,1.91
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,1.8
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,10,3.48
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.83
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90,2.33
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,1.81
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,1.82
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,1.99
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,2.29
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,10,1.7
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,1.73
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,10,2.09
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,10,2.21
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,90,2.32
0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,90,2.07
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,90,1.99
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,90,1.95
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,10,2.19
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,90,1.99
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,90,1.61
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,90,1.92
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,10,2.19
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10,2.68
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,90,2.1
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10,2.05
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,90,2.16
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,90,1.89
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10,2.18
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.64
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,90,1.99
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,1.8
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,10,2.51
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,10,4.39
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,10,1.89
0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,90,1.9
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90,1.92
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,1.81
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,90,1.89
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,1.64
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,10,2.41
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,90,1.9
