iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,90,16.34
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,39.73
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,16.42
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,16.39
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,24.03
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,90,33.76
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90,54.68
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,25.53
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,90,31.69
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,31.64
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,39.86
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,90,39.24
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,16.19
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,31.62
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,90,16.18
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,10,39.92
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,16.32
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,10,39.83
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,23.97
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,39.39
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,16.37
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90,33.79
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,31.84
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,23.87
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,54.94
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,54.98
0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,90,58.53
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,55.06
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,55.32
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,54.76
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,10,54.69
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,10,24.07
0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,10,54.87
0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,90,54.75
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,54.71
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,54.68
0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,90,54.58
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,58.81
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,55.35
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,10,54.99
0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,90,54.54
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,54.48
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,10,23.98
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,58.61
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,90,23.87
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,55.12
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,55.05
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,10,55.87
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,90,54.8
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,39.59
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,10,31.86
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,31.55
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,24.18
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,31.85
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,10,17.46
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,90,54.62
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,24.15
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,31.87
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,31.61
