iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,90,1.01
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,1.37
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,1.02
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,1.04
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.15
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,90,1.23
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90,1.28
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,1.14
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,90,1.18
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,1.17
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1.39
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,90,1.21
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.04
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,1.18
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,90,1.05
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,10,1.45
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,1.05
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,10,1.46
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,1.07
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1.22
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,1.04
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90,1.15
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,1.36
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,1.09
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,1.3
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,1.28
0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,90,1.39
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,1.6
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,10,1.59
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,1.27
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,10,1.7
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,10,1.14
0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,10,1.57
0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,90,1.3
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,1.31
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,90,1.31
0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,90,1.32
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,1.29
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,1.69
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,10,1.56
0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,90,1.27
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,90,1.28
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,10,1.18
0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,90,1.35
1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,90,1.1
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,1.58
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,10,1.57
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,10,2.04
0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,90,1.41
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,1.37
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,10,1.22
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90,1.16
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,1.15
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,1.21
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,10,1.07
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,90,1.29
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,1.17
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,1.26
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,90,1.15
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,1.18
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10,1.39
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.07
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1.4
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,1.05
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,1.18
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,1.09
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,10,1.47
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.14
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90,1.27
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,1.12
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,1.11
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,1.18
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,1.15
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,10,1.07
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,1.07
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,10,1.18
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,10,1.23
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,90,1.29
0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,90,1.25
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,90,1.23
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,90,1.22
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,10,1.24
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,90,1.14
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,90,1.05
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,90,1.19
