NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,1,0,0,0,0,0,1,0,0,0,0,0,44,8,0,16.15
0,0,0,0,0,0,0,0,0,0,1,0,1,48,160,0,23.92
0,1,0,0,1,0,0,0,0,0,0,0,0,44,8,2,16.0
0,0,0,0,0,0,1,0,0,0,0,0,1,48,320,0,19.42
0,0,0,0,0,0,1,0,0,0,0,0,1,44,160,0,18.89
0,1,0,0,0,0,0,1,0,0,0,0,0,48,8,1,13.92
0,0,0,0,0,0,1,0,0,0,0,0,1,22,160,0,15.46
0,0,0,0,0,0,0,0,1,0,0,0,1,22,8,1,13.4
0,0,0,0,0,0,0,0,1,0,0,1,1,48,160,0,20.21
0,1,0,0,1,0,0,0,0,0,0,0,0,44,8,0,12.83
0,0,0,0,0,0,0,0,0,0,1,0,1,48,8,0,14.1
0,0,0,1,0,0,0,0,0,0,1,0,0,22,320,0,12.52
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,0,10.1
0,1,0,0,0,0,0,1,0,0,0,0,0,22,8,0,10.43
0,0,0,1,0,0,0,0,1,0,0,0,0,8,160,0,3.26
0,0,0,1,0,0,0,0,0,0,1,0,0,22,160,0,11.71
0,0,0,1,1,0,0,0,0,0,0,0,0,22,8,1,11.08
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,0,13.3
0,0,0,1,1,0,0,0,0,0,0,0,0,8,160,0,4.76
0,0,0,0,0,0,0,1,0,0,0,0,1,22,8,1,11.53
0,1,0,0,0,0,0,0,1,0,0,0,0,8,8,1,3.65
0,1,0,0,0,0,0,0,0,0,1,0,0,48,8,0,6.92
0,1,0,0,1,0,0,0,0,0,0,0,0,8,8,0,2.04
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,0,8.85
0,1,0,0,0,0,1,0,0,1,0,0,0,22,160,0,10.17
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,0,9.66
0,1,0,0,0,0,0,1,0,0,0,0,0,48,160,0,16.21
0,0,0,1,0,0,0,0,1,0,0,0,0,48,8,0,17.27
0,1,0,0,0,0,0,1,0,0,0,0,0,44,8,0,19.51
0,0,0,1,0,0,0,0,1,0,0,0,0,22,8,1,11.06
0,0,0,0,0,0,0,0,0,0,1,0,1,44,8,1,22.3
0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,0,4.32
0,0,0,0,1,0,0,0,0,0,0,0,1,22,320,0,9.68
0,0,0,1,0,0,0,0,0,0,1,0,0,48,8,0,18.31
0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,0,4.7
0,0,0,1,0,0,0,0,1,0,0,0,0,44,160,0,13.71
0,1,0,0,0,1,0,0,1,0,0,0,0,48,320,0,16.26
0,0,0,0,0,0,0,0,0,0,1,0,1,44,8,0,22.49
0,1,0,0,1,0,0,0,0,0,0,0,0,44,160,0,18.29
0,0,0,1,0,0,0,0,1,0,0,0,0,8,8,0,4.79
0,0,1,1,0,0,0,1,0,0,0,0,0,22,8,0,9.63
0,0,0,0,0,0,0,0,1,0,0,0,1,22,8,0,14.26
0,0,0,1,0,0,0,1,0,0,0,0,0,48,8,2,18.34
0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,0,5.45
0,1,0,0,0,0,0,0,0,0,1,0,0,8,8,0,4.12
1,0,0,0,0,0,0,0,0,0,1,0,1,44,8,0,23.6
1,0,1,0,1,1,0,0,0,1,0,1,1,8,320,0,4.95
1,1,1,0,0,1,0,0,1,1,0,1,0,44,160,0,9.95
1,0,1,1,1,1,0,0,0,1,0,1,0,8,160,0,3.47
1,1,1,0,1,1,0,0,0,1,0,1,0,8,160,0,3.08
1,0,1,0,0,1,1,0,0,1,0,1,1,48,320,0,13.99
1,1,1,0,1,1,0,0,0,1,0,1,0,48,320,0,8.02
1,1,1,0,0,1,0,0,0,1,1,1,0,22,8,0,5.59
1,1,1,0,1,1,0,0,0,1,0,0,0,8,8,0,2.36
1,1,1,0,0,1,0,0,0,1,1,1,0,22,160,0,6.31
1,0,1,1,0,0,0,0,0,1,1,1,0,48,8,0,10.0
1,1,1,0,1,1,0,0,0,1,0,1,0,8,8,0,2.37
1,0,1,0,0,1,0,0,0,1,1,1,1,48,160,0,13.48
1,0,1,0,0,1,0,0,1,1,0,1,1,22,8,0,9.2
1,1,1,0,1,1,0,0,0,1,0,1,0,48,8,0,6.52
1,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,4.32
1,0,1,1,0,0,0,0,0,1,1,1,0,48,8,0,10.08
1,1,1,0,0,1,1,0,0,1,0,1,0,22,160,0,5.84
1,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,2.83
1,0,1,0,0,1,0,0,0,1,1,1,1,8,8,0,3.46
1,0,1,1,0,1,0,0,0,1,1,1,0,22,160,0,12.61
1,0,1,0,0,1,0,0,0,1,1,1,1,8,320,0,4.8
1,1,1,0,0,1,0,0,0,0,1,1,0,8,320,0,3.56
1,0,1,0,0,1,0,0,0,1,1,1,1,44,320,0,16.03
1,0,1,0,0,1,0,0,0,1,1,1,1,44,320,0,16.04
1,0,1,1,0,1,1,0,0,1,0,1,0,22,160,0,7.61
1,0,1,0,0,1,1,0,0,1,0,1,1,44,320,0,16.11
1,1,1,0,1,1,0,0,0,1,0,1,0,44,160,0,9.67
1,1,1,0,0,1,0,0,0,1,1,1,0,48,320,0,7.99
1,0,1,1,0,1,0,0,0,1,1,1,0,22,160,0,7.53
