encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,2.97
0,1,0,0,1,0,0,0,0,0,0,0.04
0,0,1,0,0,0,0,0,0,0,0,0.07
0,0,0,1,0,0,0,0,0,0,0,0.05
0,0,0,0,1,0,0,0,0,0,0,0.04
0,0,0,0,0,1,0,0,0,0,0,0.04
0,0,0,0,0,0,1,0,0,0,0,0.25
0,0,0,0,0,0,1,1,0,0,0,0.24
0,0,1,0,0,0,0,0,1,0,0,0.05
0,0,1,0,0,0,0,0,0,1,0,0.24
0,0,0,0,1,0,0,0,0,0,1,0.04
0,1,0,0,0,1,0,1,1,1,0,0.06
1,0,0,0,0,0,1,1,1,1,0,3.14
1,1,0,0,0,1,0,1,1,1,0,2.96
1,1,0,0,0,0,1,1,1,1,0,3.14
1,1,1,0,0,0,0,1,1,1,0,2.97
1,1,0,1,0,0,0,1,1,1,0,2.97
1,1,0,0,1,0,0,1,1,1,0,2.97
1,1,1,0,0,0,0,0,1,1,0,2.98
1,1,1,0,0,0,0,1,0,1,0,2.96
1,1,0,1,0,0,0,1,1,0,0,2.96
1,1,0,1,0,0,0,0,1,1,0,2.97
1,1,1,0,0,0,0,0,0,0,0,2.97
1,0,1,0,0,0,0,0,0,0,0,2.98
1,0,0,1,0,0,0,0,0,0,0,2.98
1,0,0,0,0,1,0,0,0,0,0,2.97
1,0,0,0,0,0,1,0,0,0,0,3.16
1,0,0,1,0,0,0,1,0,0,0,2.96
1,0,0,1,0,0,0,0,1,0,0,2.96
1,0,0,1,0,0,0,0,0,1,0,2.97
1,0,0,0,1,0,0,0,0,0,1,2.95
0,1,1,0,0,0,0,0,0,0,0,0.06
0,1,0,1,0,0,0,0,0,0,0,0.06
0,1,0,0,0,1,0,0,0,0,0,0.04
0,1,0,0,0,0,1,0,0,0,0,0.24
0,1,0,1,0,0,0,1,0,0,0,0.04
0,1,0,1,0,0,0,0,1,0,0,0.05
0,1,0,0,1,0,0,0,0,1,0,0.06
0,1,0,0,1,0,0,0,0,0,1,0.04
0,0,1,0,0,0,0,1,0,0,0,0.06
0,0,0,1,0,0,0,1,0,0,0,0.06
0,0,0,1,0,0,0,0,1,0,0,0.05
0,0,0,1,0,0,0,0,0,1,0,0.04
0,0,0,0,1,0,0,1,0,0,0,0.06
0,0,0,0,1,0,0,0,1,0,0,0.04
0,0,0,0,1,0,0,0,0,1,0,0.03
0,0,0,0,0,1,0,1,0,0,0,0.04
0,0,0,0,0,1,0,0,1,0,0,0.04
0,0,0,0,0,1,0,0,0,1,0,0.04
0,0,0,0,0,0,1,0,1,0,0,0.04
0,0,0,0,0,0,1,0,0,1,0,0.22
0,0,0,1,0,0,0,1,1,0,0,0.03
0,0,1,0,0,0,0,1,0,1,0,0.05
0,0,0,0,1,0,0,1,0,0,1,0.04
0,0,0,0,1,0,0,0,1,1,1,0.04
