encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,6.66
0,1,0,0,1,0,0,0,0,0,0,3.4
0,0,1,0,0,0,0,0,0,0,0,7.41
0,0,0,1,0,0,0,0,0,0,0,5.3
0,0,0,0,1,0,0,0,0,0,0,3.44
0,0,0,0,0,1,0,0,0,0,0,3.41
0,0,0,0,0,0,1,0,0,0,0,83.6
0,0,0,0,0,0,1,1,0,0,0,76.57
0,0,1,0,0,0,0,0,1,0,0,5.1
0,0,1,0,0,0,0,0,0,1,0,82.18
0,0,0,0,1,0,0,0,0,0,1,3.45
0,1,0,0,0,1,0,1,1,1,0,4.77
1,0,0,0,0,0,1,1,1,1,0,33.01
1,1,0,0,0,1,0,1,1,1,0,7.73
1,1,0,0,0,0,1,1,1,1,0,26.34
1,1,1,0,0,0,0,1,1,1,0,7.99
1,1,0,1,0,0,0,1,1,1,0,6.67
1,1,0,0,1,0,0,1,1,1,0,6.67
1,1,1,0,0,0,0,0,1,1,0,8.01
1,1,1,0,0,0,0,1,0,1,0,10.95
1,1,0,1,0,0,0,1,1,0,0,7.99
1,1,0,1,0,0,0,0,1,1,0,6.7
1,1,1,0,0,0,0,0,0,0,0,10.7
1,0,1,0,0,0,0,0,0,0,0,10.47
1,0,0,1,0,0,0,0,0,0,0,8.48
1,0,0,0,0,1,0,0,0,0,0,6.69
1,0,0,0,0,0,1,0,0,0,0,88.09
1,0,0,1,0,0,0,1,0,0,0,6.68
1,0,0,1,0,0,0,0,1,0,0,6.66
1,0,0,1,0,0,0,0,0,1,0,6.69
1,0,0,0,1,0,0,0,0,0,1,6.69
0,1,1,0,0,0,0,0,0,0,0,7.39
0,1,0,1,0,0,0,0,0,0,0,5.09
0,1,0,0,0,1,0,0,0,0,0,3.48
0,1,0,0,0,0,1,0,0,0,0,69.44
0,1,0,1,0,0,0,1,0,0,0,3.75
0,1,0,1,0,0,0,0,1,0,0,4.81
0,1,0,0,1,0,0,0,0,1,0,7.4
0,1,0,0,1,0,0,0,0,0,1,3.39
0,0,1,0,0,0,0,1,0,0,0,7.39
0,0,0,1,0,0,0,1,0,0,0,7.29
0,0,0,1,0,0,0,0,1,0,0,5.29
0,0,0,1,0,0,0,0,0,1,0,4.62
0,0,0,0,1,0,0,1,0,0,0,5.22
0,0,0,0,1,0,0,0,1,0,0,3.4
0,0,0,0,1,0,0,0,0,1,0,3.31
0,0,0,0,0,1,0,1,0,0,0,3.4
0,0,0,0,0,1,0,0,1,0,0,3.64
0,0,0,0,0,1,0,0,0,1,0,3.39
0,0,0,0,0,0,1,0,1,0,0,3.38
0,0,0,0,0,0,1,0,0,1,0,29.31
0,0,0,1,0,0,0,1,1,0,0,3.43
0,0,1,0,0,0,0,1,0,1,0,5.05
0,0,0,0,1,0,0,1,0,0,1,3.44
0,0,0,0,1,0,0,0,1,1,1,4.62
0,0,0,0,1,0,0,0,1,0,1,3.75
0,0,0,0,1,0,0,0,0,1,1,3.38
0,0,0,0,0,0,1,1,1,1,0,28.91
0,1,0,0,0,0,1,1,1,1,0,29.76
0,1,0,0,1,0,0,1,1,1,0,3.41
0,1,1,0,0,0,0,1,1,1,0,4.67
0,1,0,1,0,0,0,1,1,1,0,3.47
0,1,0,0,1,0,0,1,1,1,1,3.42
0,1,0,0,0,1,0,0,1,1,0,7.44
0,1,0,0,0,1,0,1,0,1,0,4.61
0,1,0,0,1,0,0,1,1,0,1,3.38
1,0,0,0,1,0,0,1,1,1,0,8.3
1,0,0,1,0,0,0,1,1,1,0,6.65
1,0,0,0,1,0,0,1,1,1,1,6.57
1,0,0,0,0,1,0,1,1,1,0,7.76
1,0,0,0,1,0,0,0,1,1,1,6.65
1,0,0,0,0,0,1,1,0,1,0,10.71
1,0,0,1,0,0,0,1,1,0,0,6.7
1,0,1,0,0,0,0,1,1,1,0,8.01
1,1,0,0,1,0,0,0,1,1,0,7.75
1,1,0,0,0,1,0,1,0,1,0,6.67
1,1,0,0,0,0,1,1,1,0,0,6.69
1,1,0,0,0,1,0,1,1,0,0,31.46
1,1,0,0,1,0,0,1,1,1,1,6.57
1,1,1,0,0,0,0,1,1,0,0,6.95
1,1,0,0,1,0,0,0,1,1,1,6.67
1,1,0,0,1,0,0,1,1,0,0,6.67
1,1,0,0,0,1,0,0,1,1,0,6.68
1,1,0,0,0,0,1,1,0,1,0,4.62
1,1,1,0,0,0,0,1,0,0,0,72.84
1,1,0,1,0,0,0,1,0,1,0,7.74
1,1,0,0,1,0,0,1,0,1,0,6.7
1,1,0,0,0,0,1,0,1,1,0,6.72
1,1,0,0,1,0,0,1,0,1,1,8.28
1,1,0,0,1,0,0,1,1,0,1,33.88
1,1,0,0,1,0,0,0,1,0,0,74.78
1,1,1,0,0,0,0,0,0,1,0,3.44
0,1,0,0,1,0,0,1,0,1,0,6.66
1,1,1,0,0,0,0,0,1,0,0,4.36
0,1,0,0,0,1,0,1,1,0,0,8.04
1,1,0,0,0,0,1,0,0,1,0,8.45
1,1,0,1,0,0,0,0,1,0,0,7.78
1,1,0,0,0,0,1,0,1,0,0,10.68
1,1,0,1,0,0,0,1,0,0,0,8.48
1,1,0,0,1,0,0,1,0,0,0,6.7
1,0,0,0,0,1,0,1,1,0,0,6.67
1,1,0,1,0,0,0,0,0,0,0,3.32
1,1,0,0,1,0,0,0,0,0,0,3.43
1,1,0,0,0,1,0,0,0,0,0,3.39
1,1,0,0,0,0,1,0,0,0,0,3.31
1,1,0,0,0,0,1,1,0,0,0,5.25
1,1,0,0,1,0,0,0,0,0,1,3.38
1,0,1,0,0,0,0,1,0,0,0,6.71
1,0,1,0,0,0,0,0,1,0,0,3.44
1,0,1,0,0,0,0,0,0,1,0,3.39
1,0,0,0,1,0,0,1,0,0,0,6.69
1,0,0,0,1,0,0,0,1,0,0,3.41
1,0,0,0,1,0,0,0,0,1,0,6.66
1,0,0,0,0,1,0,1,0,0,0,6.57
1,0,0,0,0,1,0,0,1,0,0,6.66
1,0,0,0,0,1,0,0,0,1,0,6.67
1,0,0,0,0,0,1,1,0,0,0,3.42
1,0,0,0,0,0,1,0,1,0,0,3.31
1,0,0,0,0,0,1,0,0,1,0,3.45
1,0,0,1,0,0,0,1,0,1,0,3.44
1,0,0,0,1,0,0,1,0,0,1,6.72
1,0,0,1,0,0,0,0,1,1,0,3.31
1,0,0,0,1,0,0,0,1,0,1,3.38
1,0,0,0,1,0,0,0,0,1,1,6.62
0,1,1,0,0,0,0,1,0,0,0,3.46
0,1,1,0,0,0,0,0,1,0,0,32.3
0,1,1,0,0,0,0,0,0,1,0,32.35
0,1,0,1,0,0,0,0,0,1,0,29.9
0,1,0,0,1,0,0,1,0,0,0,6.55
0,1,0,0,1,0,0,0,1,0,0,5.25
0,1,0,0,0,1,0,1,0,0,0,7.74
0,1,0,0,0,1,0,0,1,0,0,4.6
0,1,0,0,0,1,0,0,0,1,0,8.39
0,1,0,0,0,0,1,1,0,0,0,8.45
0,1,0,0,0,0,1,0,1,0,0,29.33
0,1,0,0,0,0,1,0,0,1,0,3.46
0,1,0,1,0,0,0,1,0,1,0,4.51
0,1,0,0,1,0,0,1,0,0,1,8.47
0,1,0,0,1,0,0,0,1,0,1,3.41
0,1,0,0,1,0,0,0,0,1,1,30.73
0,0,1,0,0,0,0,1,1,0,0,6.67
0,0,1,0,0,0,0,0,1,1,0,6.67
0,0,0,1,0,0,0,1,0,1,0,88.21
0,0,0,1,0,0,0,0,1,1,0,6.68
0,0,0,0,1,0,0,1,1,0,0,6.93
0,0,0,0,1,0,0,1,0,1,0,6.68
0,0,0,0,1,0,0,0,1,1,0,6.7
0,0,0,0,0,1,0,1,1,0,0,6.67
0,0,0,0,0,1,0,1,0,1,0,3.39
0,0,0,0,0,1,0,0,1,1,0,3.39
0,0,0,0,0,0,1,1,1,0,0,6.81
0,0,0,0,0,0,1,1,0,1,0,6.69
0,0,0,0,0,0,1,0,1,1,0,86.51
0,0,1,0,0,0,0,1,1,1,0,3.37
0,0,0,0,1,0,0,1,1,0,1,3.4
0,0,0,0,1,0,0,1,0,1,1,6.65
0,0,0,0,0,1,0,1,1,1,0,3.44
0,0,0,1,0,0,0,1,1,1,0,3.77
0,0,0,0,1,0,0,1,1,1,0,6.68
0,1,0,0,0,0,1,0,1,1,0,6.7
0,1,0,0,0,0,1,1,0,1,0,8.01
0,1,0,0,0,0,1,1,1,0,0,10.64
0,1,0,0,1,0,0,0,1,1,1,4.77
0,0,0,0,1,0,0,1,1,1,1,7.4
0,1,1,0,0,0,0,0,1,1,0,10.8
0,1,1,0,0,0,0,1,1,0,0,8.02
0,1,1,0,0,0,0,1,0,1,0,4.77
0,1,0,1,0,0,0,0,1,1,0,7.4
0,1,0,1,0,0,0,1,1,0,0,31.65
0,1,0,0,1,0,0,1,0,1,1,8.46
0,1,0,0,1,0,0,0,1,1,0,84.32
0,1,0,0,1,0,0,1,1,0,0,86.95
1,0,0,0,0,0,1,1,1,0,0,23.95
1,0,0,0,0,0,1,0,1,1,0,6.68
1,0,0,0,0,1,0,0,1,1,0,86.58
1,0,1,0,0,0,0,0,1,1,0,29.53
1,0,0,0,0,1,0,1,0,1,0,82.06
1,0,0,0,1,0,0,0,1,1,0,88.46
1,0,1,0,0,0,0,1,1,0,0,28.35
1,0,1,0,0,0,0,1,0,1,0,7.74
1,0,0,0,1,0,0,1,0,1,0,82.28
1,0,0,0,1,0,0,1,1,0,0,5.3
1,0,0,0,1,0,0,1,0,1,1,82.05
1,0,0,0,1,0,0,1,1,0,1,4.63
1,1,0,0,1,0,0,0,0,1,0,3.3
1,1,0,1,0,0,0,0,0,1,0,6.81
1,1,0,0,1,0,0,0,1,0,1,3.42
1,1,0,0,0,1,0,1,0,0,0,3.43
1,1,0,0,0,1,0,0,1,0,0,4.64
1,1,0,0,0,1,0,0,0,1,0,8.0
1,1,0,0,1,0,0,0,0,1,1,10.65
