encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,11.61
0,1,0,0,1,0,0,0,0,0,0,8.0
0,0,1,0,0,0,0,0,0,0,0,14.37
0,0,0,1,0,0,0,0,0,0,0,12.79
0,0,0,0,1,0,0,0,0,0,0,7.43
0,0,0,0,0,1,0,0,0,0,0,7.17
0,0,0,0,0,0,1,0,0,0,0,103.78
0,0,0,0,0,0,1,1,0,0,0,87.43
0,0,1,0,0,0,0,0,1,0,0,9.53
0,0,1,0,0,0,0,0,0,1,0,104.03
0,0,0,0,1,0,0,0,0,0,1,7.43
0,1,0,0,0,1,0,1,1,1,0,9.31
1,0,0,0,0,0,1,1,1,1,0,63.11
1,1,0,0,0,1,0,1,1,1,0,12.39
1,1,0,0,0,0,1,1,1,1,0,63.1
1,1,1,0,0,0,0,1,1,1,0,12.79
1,1,0,1,0,0,0,1,1,1,0,11.09
1,1,0,0,1,0,0,1,1,1,0,11.61
1,1,1,0,0,0,0,0,1,1,0,12.47
1,1,1,0,0,0,0,1,0,1,0,17.5
1,1,0,1,0,0,0,1,1,0,0,12.48
1,1,0,1,0,0,0,0,1,1,0,11.08
1,1,1,0,0,0,0,0,0,0,0,16.73
1,0,1,0,0,0,0,0,0,0,0,17.53
1,0,0,1,0,0,0,0,0,0,0,15.9
1,0,0,0,0,1,0,0,0,0,0,10.75
1,0,0,0,0,0,1,0,0,0,0,107.19
1,0,0,1,0,0,0,1,0,0,0,11.55
1,0,0,1,0,0,0,0,1,0,0,11.02
1,0,0,1,0,0,0,0,0,1,0,11.61
1,0,0,0,1,0,0,0,0,0,1,11.58
0,1,1,0,0,0,0,0,0,0,0,14.4
0,1,0,1,0,0,0,0,0,0,0,12.69
0,1,0,0,0,1,0,0,0,0,0,7.76
0,1,0,0,0,0,1,0,0,0,0,103.87
0,1,0,1,0,0,0,1,0,0,0,7.17
0,1,0,1,0,0,0,0,1,0,0,9.51
0,1,0,0,1,0,0,0,0,1,0,13.59
0,1,0,0,1,0,0,0,0,0,1,8.18
0,0,1,0,0,0,0,1,0,0,0,14.39
0,0,0,1,0,0,0,1,0,0,0,14.38
0,0,0,1,0,0,0,0,1,0,0,12.83
0,0,0,1,0,0,0,0,0,1,0,9.23
0,0,0,0,1,0,0,1,0,0,0,12.9
0,0,0,0,1,0,0,0,1,0,0,7.98
0,0,0,0,1,0,0,0,0,1,0,7.21
0,0,0,0,0,1,0,1,0,0,0,8.22
0,0,0,0,0,1,0,0,1,0,0,7.91
0,0,0,0,0,1,0,0,0,1,0,7.96
0,0,0,0,0,0,1,0,1,0,0,7.93
0,0,0,0,0,0,1,0,0,1,0,60.24
0,0,0,1,0,0,0,1,1,0,0,8.03
0,0,1,0,0,0,0,1,0,1,0,11.97
0,0,0,0,1,0,0,1,0,0,1,7.24
0,0,0,0,1,0,0,0,1,1,1,9.2
0,0,0,0,1,0,0,0,1,0,1,8.0
0,0,0,0,1,0,0,0,0,1,1,8.24
0,0,0,0,0,0,1,1,1,1,0,60.51
0,1,0,0,0,0,1,1,1,1,0,60.55
0,1,0,0,1,0,0,1,1,1,0,7.94
0,1,1,0,0,0,0,1,1,1,0,9.37
0,1,0,1,0,0,0,1,1,1,0,8.03
0,1,0,0,1,0,0,1,1,1,1,8.02
0,1,0,0,0,1,0,0,1,1,0,13.58
0,1,0,0,0,1,0,1,0,1,0,9.52
0,1,0,0,1,0,0,1,1,0,1,8.04
1,0,0,0,1,0,0,1,1,1,0,12.7
1,0,0,1,0,0,0,1,1,1,0,10.82
