encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,36.53
0,1,0,0,1,0,0,0,0,0,0,34.54
0,0,1,0,0,0,0,0,0,0,0,35.35
0,0,0,1,0,0,0,0,0,0,0,37.39
0,0,0,0,1,0,0,0,0,0,0,34.54
0,0,0,0,0,1,0,0,0,0,0,34.47
0,0,0,0,0,0,1,0,0,0,0,59.01
0,0,0,0,0,0,1,1,0,0,0,59.05
0,0,1,0,0,0,0,0,1,0,0,34.64
0,0,1,0,0,0,0,0,0,1,0,59.01
0,0,0,0,1,0,0,0,0,0,1,34.56
0,1,0,0,0,1,0,1,1,1,0,35.75
1,0,0,0,0,0,1,1,1,1,0,51.13
1,1,0,0,0,1,0,1,1,1,0,39.34
1,1,0,0,0,0,1,1,1,1,0,51.13
1,1,1,0,0,0,0,1,1,1,0,38.67
1,1,0,1,0,0,0,1,1,1,0,37.53
1,1,0,0,1,0,0,1,1,1,0,37.58
1,1,1,0,0,0,0,0,1,1,0,38.67
1,1,1,0,0,0,0,1,0,1,0,39.52
1,1,0,1,0,0,0,1,1,0,0,38.71
1,1,0,1,0,0,0,0,1,1,0,37.56
1,1,1,0,0,0,0,0,0,0,0,38.34
1,0,1,0,0,0,0,0,0,0,0,38.36
1,0,0,1,0,0,0,0,0,0,0,39.23
1,0,0,0,0,1,0,0,0,0,0,37.57
1,0,0,0,0,0,1,0,0,0,0,62.02
1,0,0,1,0,0,0,1,0,0,0,37.62
1,0,0,1,0,0,0,0,1,0,0,37.52
1,0,0,1,0,0,0,0,0,1,0,37.61
1,0,0,0,1,0,0,0,0,0,1,37.62
0,1,1,0,0,0,0,0,0,0,0,36.5
0,1,0,1,0,0,0,0,0,0,0,37.35
0,1,0,0,0,1,0,0,0,0,0,34.48
0,1,0,0,0,0,1,0,0,0,0,59.05
0,1,0,1,0,0,0,1,0,0,0,34.44
0,1,0,1,0,0,0,0,1,0,0,35.75
0,1,0,0,1,0,0,0,0,1,0,36.51
0,1,0,0,1,0,0,0,0,0,1,34.51
0,0,1,0,0,0,0,1,0,0,0,36.52
0,0,0,1,0,0,0,1,0,0,0,35.39
0,0,0,1,0,0,0,0,1,0,0,37.35
0,0,0,1,0,0,0,0,0,1,0,35.2
0,0,0,0,1,0,0,1,0,0,0,37.38
0,0,0,0,1,0,0,0,1,0,0,33.48
0,0,0,0,1,0,0,0,0,1,0,34.48
0,0,0,0,0,1,0,1,0,0,0,34.55
0,0,0,0,0,1,0,0,1,0,0,34.46
0,0,0,0,0,1,0,0,0,1,0,34.48
0,0,0,0,0,0,1,0,1,0,0,34.48
0,0,0,0,0,0,1,0,0,1,0,48.09
0,0,0,1,0,0,0,1,1,0,0,34.47
0,0,1,0,0,0,0,1,0,1,0,37.39
0,0,0,0,1,0,0,1,0,0,1,34.53
0,0,0,0,1,0,0,0,1,1,1,36.26
0,0,0,0,1,0,0,0,1,0,1,34.49
0,0,0,0,1,0,0,0,0,1,1,34.58
0,0,0,0,0,0,1,1,1,1,0,47.04
0,1,0,0,0,0,1,1,1,1,0,47.06
0,1,0,0,1,0,0,1,1,1,0,33.42
0,1,1,0,0,0,0,1,1,1,0,36.29
0,1,0,1,0,0,0,1,1,1,0,34.53
0,1,0,0,1,0,0,1,1,1,1,34.48
0,1,0,0,0,1,0,0,1,1,0,36.51
0,1,0,0,0,1,0,1,0,1,0,36.32
0,1,0,0,1,0,0,1,1,0,1,34.53
1,0,0,0,1,0,0,1,1,1,0,38.68
1,0,0,1,0,0,0,1,1,1,0,37.63
1,0,0,0,1,0,0,1,1,1,1,37.53
1,0,0,0,0,1,0,1,1,1,0,39.29
1,0,0,0,1,0,0,0,1,1,1,37.64
1,0,0,0,0,0,1,1,0,1,0,39.49
1,0,0,1,0,0,0,1,1,0,0,37.61
1,0,1,0,0,0,0,1,1,1,0,38.69
1,1,0,0,1,0,0,0,1,1,0,39.32
1,1,0,0,0,1,0,1,0,1,0,37.61
1,1,0,0,0,0,1,1,1,0,0,36.47
1,1,0,0,0,1,0,1,1,0,0,51.02
