encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,3.99
0,1,0,0,1,0,0,0,0,0,0,1.02
0,0,1,0,0,0,0,0,0,0,0,1.73
0,0,0,1,0,0,0,0,0,0,0,2.27
0,0,0,0,1,0,0,0,0,0,0,1.02
0,0,0,0,0,1,0,0,0,0,0,0.99
0,0,0,0,0,0,1,0,0,0,0,8.46
0,0,0,0,0,0,1,1,0,0,0,8.57
0,0,1,0,0,0,0,0,1,0,0,1.7
0,0,1,0,0,0,0,0,0,1,0,8.58
0,0,0,0,1,0,0,0,0,0,1,1.02
0,1,0,0,0,1,0,1,1,1,0,1.7
1,0,0,0,0,0,1,1,1,1,0,11.18
1,1,0,0,0,1,0,1,1,1,0,5.18
1,1,0,0,0,0,1,1,1,1,0,11.19
1,1,1,0,0,0,0,1,1,1,0,4.64
1,1,0,1,0,0,0,1,1,1,0,3.94
1,1,0,0,1,0,0,1,1,1,0,3.99
1,1,1,0,0,0,0,0,1,1,0,4.63
1,1,1,0,0,0,0,1,0,1,0,4.66
1,1,0,1,0,0,0,1,1,0,0,4.64
1,1,0,1,0,0,0,0,1,1,0,3.97
1,1,1,0,0,0,0,0,0,0,0,4.65
1,0,1,0,0,0,0,0,0,0,0,4.57
1,0,0,1,0,0,0,0,0,0,0,5.16
1,0,0,0,0,1,0,0,0,0,0,3.96
1,0,0,0,0,0,1,0,0,0,0,11.44
1,0,0,1,0,0,0,1,0,0,0,3.97
1,0,0,1,0,0,0,0,1,0,0,3.98
1,0,0,1,0,0,0,0,0,1,0,4.0
1,0,0,0,1,0,0,0,0,0,1,3.99
0,1,1,0,0,0,0,0,0,0,0,1.73
0,1,0,1,0,0,0,0,0,0,0,2.27
0,1,0,0,0,1,0,0,0,0,0,0.97
0,1,0,0,0,0,1,0,0,0,0,8.44
0,1,0,1,0,0,0,1,0,0,0,0.99
0,1,0,1,0,0,0,0,1,0,0,1.65
0,1,0,0,1,0,0,0,0,1,0,1.65
0,1,0,0,1,0,0,0,0,0,1,1.03
0,0,1,0,0,0,0,1,0,0,0,1.72
0,0,0,1,0,0,0,1,0,0,0,1.72
0,0,0,1,0,0,0,0,1,0,0,2.28
