encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,3.13
0,1,0,0,1,0,0,0,0,0,0,0.22
0,0,1,0,0,0,0,0,0,0,0,0.3
0,0,0,1,0,0,0,0,0,0,0,0.27
0,0,0,0,1,0,0,0,0,0,0,0.22
0,0,0,0,0,1,0,0,0,0,0,0.21
0,0,0,0,0,0,1,0,0,0,0,1.14
0,0,0,0,0,0,1,1,0,0,0,1.11
0,0,1,0,0,0,0,0,1,0,0,0.26
0,0,1,0,0,0,0,0,0,1,0,1.12
0,0,0,0,1,0,0,0,0,0,1,0.22
0,1,0,0,0,1,0,1,1,1,0,0.28
1,0,0,0,0,0,1,1,1,1,0,4.03
1,1,0,0,0,1,0,1,1,1,0,3.2
1,1,0,0,0,0,1,1,1,1,0,4.03
1,1,1,0,0,0,0,1,1,1,0,3.19
1,1,0,1,0,0,0,1,1,1,0,3.13
1,1,0,0,1,0,0,1,1,1,0,3.15
1,1,1,0,0,0,0,0,1,1,0,3.21
1,1,1,0,0,0,0,1,0,1,0,3.22
1,1,0,1,0,0,0,1,1,0,0,3.2
1,1,0,1,0,0,0,0,1,1,0,3.13
1,1,1,0,0,0,0,0,0,0,0,3.21
1,0,1,0,0,0,0,0,0,0,0,3.21
1,0,0,1,0,0,0,0,0,0,0,3.21
1,0,0,0,0,1,0,0,0,0,0,3.15
1,0,0,0,0,0,1,0,0,0,0,4.03
1,0,0,1,0,0,0,1,0,0,0,3.13
1,0,0,1,0,0,0,0,1,0,0,3.13
1,0,0,1,0,0,0,0,0,1,0,3.13
1,0,0,0,1,0,0,0,0,0,1,3.14
0,1,1,0,0,0,0,0,0,0,0,0.28
0,1,0,1,0,0,0,0,0,0,0,0.26
0,1,0,0,0,1,0,0,0,0,0,0.21
0,1,0,0,0,0,1,0,0,0,0,1.13
0,1,0,1,0,0,0,1,0,0,0,0.21
0,1,0,1,0,0,0,0,1,0,0,0.28
0,1,0,0,1,0,0,0,0,1,0,0.27
0,1,0,0,1,0,0,0,0,0,1,0.21
0,0,1,0,0,0,0,1,0,0,0,0.29
0,0,0,1,0,0,0,1,0,0,0,0.3
0,0,0,1,0,0,0,0,1,0,0,0.27
0,0,0,1,0,0,0,0,0,1,0,0.27
0,0,0,0,1,0,0,1,0,0,0,0.28
0,0,0,0,1,0,0,0,1,0,0,0.21
0,0,0,0,1,0,0,0,0,1,0,0.2
0,0,0,0,0,1,0,1,0,0,0,0.21
0,0,0,0,0,1,0,0,1,0,0,0.21
0,0,0,0,0,1,0,0,0,1,0,0.21
0,0,0,0,0,0,1,0,1,0,0,0.21
0,0,0,0,0,0,1,0,0,1,0,1.11
0,0,0,1,0,0,0,1,1,0,0,0.21
0,0,1,0,0,0,0,1,0,1,0,0.28
0,0,0,0,1,0,0,1,0,0,1,0.21
0,0,0,0,1,0,0,0,1,1,1,0.26
0,0,0,0,1,0,0,0,1,0,1,0.2
0,0,0,0,1,0,0,0,0,1,1,0.22
0,0,0,0,0,0,1,1,1,1,0,1.11
0,1,0,0,0,0,1,1,1,1,0,1.11
0,1,0,0,1,0,0,1,1,1,0,0.21
0,1,1,0,0,0,0,1,1,1,0,0.27
0,1,0,1,0,0,0,1,1,1,0,0.2
0,1,0,0,1,0,0,1,1,1,1,0.21
0,1,0,0,0,1,0,0,1,1,0,0.28
0,1,0,0,0,1,0,1,0,1,0,0.27
0,1,0,0,1,0,0,1,1,0,1,0.2
1,0,0,0,1,0,0,1,1,1,0,3.18
1,0,0,1,0,0,0,1,1,1,0,3.14
1,0,0,0,1,0,0,1,1,1,1,3.15
