encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,15.17
0,1,0,0,1,0,0,0,0,0,0,11.21
0,0,1,0,0,0,0,0,0,0,0,22.65
0,0,0,1,0,0,0,0,0,0,0,19.52
0,0,0,0,1,0,0,0,0,0,0,11.69
0,0,0,0,0,1,0,0,0,0,0,11.27
0,0,0,0,0,0,1,0,0,0,0,163.76
0,0,0,0,0,0,1,1,0,0,0,163.34
0,0,1,0,0,0,0,0,1,0,0,14.54
0,0,1,0,0,0,0,0,0,1,0,163.08
0,0,0,0,1,0,0,0,0,0,1,11.31
0,1,0,0,0,1,0,1,1,1,0,15.43
1,0,0,0,0,0,1,1,1,1,0,99.66
1,1,0,0,0,1,0,1,1,1,0,16.7
1,1,0,0,0,0,1,1,1,1,0,100.16
1,1,1,0,0,0,0,1,1,1,0,18.66
1,1,0,1,0,0,0,1,1,1,0,14.52
1,1,0,0,1,0,0,1,1,1,0,15.46
1,1,1,0,0,0,0,0,1,1,0,18.03
1,1,1,0,0,0,0,1,0,1,0,25.54
1,1,0,1,0,0,0,1,1,0,0,18.25
1,1,0,1,0,0,0,0,1,1,0,14.11
1,1,1,0,0,0,0,0,0,0,0,25.93
1,0,1,0,0,0,0,0,0,0,0,26.04
1,0,0,1,0,0,0,0,0,0,0,23.01
1,0,0,0,0,1,0,0,0,0,0,15.22
1,0,0,0,0,0,1,0,0,0,0,165.65
1,0,0,1,0,0,0,1,0,0,0,14.94
1,0,0,1,0,0,0,0,1,0,0,14.37
1,0,0,1,0,0,0,0,0,1,0,15.48
1,0,0,0,1,0,0,0,0,0,1,15.27
0,1,1,0,0,0,0,0,0,0,0,22.97
0,1,0,1,0,0,0,0,0,0,0,19.9
0,1,0,0,0,1,0,0,0,0,0,10.97
0,1,0,0,0,0,1,0,0,0,0,163.6
0,1,0,1,0,0,0,1,0,0,0,11.16
0,1,0,1,0,0,0,0,1,0,0,14.39
0,1,0,0,1,0,0,0,0,1,0,22.7
0,1,0,0,1,0,0,0,0,0,1,11.69
0,0,1,0,0,0,0,1,0,0,0,23.03
0,0,0,1,0,0,0,1,0,0,0,23.01
0,0,0,1,0,0,0,0,1,0,0,19.74
0,0,0,1,0,0,0,0,0,1,0,13.55
0,0,0,0,1,0,0,1,0,0,0,19.55
0,0,0,0,1,0,0,0,1,0,0,11.33
0,0,0,0,1,0,0,0,0,1,0,11.32
0,0,0,0,0,1,0,1,0,0,0,11.61
0,0,0,0,0,1,0,0,1,0,0,11.27
0,0,0,0,0,1,0,0,0,1,0,11.34
0,0,0,0,0,0,1,0,1,0,0,10.9
0,0,0,0,0,0,1,0,0,1,0,99.95
0,0,0,1,0,0,0,1,1,0,0,11.16
0,0,1,0,0,0,0,1,0,1,0,19.9
0,0,0,0,1,0,0,1,0,0,1,11.35
0,0,0,0,1,0,0,0,1,1,1,13.23
0,0,0,0,1,0,0,0,1,0,1,11.28
0,0,0,0,1,0,0,0,0,1,1,11.33
0,0,0,0,0,0,1,1,1,1,0,99.88
0,1,0,0,0,0,1,1,1,1,0,100.13
0,1,0,0,1,0,0,1,1,1,0,11.29
0,1,1,0,0,0,0,1,1,1,0,14.14
0,1,0,1,0,0,0,1,1,1,0,11.07
0,1,0,0,1,0,0,1,1,1,1,11.26
0,1,0,0,0,1,0,0,1,1,0,22.99
0,1,0,0,0,1,0,1,0,1,0,14.12
0,1,0,0,1,0,0,1,1,0,1,11.03
1,0,0,0,1,0,0,1,1,1,0,18.6
