encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,14.66
0,1,0,0,1,0,0,0,0,0,0,10.5
0,0,1,0,0,0,0,0,0,0,0,25.23
0,0,0,1,0,0,0,0,0,0,0,25.05
0,0,0,0,1,0,0,0,0,0,0,10.74
0,0,0,0,0,1,0,0,0,0,0,10.19
0,0,0,0,0,0,1,0,0,0,0,313.74
0,0,0,0,0,0,1,1,0,0,0,314.98
0,0,1,0,0,0,0,0,1,0,0,15.21
0,0,1,0,0,0,0,0,0,1,0,289.28
0,0,0,0,1,0,0,0,0,0,1,10.72
0,1,0,0,0,1,0,1,1,1,0,14.75
1,0,0,0,0,0,1,1,1,1,0,183.25
1,1,0,0,0,1,0,1,1,1,0,18.76
1,1,0,0,0,0,1,1,1,1,0,185.03
1,1,1,0,0,0,0,1,1,1,0,18.78
1,1,0,1,0,0,0,1,1,1,0,13.7
1,1,0,0,1,0,0,1,1,1,0,14.42
1,1,1,0,0,0,0,0,1,1,0,18.74
1,1,1,0,0,0,0,1,0,1,0,28.35
1,1,0,1,0,0,0,1,1,0,0,18.78
1,1,0,1,0,0,0,0,1,1,0,13.74
1,1,1,0,0,0,0,0,0,0,0,28.98
1,0,1,0,0,0,0,0,0,0,0,27.65
1,0,0,1,0,0,0,0,0,0,0,28.6
1,0,0,0,0,1,0,0,0,0,0,13.52
1,0,0,0,0,0,1,0,0,0,0,263.52
1,0,0,1,0,0,0,1,0,0,0,14.64
1,0,0,1,0,0,0,0,1,0,0,13.61
1,0,0,1,0,0,0,0,0,1,0,14.68
1,0,0,0,1,0,0,0,0,0,1,14.91
0,1,1,0,0,0,0,0,0,0,0,25.2
0,1,0,1,0,0,0,0,0,0,0,24.81
0,1,0,0,0,1,0,0,0,0,0,10.13
0,1,0,0,0,0,1,0,0,0,0,226.32
0,1,0,1,0,0,0,1,0,0,0,8.85
0,1,0,1,0,0,0,0,1,0,0,14.83
0,1,0,0,1,0,0,0,0,1,0,25.21
0,1,0,0,1,0,0,0,0,0,1,10.7
0,0,1,0,0,0,0,1,0,0,0,25.21
0,0,0,1,0,0,0,1,0,0,0,25.17
0,0,0,1,0,0,0,0,1,0,0,24.34
0,0,0,1,0,0,0,0,0,1,0,15.02
0,0,0,0,1,0,0,1,0,0,0,23.62
