encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,8.99
0,1,0,0,1,0,0,0,0,0,0,6.47
0,0,1,0,0,0,0,0,0,0,0,13.72
0,0,0,1,0,0,0,0,0,0,0,13.42
0,0,0,0,1,0,0,0,0,0,0,6.48
0,0,0,0,0,1,0,0,0,0,0,6.21
0,0,0,0,0,0,1,0,0,0,0,113.07
0,0,0,0,0,0,1,1,0,0,0,158.55
0,0,1,0,0,0,0,0,1,0,0,8.47
0,0,1,0,0,0,0,0,0,1,0,114.11
0,0,0,0,1,0,0,0,0,0,1,6.49
0,1,0,0,0,1,0,1,1,1,0,8.74
1,0,0,0,0,0,1,1,1,1,0,93.27
1,1,0,0,0,1,0,1,1,1,0,12.08
1,1,0,0,0,0,1,1,1,1,0,84.37
1,1,1,0,0,0,0,1,1,1,0,11.92
1,1,0,1,0,0,0,1,1,1,0,9.45
1,1,0,0,1,0,0,1,1,1,0,9.88
1,1,1,0,0,0,0,0,1,1,0,11.51
1,1,1,0,0,0,0,1,0,1,0,17.09
1,1,0,1,0,0,0,1,1,0,0,11.9
1,1,0,1,0,0,0,0,1,1,0,9.38
1,1,1,0,0,0,0,0,0,0,0,17.09
1,0,1,0,0,0,0,0,0,0,0,17.04
1,0,0,1,0,0,0,0,0,0,0,16.59
1,0,0,0,0,1,0,0,0,0,0,10.05
1,0,0,0,0,0,1,0,0,0,0,162.34
1,0,0,1,0,0,0,1,0,0,0,10.03
1,0,0,1,0,0,0,0,1,0,0,9.37
1,0,0,1,0,0,0,0,0,1,0,9.0
1,0,0,0,1,0,0,0,0,0,1,10.03
0,1,1,0,0,0,0,0,0,0,0,13.28
0,1,0,1,0,0,0,0,0,0,0,13.48
0,1,0,0,0,1,0,0,0,0,0,6.23
0,1,0,0,0,0,1,0,0,0,0,139.2
0,1,0,1,0,0,0,1,0,0,0,6.21
0,1,0,1,0,0,0,0,1,0,0,8.38
0,1,0,0,1,0,0,0,0,1,0,12.77
0,1,0,0,1,0,0,0,0,0,1,6.31
0,0,1,0,0,0,0,1,0,0,0,13.71
0,0,0,1,0,0,0,1,0,0,0,13.72
0,0,0,1,0,0,0,0,1,0,0,13.47
0,0,0,1,0,0,0,0,0,1,0,8.69
0,0,0,0,1,0,0,1,0,0,0,13.48
0,0,0,0,1,0,0,0,1,0,0,6.32
0,0,0,0,1,0,0,0,0,1,0,6.08
0,0,0,0,0,1,0,1,0,0,0,6.55
0,0,0,0,0,1,0,0,1,0,0,6.19
0,0,0,0,0,1,0,0,0,1,0,6.08
0,0,0,0,0,0,1,0,1,0,0,6.2
0,0,0,0,0,0,1,0,0,1,0,81.53
0,0,0,1,0,0,0,1,1,0,0,6.12
0,0,1,0,0,0,0,1,0,1,0,13.54
0,0,0,0,1,0,0,1,0,0,1,6.11
0,0,0,0,1,0,0,0,1,1,1,8.69
0,0,0,0,1,0,0,0,1,0,1,6.32
0,0,0,0,1,0,0,0,0,1,1,6.33
0,0,0,0,0,0,1,1,1,1,0,87.62
0,1,0,0,0,0,1,1,1,1,0,91.09
0,1,0,0,1,0,0,1,1,1,0,6.21
0,1,1,0,0,0,0,1,1,1,0,8.97
0,1,0,1,0,0,0,1,1,1,0,6.28
0,1,0,0,1,0,0,1,1,1,1,6.08
0,1,0,0,0,1,0,0,1,1,0,13.36
0,1,0,0,0,1,0,1,0,1,0,9.16
0,1,0,0,1,0,0,1,1,0,1,6.14
1,0,0,0,1,0,0,1,1,1,0,11.88
1,0,0,1,0,0,0,1,1,1,0,9.91
1,0,0,0,1,0,0,1,1,1,1,9.43
1,0,0,0,0,1,0,1,1,1,0,12.1
1,0,0,0,1,0,0,0,1,1,1,9.77
1,0,0,0,0,0,1,1,0,1,0,17.08
1,0,0,1,0,0,0,1,1,0,0,9.75
