auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,0,0,0,0,0,0,5.92
0,1,0,0,0,0,0,0,0,0,0,0,7.07
0,0,1,0,0,0,0,0,0,0,0,0,5.87
0,0,0,1,0,0,0,0,0,0,0,0,5.91
0,0,0,0,1,0,0,0,0,0,0,0,5.87
0,0,0,0,0,1,0,0,0,0,0,0,8.9
0,0,0,0,0,0,1,0,0,0,0,0,5.85
0,0,0,0,0,0,0,1,0,0,0,0,5.87
0,0,0,0,0,0,0,0,1,0,0,0,9.64
0,0,0,0,0,0,0,0,0,1,0,0,5.92
0,0,0,0,0,0,0,0,0,0,1,0,5.9
0,0,0,0,0,0,0,0,0,0,0,1,5.9
0,1,1,1,1,1,1,1,1,1,1,0,323.05
1,0,1,1,1,1,1,1,1,1,1,0,15.72
1,1,0,1,1,1,1,1,1,1,1,0,324.7
1,1,1,0,1,1,1,1,1,1,1,0,324.04
1,1,1,1,0,1,1,1,1,1,1,0,326.11
1,1,1,1,1,0,1,1,1,1,1,0,59.73
1,1,1,1,1,1,0,1,1,1,1,0,326.14
1,1,1,1,1,1,1,0,1,1,1,0,324.68
1,1,1,1,1,1,1,1,0,1,1,0,495.68
1,1,1,1,1,1,1,1,1,0,1,0,324.39
1,1,1,1,1,1,1,1,1,1,0,0,323.16
1,1,1,1,1,1,1,1,1,1,1,0,324.57
1,1,0,0,0,0,0,0,0,0,0,0,7.15
1,0,1,0,0,0,0,0,0,0,0,0,5.95
1,0,0,1,0,0,0,0,0,0,0,0,5.91
1,0,0,0,1,0,0,0,0,0,0,0,5.91
1,0,0,0,0,1,0,0,0,0,0,0,8.91
1,0,0,0,0,0,1,0,0,0,0,0,5.91
1,0,0,0,0,0,0,1,0,0,0,0,5.96
1,0,0,0,0,0,0,0,1,0,0,0,9.65
1,0,0,0,0,0,0,0,0,1,0,0,5.96
1,0,0,0,0,0,0,0,0,0,1,0,5.94
1,0,0,0,0,0,0,0,0,0,0,1,5.93
0,1,1,0,0,0,0,0,0,0,0,0,7.08
0,1,0,1,0,0,0,0,0,0,0,0,7.06
0,1,0,0,1,0,0,0,0,0,0,0,7.07
0,1,0,0,0,1,0,0,0,0,0,0,501.26
0,1,0,0,0,0,1,0,0,0,0,0,7.04
0,1,0,0,0,0,0,1,0,0,0,0,7.14
0,1,0,0,0,0,0,0,1,0,0,0,60.49
0,1,0,0,0,0,0,0,0,1,0,0,7.12
0,1,0,0,0,0,0,0,0,0,1,0,7.09
0,1,0,0,0,0,0,0,0,0,0,1,7.09
0,0,1,1,0,0,0,0,0,0,0,0,5.91
0,0,1,0,1,0,0,0,0,0,0,0,5.92
0,0,1,0,0,1,0,0,0,0,0,0,8.92
0,0,1,0,0,0,1,0,0,0,0,0,5.87
0,0,1,0,0,0,0,1,0,0,0,0,5.9
0,0,1,0,0,0,0,0,1,0,0,0,9.6
0,0,1,0,0,0,0,0,0,1,0,0,5.94
0,0,1,0,0,0,0,0,0,0,1,0,5.89
0,0,1,0,0,0,0,0,0,0,0,1,5.89
0,0,0,1,1,0,0,0,0,0,0,0,5.89
0,0,0,1,0,1,0,0,0,0,0,0,8.88
0,0,0,1,0,0,1,0,0,0,0,0,5.88
0,0,0,1,0,0,0,1,0,0,0,0,5.91
0,0,0,1,0,0,0,0,1,0,0,0,9.54
0,0,0,1,0,0,0,0,0,1,0,0,5.87
0,0,0,1,0,0,0,0,0,0,1,0,5.88
0,0,0,1,0,0,0,0,0,0,0,1,5.92
0,0,0,0,1,1,0,0,0,0,0,0,8.91
0,0,0,0,1,0,1,0,0,0,0,0,5.86
0,0,0,0,1,0,0,1,0,0,0,0,5.91
0,0,0,0,1,0,0,0,1,0,0,0,9.79
0,0,0,0,1,0,0,0,0,1,0,0,5.94
0,0,0,0,1,0,0,0,0,0,1,0,5.92
0,0,0,0,1,0,0,0,0,0,0,1,5.89
0,0,0,0,0,1,1,0,0,0,0,0,8.81
0,0,0,0,0,1,0,1,0,0,0,0,8.92
0,0,0,0,0,1,0,0,1,0,0,0,15.49
0,0,0,0,0,1,0,0,0,1,0,0,8.88
0,0,0,0,0,1,0,0,0,0,1,0,8.86
0,0,0,0,0,1,0,0,0,0,0,1,8.93
0,0,0,0,0,0,1,1,0,0,0,0,5.9
0,0,0,0,0,0,1,0,1,0,0,0,9.67
0,0,0,0,0,0,1,0,0,1,0,0,5.85
0,0,0,0,0,0,1,0,0,0,1,0,5.87
0,0,0,0,0,0,1,0,0,0,0,1,5.86
0,0,0,0,0,0,0,1,1,0,0,0,9.71
0,0,0,0,0,0,0,1,0,1,0,0,5.9
0,0,0,0,0,0,0,1,0,0,1,0,5.94
0,0,0,0,0,0,0,1,0,0,0,1,5.93
0,0,0,0,0,0,0,0,1,1,0,0,9.61
0,0,0,0,0,0,0,0,1,0,1,0,9.64
0,0,0,0,0,0,0,0,1,0,0,1,9.64
0,0,0,0,0,0,0,0,0,1,1,0,5.91
0,0,0,0,0,0,0,0,0,1,0,1,5.95
0,0,0,0,0,0,0,0,0,0,1,1,5.92
0,0,1,1,1,1,1,1,1,1,1,0,15.48
0,1,0,1,1,1,1,1,1,1,1,0,322.09
0,1,1,0,1,1,1,1,1,1,1,0,324.54
0,1,1,1,0,1,1,1,1,1,1,0,324.59
0,1,1,1,1,0,1,1,1,1,1,0,60.37
0,1,1,1,1,1,0,1,1,1,1,0,323.3
0,1,1,1,1,1,1,0,1,1,1,0,323.9
0,1,1,1,1,1,1,1,0,1,1,0,496.63
0,1,1,1,1,1,1,1,1,0,1,0,324.54
0,1,1,1,1,1,1,1,1,1,0,0,324.71
1,0,0,1,1,1,1,1,1,1,1,0,15.52
1,0,1,0,1,1,1,1,1,1,1,0,15.47
1,0,1,1,0,1,1,1,1,1,1,0,15.59
1,0,1,1,1,0,1,1,1,1,1,0,9.71
1,0,1,1,1,1,0,1,1,1,1,0,15.53
1,0,1,1,1,1,1,0,1,1,1,0,15.42
1,0,1,1,1,1,1,1,0,1,1,0,8.8
1,0,1,1,1,1,1,1,1,0,1,0,15.71
1,0,1,1,1,1,1,1,1,1,0,0,15.61
1,1,0,0,1,1,1,1,1,1,1,0,323.77
1,1,0,1,0,1,1,1,1,1,1,0,324.96
1,1,0,1,1,0,1,1,1,1,1,0,60.51
1,1,0,1,1,1,0,1,1,1,1,0,325.45
1,1,0,1,1,1,1,0,1,1,1,0,326.11
1,1,0,1,1,1,1,1,0,1,1,0,496.71
1,1,0,1,1,1,1,1,1,0,1,0,326.11
1,1,0,1,1,1,1,1,1,1,0,0,323.68
1,1,1,0,0,1,1,1,1,1,1,0,325.53
1,1,1,0,1,0,1,1,1,1,1,0,60.92
1,1,1,0,1,1,0,1,1,1,1,0,325.0
1,1,1,0,1,1,1,0,1,1,1,0,325.99
1,1,1,0,1,1,1,1,0,1,1,0,495.6
1,1,1,0,1,1,1,1,1,0,1,0,324.43
1,1,1,0,1,1,1,1,1,1,0,0,323.99
1,1,1,1,0,0,1,1,1,1,1,0,60.61
1,1,1,1,0,1,0,1,1,1,1,0,324.76
1,1,1,1,0,1,1,0,1,1,1,0,324.69
1,1,1,1,0,1,1,1,0,1,1,0,494.51
1,1,1,1,0,1,1,1,1,0,1,0,324.69
1,1,1,1,0,1,1,1,1,1,0,0,324.59
1,1,1,1,1,0,0,1,1,1,1,0,60.73
1,1,1,1,1,0,1,0,1,1,1,0,60.6
