auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,0,0,0,0,0,0,4.13
0,1,0,0,0,0,0,0,0,0,0,0,4.53
0,0,1,0,0,0,0,0,0,0,0,0,4.13
0,0,0,1,0,0,0,0,0,0,0,0,4.13
0,0,0,0,1,0,0,0,0,0,0,0,4.13
0,0,0,0,0,1,0,0,0,0,0,0,2.65
0,0,0,0,0,0,1,0,0,0,0,0,4.13
0,0,0,0,0,0,0,1,0,0,0,0,4.13
0,0,0,0,0,0,0,0,1,0,0,0,4.14
0,0,0,0,0,0,0,0,0,1,0,0,4.13
0,0,0,0,0,0,0,0,0,0,1,0,4.13
0,0,0,0,0,0,0,0,0,0,0,1,4.13
0,1,1,1,1,1,1,1,1,1,1,0,1.8
1,0,1,1,1,1,1,1,1,1,1,0,2.67
1,1,0,1,1,1,1,1,1,1,1,0,1.78
1,1,1,0,1,1,1,1,1,1,1,0,1.78
1,1,1,1,0,1,1,1,1,1,1,0,1.83
1,1,1,1,1,0,1,1,1,1,1,0,4.54
1,1,1,1,1,1,0,1,1,1,1,0,1.78
1,1,1,1,1,1,1,0,1,1,1,0,1.78
1,1,1,1,1,1,1,1,0,1,1,0,1.76
1,1,1,1,1,1,1,1,1,0,1,0,1.78
1,1,1,1,1,1,1,1,1,1,0,0,1.83
1,1,1,1,1,1,1,1,1,1,1,0,1.78
1,1,0,0,0,0,0,0,0,0,0,0,4.53
1,0,1,0,0,0,0,0,0,0,0,0,4.13
1,0,0,1,0,0,0,0,0,0,0,0,4.13
1,0,0,0,1,0,0,0,0,0,0,0,4.13
1,0,0,0,0,1,0,0,0,0,0,0,2.65
1,0,0,0,0,0,1,0,0,0,0,0,4.13
1,0,0,0,0,0,0,1,0,0,0,0,4.13
1,0,0,0,0,0,0,0,1,0,0,0,4.16
1,0,0,0,0,0,0,0,0,1,0,0,4.13
1,0,0,0,0,0,0,0,0,0,1,0,4.13
1,0,0,0,0,0,0,0,0,0,0,1,4.13
0,1,1,0,0,0,0,0,0,0,0,0,4.53
0,1,0,1,0,0,0,0,0,0,0,0,4.53
0,1,0,0,1,0,0,0,0,0,0,0,4.55
0,1,0,0,0,1,0,0,0,0,0,0,1.76
0,1,0,0,0,0,1,0,0,0,0,0,4.53
0,1,0,0,0,0,0,1,0,0,0,0,4.53
0,1,0,0,0,0,0,0,1,0,0,0,4.55
0,1,0,0,0,0,0,0,0,1,0,0,4.53
0,1,0,0,0,0,0,0,0,0,1,0,4.53
0,1,0,0,0,0,0,0,0,0,0,1,4.53
0,0,1,1,0,0,0,0,0,0,0,0,4.13
0,0,1,0,1,0,0,0,0,0,0,0,4.13
0,0,1,0,0,1,0,0,0,0,0,0,2.65
0,0,1,0,0,0,1,0,0,0,0,0,4.13
0,0,1,0,0,0,0,1,0,0,0,0,4.13
0,0,1,0,0,0,0,0,1,0,0,0,4.15
0,0,1,0,0,0,0,0,0,1,0,0,4.13
0,0,1,0,0,0,0,0,0,0,1,0,4.13
0,0,1,0,0,0,0,0,0,0,0,1,4.13
0,0,0,1,1,0,0,0,0,0,0,0,4.13
0,0,0,1,0,1,0,0,0,0,0,0,2.65
0,0,0,1,0,0,1,0,0,0,0,0,4.13
0,0,0,1,0,0,0,1,0,0,0,0,4.13
0,0,0,1,0,0,0,0,1,0,0,0,4.15
0,0,0,1,0,0,0,0,0,1,0,0,4.13
0,0,0,1,0,0,0,0,0,0,1,0,4.13
0,0,0,1,0,0,0,0,0,0,0,1,4.13
0,0,0,0,1,1,0,0,0,0,0,0,2.65
0,0,0,0,1,0,1,0,0,0,0,0,4.13
0,0,0,0,1,0,0,1,0,0,0,0,4.13
0,0,0,0,1,0,0,0,1,0,0,0,4.15
0,0,0,0,1,0,0,0,0,1,0,0,4.13
0,0,0,0,1,0,0,0,0,0,1,0,4.13
0,0,0,0,1,0,0,0,0,0,0,1,4.13
0,0,0,0,0,1,1,0,0,0,0,0,2.65
0,0,0,0,0,1,0,1,0,0,0,0,2.65
0,0,0,0,0,1,0,0,1,0,0,0,2.67
0,0,0,0,0,1,0,0,0,1,0,0,2.65
0,0,0,0,0,1,0,0,0,0,1,0,2.65
0,0,0,0,0,1,0,0,0,0,0,1,2.65
0,0,0,0,0,0,1,1,0,0,0,0,4.13
0,0,0,0,0,0,1,0,1,0,0,0,4.17
0,0,0,0,0,0,1,0,0,1,0,0,4.13
0,0,0,0,0,0,1,0,0,0,1,0,4.13
0,0,0,0,0,0,1,0,0,0,0,1,4.13
0,0,0,0,0,0,0,1,1,0,0,0,4.18
0,0,0,0,0,0,0,1,0,1,0,0,4.13
0,0,0,0,0,0,0,1,0,0,1,0,4.13
0,0,0,0,0,0,0,1,0,0,0,1,4.13
0,0,0,0,0,0,0,0,1,1,0,0,4.18
0,0,0,0,0,0,0,0,1,0,1,0,4.14
0,0,0,0,0,0,0,0,1,0,0,1,4.17
0,0,0,0,0,0,0,0,0,1,1,0,4.13
0,0,0,0,0,0,0,0,0,1,0,1,4.13
0,0,0,0,0,0,0,0,0,0,1,1,4.13
0,0,1,1,1,1,1,1,1,1,1,0,2.68
0,1,0,1,1,1,1,1,1,1,1,0,1.78
0,1,1,0,1,1,1,1,1,1,1,0,1.79
0,1,1,1,0,1,1,1,1,1,1,0,1.81
0,1,1,1,1,0,1,1,1,1,1,0,4.55
0,1,1,1,1,1,0,1,1,1,1,0,1.82
0,1,1,1,1,1,1,0,1,1,1,0,1.78
0,1,1,1,1,1,1,1,0,1,1,0,1.76
0,1,1,1,1,1,1,1,1,0,1,0,1.82
0,1,1,1,1,1,1,1,1,1,0,0,1.8
1,0,0,1,1,1,1,1,1,1,1,0,2.67
1,0,1,0,1,1,1,1,1,1,1,0,2.68
1,0,1,1,0,1,1,1,1,1,1,0,2.71
1,0,1,1,1,0,1,1,1,1,1,0,4.16
1,0,1,1,1,1,0,1,1,1,1,0,2.66
1,0,1,1,1,1,1,0,1,1,1,0,2.67
1,0,1,1,1,1,1,1,0,1,1,0,2.65
1,0,1,1,1,1,1,1,1,0,1,0,2.67
1,0,1,1,1,1,1,1,1,1,0,0,2.68
1,1,0,0,1,1,1,1,1,1,1,0,1.8
1,1,0,1,0,1,1,1,1,1,1,0,1.8
1,1,0,1,1,0,1,1,1,1,1,0,4.57
1,1,0,1,1,1,0,1,1,1,1,0,1.78
1,1,0,1,1,1,1,0,1,1,1,0,1.78
1,1,0,1,1,1,1,1,0,1,1,0,1.76
1,1,0,1,1,1,1,1,1,0,1,0,1.79
1,1,0,1,1,1,1,1,1,1,0,0,1.78
1,1,1,0,0,1,1,1,1,1,1,0,1.78
1,1,1,0,1,0,1,1,1,1,1,0,4.57
1,1,1,0,1,1,0,1,1,1,1,0,1.79
1,1,1,0,1,1,1,0,1,1,1,0,1.78
1,1,1,0,1,1,1,1,0,1,1,0,1.76
1,1,1,0,1,1,1,1,1,0,1,0,1.81
1,1,1,0,1,1,1,1,1,1,0,0,1.81
1,1,1,1,0,0,1,1,1,1,1,0,4.55
1,1,1,1,0,1,0,1,1,1,1,0,1.81
