auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,0,0,0,0,0,0,9.85
0,1,0,0,0,0,0,0,0,0,0,0,5.81
0,0,1,0,0,0,0,0,0,0,0,0,2.42
0,0,0,1,0,0,0,0,0,0,0,0,4.05
0,0,0,0,1,0,0,0,0,0,0,0,2.41
0,0,0,0,0,1,0,0,0,0,0,0,3.03
0,0,0,0,0,0,1,0,0,0,0,0,2.4
0,0,0,0,0,0,0,1,0,0,0,0,2.4
0,0,0,0,0,0,0,0,1,0,0,0,11.15
0,0,0,0,0,0,0,0,0,1,0,0,2.41
0,0,0,0,0,0,0,0,0,0,1,0,2.05
0,0,0,0,0,0,0,0,0,0,0,1,2.4
0,1,1,1,1,1,1,1,1,1,1,0,19.84
1,0,1,1,1,1,1,1,1,1,1,0,55.1
1,1,0,1,1,1,1,1,1,1,1,0,49.5
1,1,1,0,1,1,1,1,1,1,1,0,46.5
1,1,1,1,0,1,1,1,1,1,1,0,47.37
1,1,1,1,1,0,1,1,1,1,1,0,108.41
1,1,1,1,1,1,0,1,1,1,1,0,50.25
1,1,1,1,1,1,1,0,1,1,1,0,50.03
1,1,1,1,1,1,1,1,0,1,1,0,16.72
1,1,1,1,1,1,1,1,1,0,1,0,50.97
1,1,1,1,1,1,1,1,1,1,0,0,50.0
1,1,1,1,1,1,1,1,1,1,1,0,50.02
1,1,0,0,0,0,0,0,0,0,0,0,19.1
1,0,1,0,0,0,0,0,0,0,0,0,9.85
1,0,0,1,0,0,0,0,0,0,0,0,4.35
1,0,0,0,1,0,0,0,0,0,0,0,9.85
1,0,0,0,0,1,0,0,0,0,0,0,11.81
1,0,0,0,0,0,1,0,0,0,0,0,9.78
1,0,0,0,0,0,0,1,0,0,0,0,9.89
1,0,0,0,0,0,0,0,1,0,0,0,52.26
1,0,0,0,0,0,0,0,0,1,0,0,9.85
1,0,0,0,0,0,0,0,0,0,1,0,0.15
1,0,0,0,0,0,0,0,0,0,0,1,9.87
0,1,1,0,0,0,0,0,0,0,0,0,5.83
0,1,0,1,0,0,0,0,0,0,0,0,6.55
0,1,0,0,1,0,0,0,0,0,0,0,6.5
0,1,0,0,0,1,0,0,0,0,0,0,6.34
0,1,0,0,0,0,1,0,0,0,0,0,5.83
0,1,0,0,0,0,0,1,0,0,0,0,5.82
0,1,0,0,0,0,0,0,1,0,0,0,21.6
0,1,0,0,0,0,0,0,0,1,0,0,5.82
0,1,0,0,0,0,0,0,0,0,1,0,7.43
0,1,0,0,0,0,0,0,0,0,0,1,5.81
0,0,1,1,0,0,0,0,0,0,0,0,4.06
0,0,1,0,1,0,0,0,0,0,0,0,2.43
0,0,1,0,0,1,0,0,0,0,0,0,3.03
0,0,1,0,0,0,1,0,0,0,0,0,2.4
0,0,1,0,0,0,0,1,0,0,0,0,2.41
0,0,1,0,0,0,0,0,1,0,0,0,11.26
0,0,1,0,0,0,0,0,0,1,0,0,2.41
0,0,1,0,0,0,0,0,0,0,1,0,2.04
