auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,0,0,0,0,0,0,3.29
0,1,0,0,0,0,0,0,0,0,0,0,7.4
0,0,1,0,0,0,0,0,0,0,0,0,3.27
0,0,0,1,0,0,0,0,0,0,0,0,3.13
0,0,0,0,1,0,0,0,0,0,0,0,3.33
0,0,0,0,0,1,0,0,0,0,0,0,5.57
0,0,0,0,0,0,1,0,0,0,0,0,3.27
0,0,0,0,0,0,0,1,0,0,0,0,3.28
0,0,0,0,0,0,0,0,1,0,0,0,4.16
0,0,0,0,0,0,0,0,0,1,0,0,3.28
0,0,0,0,0,0,0,0,0,0,1,0,387.97
0,0,0,0,0,0,0,0,0,0,0,1,3.28
0,1,1,1,1,1,1,1,1,1,1,0,40.88
1,0,1,1,1,1,1,1,1,1,1,0,26.52
1,1,0,1,1,1,1,1,1,1,1,0,40.71
1,1,1,0,1,1,1,1,1,1,1,0,37.94
1,1,1,1,0,1,1,1,1,1,1,0,38.0
1,1,1,1,1,0,1,1,1,1,1,0,836.68
1,1,1,1,1,1,0,1,1,1,1,0,38.86
1,1,1,1,1,1,1,0,1,1,1,0,38.75
1,1,1,1,1,1,1,1,0,1,1,0,31.19
1,1,1,1,1,1,1,1,1,0,1,0,40.3
1,1,1,1,1,1,1,1,1,1,0,0,39.09
1,1,1,1,1,1,1,1,1,1,1,0,39.36
1,1,0,0,0,0,0,0,0,0,0,0,7.43
1,0,1,0,0,0,0,0,0,0,0,0,3.29
1,0,0,1,0,0,0,0,0,0,0,0,3.14
1,0,0,0,1,0,0,0,0,0,0,0,3.35
1,0,0,0,0,1,0,0,0,0,0,0,3.71
1,0,0,0,0,0,1,0,0,0,0,0,3.27
1,0,0,0,0,0,0,1,0,0,0,0,3.29
1,0,0,0,0,0,0,0,1,0,0,0,4.19
1,0,0,0,0,0,0,0,0,1,0,0,3.28
1,0,0,0,0,0,0,0,0,0,1,0,373.67
1,0,0,0,0,0,0,0,0,0,0,1,3.28
0,1,1,0,0,0,0,0,0,0,0,0,7.43
0,1,0,1,0,0,0,0,0,0,0,0,7.49
0,1,0,0,1,0,0,0,0,0,0,0,7.49
0,1,0,0,0,1,0,0,0,0,0,0,29.58
0,1,0,0,0,0,1,0,0,0,0,0,7.42
0,1,0,0,0,0,0,1,0,0,0,0,7.42
0,1,0,0,0,0,0,0,1,0,0,0,8.86
0,1,0,0,0,0,0,0,0,1,0,0,7.42
0,1,0,0,0,0,0,0,0,0,1,0,612.06
0,1,0,0,0,0,0,0,0,0,0,1,7.34
0,0,1,1,0,0,0,0,0,0,0,0,3.13
0,0,1,0,1,0,0,0,0,0,0,0,3.33
0,0,1,0,0,1,0,0,0,0,0,0,5.49
0,0,1,0,0,0,1,0,0,0,0,0,3.26
0,0,1,0,0,0,0,1,0,0,0,0,3.26
0,0,1,0,0,0,0,0,1,0,0,0,4.14
0,0,1,0,0,0,0,0,0,1,0,0,3.28
0,0,1,0,0,0,0,0,0,0,1,0,379.08
0,0,1,0,0,0,0,0,0,0,0,1,3.26
0,0,0,1,1,0,0,0,0,0,0,0,3.2
0,0,0,1,0,1,0,0,0,0,0,0,9.27
0,0,0,1,0,0,1,0,0,0,0,0,3.14
0,0,0,1,0,0,0,1,0,0,0,0,3.14
0,0,0,1,0,0,0,0,1,0,0,0,4.04
0,0,0,1,0,0,0,0,0,1,0,0,3.12
0,0,0,1,0,0,0,0,0,0,1,0,365.97
0,0,0,1,0,0,0,0,0,0,0,1,3.12
0,0,0,0,1,1,0,0,0,0,0,0,5.42
0,0,0,0,1,0,1,0,0,0,0,0,3.34
0,0,0,0,1,0,0,1,0,0,0,0,3.34
0,0,0,0,1,0,0,0,1,0,0,0,4.22
0,0,0,0,1,0,0,0,0,1,0,0,3.33
0,0,0,0,1,0,0,0,0,0,1,0,376.67
0,0,0,0,1,0,0,0,0,0,0,1,3.32
0,0,0,0,0,1,1,0,0,0,0,0,5.37
0,0,0,0,0,1,0,1,0,0,0,0,5.51
0,0,0,0,0,1,0,0,1,0,0,0,17.09
0,0,0,0,0,1,0,0,0,1,0,0,5.48
0,0,0,0,0,1,0,0,0,0,1,0,5.54
0,0,0,0,0,1,0,0,0,0,0,1,5.47
0,0,0,0,0,0,1,1,0,0,0,0,3.28
0,0,0,0,0,0,1,0,1,0,0,0,4.16
0,0,0,0,0,0,1,0,0,1,0,0,3.26
0,0,0,0,0,0,1,0,0,0,1,0,374.21
0,0,0,0,0,0,1,0,0,0,0,1,3.27
0,0,0,0,0,0,0,1,1,0,0,0,4.17
0,0,0,0,0,0,0,1,0,1,0,0,3.27
0,0,0,0,0,0,0,1,0,0,1,0,371.39
0,0,0,0,0,0,0,1,0,0,0,1,3.26
0,0,0,0,0,0,0,0,1,1,0,0,4.16
0,0,0,0,0,0,0,0,1,0,1,0,379.37
0,0,0,0,0,0,0,0,1,0,0,1,4.15
0,0,0,0,0,0,0,0,0,1,1,0,376.71
0,0,0,0,0,0,0,0,0,1,0,1,3.26
0,0,0,0,0,0,0,0,0,0,1,1,378.22
0,0,1,1,1,1,1,1,1,1,1,0,30.1
0,1,0,1,1,1,1,1,1,1,1,0,40.93
0,1,1,0,1,1,1,1,1,1,1,0,37.96
0,1,1,1,0,1,1,1,1,1,1,0,38.01
0,1,1,1,1,0,1,1,1,1,1,0,836.1
0,1,1,1,1,1,0,1,1,1,1,0,40.95
0,1,1,1,1,1,1,0,1,1,1,0,40.86
0,1,1,1,1,1,1,1,0,1,1,0,33.1
0,1,1,1,1,1,1,1,1,0,1,0,41.13
0,1,1,1,1,1,1,1,1,1,0,0,40.97
1,0,0,1,1,1,1,1,1,1,1,0,26.57
1,0,1,0,1,1,1,1,1,1,1,0,15.05
1,0,1,1,0,1,1,1,1,1,1,0,26.39
1,0,1,1,1,0,1,1,1,1,1,0,364.31
1,0,1,1,1,1,0,1,1,1,1,0,25.57
1,0,1,1,1,1,1,0,1,1,1,0,26.39
1,0,1,1,1,1,1,1,0,1,1,0,6.42
1,0,1,1,1,1,1,1,1,0,1,0,26.46
1,0,1,1,1,1,1,1,1,1,0,0,26.27
1,1,0,0,1,1,1,1,1,1,1,0,38.51
1,1,0,1,0,1,1,1,1,1,1,0,42.15
1,1,0,1,1,0,1,1,1,1,1,0,840.15
1,1,0,1,1,1,0,1,1,1,1,0,38.79
1,1,0,1,1,1,1,0,1,1,1,0,38.89
1,1,0,1,1,1,1,1,0,1,1,0,31.22
1,1,0,1,1,1,1,1,1,0,1,0,39.11
1,1,0,1,1,1,1,1,1,1,0,0,38.87
1,1,1,0,0,1,1,1,1,1,1,0,37.79
1,1,1,0,1,0,1,1,1,1,1,0,730.51
1,1,1,0,1,1,0,1,1,1,1,0,37.02
1,1,1,0,1,1,1,0,1,1,1,0,37.95
1,1,1,0,1,1,1,1,0,1,1,0,27.52
1,1,1,0,1,1,1,1,1,0,1,0,37.98
1,1,1,0,1,1,1,1,1,1,0,0,37.93
1,1,1,1,0,0,1,1,1,1,1,0,719.85
1,1,1,1,0,1,0,1,1,1,1,0,39.57
1,1,1,1,0,1,1,0,1,1,1,0,38.0
1,1,1,1,0,1,1,1,0,1,1,0,27.96
1,1,1,1,0,1,1,1,1,0,1,0,37.96
1,1,1,1,0,1,1,1,1,1,0,0,37.97
1,1,1,1,1,0,0,1,1,1,1,0,832.86
1,1,1,1,1,0,1,0,1,1,1,0,840.09
1,1,1,1,1,0,1,1,0,1,1,0,642.57
1,1,1,1,1,0,1,1,1,0,1,0,818.41
1,1,1,1,1,0,1,1,1,1,0,0,9.67
1,1,1,1,1,1,0,0,1,1,1,0,39.55
1,1,1,1,1,1,0,1,0,1,1,0,31.29
1,1,1,1,1,1,0,1,1,0,1,0,38.83
1,1,1,1,1,1,0,1,1,1,0,0,38.81
1,1,1,1,1,1,1,0,0,1,1,0,31.2
1,1,1,1,1,1,1,0,1,0,1,0,40.19
1,1,1,1,1,1,1,0,1,1,0,0,38.86
1,1,1,1,1,1,1,1,0,0,1,0,31.14
1,1,1,1,1,1,1,1,0,1,0,0,31.31
1,1,1,1,1,1,1,1,1,0,0,0,40.21
0,0,0,1,1,1,1,0,0,0,1,0,9.34
1,1,0,1,1,0,0,1,1,1,1,0,823.5
1,1,1,1,1,1,1,1,1,1,1,1,39.13
0,1,0,0,0,1,1,1,0,1,0,0,29.39
0,0,0,0,0,0,0,0,0,0,0,0,3.27
1,0,0,0,0,1,1,1,1,1,1,0,14.89
1,1,0,1,1,0,0,1,1,0,0,0,9.67
1,0,0,0,0,0,1,1,1,0,0,0,4.19
0,1,0,0,0,1,1,1,0,1,0,1,29.51
0,1,0,0,0,0,1,1,0,1,0,0,7.42
0,0,0,0,1,0,1,0,0,0,0,1,3.34
0,1,0,0,0,0,1,1,0,1,0,1,7.41
1,0,1,1,1,1,0,1,0,1,0,0,6.44
1,0,1,1,1,1,0,1,0,1,0,1,6.41
1,1,1,1,1,1,1,1,0,1,0,1,31.23
1,0,1,1,0,1,0,1,0,1,1,0,6.44
1,0,1,1,0,1,0,1,0,1,1,1,6.43
1,1,1,1,0,1,1,1,1,1,1,1,37.97
1,1,1,1,0,1,1,1,0,1,0,0,28.05
1,0,1,1,0,1,1,1,0,1,0,0,6.36
1,1,1,1,1,0,1,1,1,1,1,1,838.14
0,0,0,0,0,0,1,0,1,0,0,1,4.15
1,1,1,1,1,1,0,1,0,1,1,1,31.3
0,1,0,0,0,0,0,1,1,1,0,0,8.9
1,1,1,1,0,1,1,1,0,1,0,1,28.15
0,1,0,0,0,0,0,1,1,1,0,1,8.89
1,0,1,1,0,1,1,1,0,1,0,1,6.4
1,1,0,1,1,1,1,0,0,0,0,0,31.2
1,1,1,1,1,1,1,1,0,1,1,1,31.32
0,1,0,0,0,0,0,1,0,1,1,0,611.98
0,1,0,0,0,1,0,1,0,1,1,0,29.53
1,1,1,1,1,1,0,1,1,1,0,1,40.35
0,1,0,0,0,1,0,1,0,1,1,1,29.51
0,1,0,0,0,0,0,1,0,1,1,1,617.72
0,0,0,0,0,0,1,0,0,1,1,0,376.04
0,1,0,0,1,1,0,1,0,1,0,0,29.52
1,1,1,1,1,1,1,1,1,1,0,1,40.63
1,0,0,1,0,1,0,0,0,0,0,0,6.42
1,1,1,1,0,1,0,1,1,1,0,0,35.89
1,1,1,1,0,1,0,1,1,1,0,1,38.13
0,0,1,1,0,1,1,1,0,1,1,0,9.3
1,1,1,1,1,1,0,1,1,1,1,1,40.31
0,1,0,0,1,0,0,1,0,1,0,0,7.47
1,1,1,1,0,1,0,1,0,1,1,0,28.19
1,1,1,1,0,1,0,1,0,1,1,1,28.06
0,1,0,0,1,1,0,1,0,1,0,1,29.38
1,1,0,1,1,1,1,0,0,0,0,1,31.18
0,1,0,0,1,0,0,1,0,1,0,1,7.49
0,0,1,1,0,1,1,1,0,1,1,1,9.28
1,1,1,1,0,1,1,1,0,1,1,1,28.05
1,0,0,1,0,1,0,0,0,0,0,1,6.42
1,1,1,1,1,0,1,1,0,1,0,0,7.89
1,1,1,1,1,0,1,1,0,1,0,1,7.98
1,0,1,1,1,1,1,1,1,1,1,1,26.0
1,1,1,1,1,0,0,1,1,1,0,0,9.65
0,1,0,0,0,1,0,1,0,1,0,0,29.58
1,1,1,1,1,0,0,1,1,1,0,1,9.71
1,1,1,1,0,0,1,1,1,1,0,0,8.98
0,0,0,0,0,1,0,0,0,0,1,1,5.56
0,0,0,0,0,0,0,0,1,0,1,1,376.68
0,1,0,0,0,1,0,1,0,1,0,1,29.3
1,1,1,1,0,1,1,1,1,1,0,1,37.69
1,0,1,0,0,1,1,1,0,1,1,0,3.67
0,1,0,0,0,1,0,1,1,1,0,0,37.59
1,1,0,1,1,1,0,0,0,0,1,0,31.27
1,0,1,0,0,1,1,1,0,1,1,1,3.68
1,1,0,1,0,0,0,0,0,0,0,0,7.47
1,1,0,1,1,1,0,0,0,0,1,1,31.23
1,1,1,1,0,0,1,1,1,1,0,1,9.0
0,1,0,0,0,1,0,1,1,1,0,1,38.13
0,1,1,0,0,1,0,1,0,1,0,0,29.51
1,1,1,1,1,1,0,1,0,1,0,0,31.26
1,1,1,1,1,1,0,1,0,1,0,1,31.25
0,1,1,0,0,1,0,1,0,1,0,1,29.52
1,1,0,1,0,0,0,0,0,0,0,1,7.43
1,0,1,1,1,1,1,1,0,1,0,0,6.39
1,0,1,1,1,1,1,1,0,1,0,1,6.37
1,1,0,1,1,1,1,1,1,1,1,1,38.9
1,1,1,1,0,1,0,1,1,1,1,1,38.09
0,1,0,1,0,1,0,1,0,1,0,0,30.15
1,1,1,0,0,0,0,0,0,0,0,0,7.42
1,1,0,0,0,0,0,1,0,1,0,0,7.45
0,0,0,0,0,1,1,0,0,0,0,1,5.58
1,1,1,0,0,0,0,0,0,0,0,1,7.44
1,0,1,1,1,1,0,1,1,1,0,0,26.64
0,1,1,1,0,0,0,0,0,0,0,0,7.43
1,0,1,0,0,1,0,1,1,1,1,0,14.66
1,1,1,0,1,1,1,1,1,1,1,1,41.76
0,1,1,1,0,0,0,0,0,0,0,1,7.45
1,0,1,0,0,1,0,1,1,1,1,1,14.82
0,0,1,1,0,1,0,1,1,1,1,0,30.35
0,1,0,0,0,0,1,0,0,0,1,0,629.01
1,0,1,1,1,1,0,1,1,1,0,1,25.95
1,0,1,1,1,1,0,1,0,1,1,0,6.44
0,0,1,1,0,1,0,1,1,1,1,1,30.37
1,1,0,1,1,1,0,0,1,0,0,1,41.49
0,0,0,0,0,1,0,0,1,0,0,1,17.15
0,1,0,1,0,1,0,1,0,1,0,1,30.22
0,0,1,0,0,1,1,1,1,1,1,0,17.26
0,0,1,0,0,1,1,1,1,1,1,1,17.22
1,1,0,1,1,1,0,0,1,0,0,0,39.6
0,1,0,0,0,0,1,0,0,0,1,1,612.29
1,1,0,1,0,1,1,0,1,0,0,0,37.94
1,1,0,0,0,1,0,1,0,1,0,0,27.49
1,0,1,1,1,1,0,1,0,1,1,1,6.45
1,1,1,0,1,1,0,1,1,1,1,1,37.9
1,1,0,1,0,1,1,0,1,0,0,1,38.02
1,0,1,1,0,0,1,1,1,1,1,0,365.16
0,1,1,1,1,1,1,1,1,1,1,1,40.84
1,1,0,0,0,0,0,1,0,1,0,1,7.44
0,0,1,0,0,0,0,0,1,0,0,1,4.15
1,1,0,0,0,1,0,1,0,1,0,1,27.47
0,1,0,1,0,0,1,1,0,1,0,0,7.47
1,0,1,0,0,1,1,1,1,1,0,0,14.74
0,1,1,1,1,1,0,1,1,1,1,1,41.0
1,1,1,1,1,1,1,0,1,1,1,1,38.93
0,0,0,0,0,0,1,0,0,1,1,1,378.05
1,0,1,1,0,0,1,1,1,1,1,1,362.61
1,1,0,1,0,1,0,0,1,0,1,0,39.61
1,1,0,1,0,1,0,0,1,0,1,1,37.99
0,1,0,1,0,0,1,1,0,1,0,1,7.48
1,1,0,1,0,1,1,0,0,0,1,0,28.06
1,1,0,1,0,1,1,0,0,0,1,1,27.95
1,1,1,1,1,1,0,1,1,0,1,1,38.84
1,0,0,0,0,0,0,0,1,0,0,1,4.2
1,1,1,1,1,0,0,1,0,1,1,0,626.19
1,0,0,1,0,0,0,1,0,1,0,0,3.14
1,1,0,0,0,0,1,1,0,1,0,0,7.45
0,1,0,0,0,0,0,0,0,1,1,0,629.04
1,0,0,1,0,0,0,1,0,1,0,1,3.14
1,1,0,0,0,1,1,0,1,0,1,0,38.52
0,1,0,0,0,0,0,0,0,1,1,1,611.54
1,1,0,0,0,0,1,1,0,1,0,1,7.37
0,1,0,1,0,0,0,1,0,1,0,0,7.4
1,0,1,0,0,1,1,1,1,1,0,1,14.83
1,1,1,1,1,0,0,1,0,1,1,1,646.18
0,0,0,0,0,1,1,0,0,0,1,0,5.32
1,0,1,1,1,1,0,1,1,1,1,1,26.39
0,1,0,1,0,0,0,1,0,1,0,1,7.48
0,1,1,1,0,0,0,1,0,1,0,0,7.49
0,0,0,0,0,1,1,0,0,0,1,1,5.56
1,0,0,0,1,0,0,1,0,1,0,0,3.33
1,1,1,1,1,0,0,1,1,1,1,1,830.97
0,0,0,1,0,0,0,0,1,0,0,1,4.02
0,1,1,1,0,0,0,1,0,1,0,1,7.47
1,0,0,0,1,0,0,1,0,1,0,1,3.34
0,0,0,1,1,0,0,1,0,1,0,0,3.22
0,0,1,1,0,1,1,1,1,1,0,0,30.44
1,0,1,1,1,0,1,1,1,1,0,0,4.16
0,0,0,1,1,0,0,1,0,1,0,1,3.22
1,1,0,0,0,1,1,0,1,0,1,1,37.94
0,0,0,0,0,0,1,1,1,1,0,0,4.17
0,0,0,0,0,1,0,0,0,1,1,0,5.42
1,1,1,0,0,0,0,1,0,1,0,0,7.42
1,1,1,0,0,0,0,1,0,1,0,1,7.43
0,1,0,1,1,0,0,1,0,1,0,0,7.92
0,1,0,1,1,0,0,1,0,1,0,1,7.98
1,1,1,1,1,1,1,1,1,0,1,1,40.27
1,1,0,0,1,0,0,1,0,1,0,0,7.53
0,0,1,1,0,1,1,1,1,1,0,1,30.07
1,0,1,1,1,0,1,1,1,1,0,1,4.13
1,0,1,1,0,1,0,1,1,1,0,0,26.47
0,0,0,0,0,1,0,0,0,1,1,1,5.6
0,1,1,1,1,0,1,1,1,1,1,1,838.02
0,0,0,0,0,0,1,1,1,1,0,1,4.17
1,0,1,0,0,0,0,1,0,1,0,0,3.27
1,0,1,1,1,0,1,1,0,1,1,0,367.98
0,1,0,0,0,1,0,0,0,0,1,0,29.38
0,1,0,1,0,1,1,0,1,0,1,0,40.04
0,1,0,0,0,0,0,0,1,0,0,1,8.86
0,1,0,1,0,1,1,0,1,0,1,1,37.95
