auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,0,0,0,0,0,0,8.01
0,1,0,0,0,0,0,0,0,0,0,0,2.45
0,0,1,0,0,0,0,0,0,0,0,0,2.26
0,0,0,1,0,0,0,0,0,0,0,0,2.27
0,0,0,0,1,0,0,0,0,0,0,0,2.26
0,0,0,0,0,1,0,0,0,0,0,0,1.11
0,0,0,0,0,0,1,0,0,0,0,0,2.26
0,0,0,0,0,0,0,1,0,0,0,0,2.26
0,0,0,0,0,0,0,0,1,0,0,0,2.37
0,0,0,0,0,0,0,0,0,1,0,0,2.26
0,0,0,0,0,0,0,0,0,0,1,0,0.22
0,0,0,0,0,0,0,0,0,0,0,1,2.26
0,1,1,1,1,1,1,1,1,1,1,0,1.15
1,0,1,1,1,1,1,1,1,1,1,0,4.66
1,1,0,1,1,1,1,1,1,1,1,0,4.72
1,1,1,0,1,1,1,1,1,1,1,0,4.72
1,1,1,1,0,1,1,1,1,1,1,0,4.71
1,1,1,1,1,0,1,1,1,1,1,0,6.08
1,1,1,1,1,1,0,1,1,1,1,0,4.71
1,1,1,1,1,1,1,0,1,1,1,0,4.71
1,1,1,1,1,1,1,1,0,1,1,0,4.63
1,1,1,1,1,1,1,1,1,0,1,0,4.71
1,1,1,1,1,1,1,1,1,1,0,0,4.71
1,1,1,1,1,1,1,1,1,1,1,0,4.76
1,1,0,0,0,0,0,0,0,0,0,0,8.3
1,0,1,0,0,0,0,0,0,0,0,0,8.0
1,0,0,1,0,0,0,0,0,0,0,0,8.01
1,0,0,0,1,0,0,0,0,0,0,0,8.0
1,0,0,0,0,1,0,0,0,0,0,0,4.59
1,0,0,0,0,0,1,0,0,0,0,0,8.0
1,0,0,0,0,0,0,1,0,0,0,0,8.0
1,0,0,0,0,0,0,0,1,0,0,0,8.21
1,0,0,0,0,0,0,0,0,1,0,0,8.0
1,0,0,0,0,0,0,0,0,0,1,0,5.95
1,0,0,0,0,0,0,0,0,0,0,1,8.0
0,1,1,0,0,0,0,0,0,0,0,0,2.45
0,1,0,1,0,0,0,0,0,0,0,0,2.45
0,1,0,0,1,0,0,0,0,0,0,0,2.45
0,1,0,0,0,1,0,0,0,0,0,0,1.12
0,1,0,0,0,0,1,0,0,0,0,0,2.45
0,1,0,0,0,0,0,1,0,0,0,0,2.45
0,1,0,0,0,0,0,0,1,0,0,0,3.04
0,1,0,0,0,0,0,0,0,1,0,0,2.45
0,1,0,0,0,0,0,0,0,0,1,0,0.23
0,1,0,0,0,0,0,0,0,0,0,1,2.45
0,0,1,1,0,0,0,0,0,0,0,0,2.27
0,0,1,0,1,0,0,0,0,0,0,0,2.26
0,0,1,0,0,1,0,0,0,0,0,0,1.11
0,0,1,0,0,0,1,0,0,0,0,0,2.26
0,0,1,0,0,0,0,1,0,0,0,0,2.26
