auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,0,0,0,0,0,0,8.75
0,1,0,0,0,0,0,0,0,0,0,0,14.68
0,0,1,0,0,0,0,0,0,0,0,0,14.69
0,0,0,1,0,0,0,0,0,0,0,0,14.7
0,0,0,0,1,0,0,0,0,0,0,0,14.68
0,0,0,0,0,1,0,0,0,0,0,0,18.89
0,0,0,0,0,0,1,0,0,0,0,0,14.73
0,0,0,0,0,0,0,1,0,0,0,0,14.68
0,0,0,0,0,0,0,0,1,0,0,0,14.83
0,0,0,0,0,0,0,0,0,1,0,0,14.7
0,0,0,0,0,0,0,0,0,0,1,0,14.69
0,0,0,0,0,0,0,0,0,0,0,1,14.69
0,1,1,1,1,1,1,1,1,1,1,0,19.23
1,0,1,1,1,1,1,1,1,1,1,0,17.46
1,1,0,1,1,1,1,1,1,1,1,0,15.22
1,1,1,0,1,1,1,1,1,1,1,0,15.21
1,1,1,1,0,1,1,1,1,1,1,0,15.21
1,1,1,1,1,0,1,1,1,1,1,0,8.9
1,1,1,1,1,1,0,1,1,1,1,0,15.21
1,1,1,1,1,1,1,0,1,1,1,0,15.21
1,1,1,1,1,1,1,1,0,1,1,0,14.96
1,1,1,1,1,1,1,1,1,0,1,0,15.23
1,1,1,1,1,1,1,1,1,1,0,0,15.33
1,1,1,1,1,1,1,1,1,1,1,0,15.22
1,1,0,0,0,0,0,0,0,0,0,0,8.76
1,0,1,0,0,0,0,0,0,0,0,0,8.75
1,0,0,1,0,0,0,0,0,0,0,0,8.74
1,0,0,0,1,0,0,0,0,0,0,0,8.75
1,0,0,0,0,1,0,0,0,0,0,0,16.96
1,0,0,0,0,0,1,0,0,0,0,0,8.75
1,0,0,0,0,0,0,1,0,0,0,0,8.76
1,0,0,0,0,0,0,0,1,0,0,0,8.92
1,0,0,0,0,0,0,0,0,1,0,0,8.75
1,0,0,0,0,0,0,0,0,0,1,0,8.75
1,0,0,0,0,0,0,0,0,0,0,1,8.75
0,1,1,0,0,0,0,0,0,0,0,0,14.69
0,1,0,1,0,0,0,0,0,0,0,0,14.68
0,1,0,0,1,0,0,0,0,0,0,0,14.69
0,1,0,0,0,1,0,0,0,0,0,0,18.94
0,1,0,0,0,0,1,0,0,0,0,0,14.69
0,1,0,0,0,0,0,1,0,0,0,0,14.7
0,1,0,0,0,0,0,0,1,0,0,0,14.85
0,1,0,0,0,0,0,0,0,1,0,0,14.69
0,1,0,0,0,0,0,0,0,0,1,0,14.72
0,1,0,0,0,0,0,0,0,0,0,1,14.69
0,0,1,1,0,0,0,0,0,0,0,0,14.7
0,0,1,0,1,0,0,0,0,0,0,0,14.74
0,0,1,0,0,1,0,0,0,0,0,0,18.89
0,0,1,0,0,0,1,0,0,0,0,0,14.69
0,0,1,0,0,0,0,1,0,0,0,0,14.68
0,0,1,0,0,0,0,0,1,0,0,0,14.87
0,0,1,0,0,0,0,0,0,1,0,0,14.69
0,0,1,0,0,0,0,0,0,0,1,0,14.69
0,0,1,0,0,0,0,0,0,0,0,1,14.7
0,0,0,1,1,0,0,0,0,0,0,0,14.7
0,0,0,1,0,1,0,0,0,0,0,0,18.9
0,0,0,1,0,0,1,0,0,0,0,0,14.69
0,0,0,1,0,0,0,1,0,0,0,0,14.69
0,0,0,1,0,0,0,0,1,0,0,0,14.83
0,0,0,1,0,0,0,0,0,1,0,0,14.7
0,0,0,1,0,0,0,0,0,0,1,0,14.73
0,0,0,1,0,0,0,0,0,0,0,1,14.7
0,0,0,0,1,1,0,0,0,0,0,0,18.91
0,0,0,0,1,0,1,0,0,0,0,0,14.7
0,0,0,0,1,0,0,1,0,0,0,0,14.69
0,0,0,0,1,0,0,0,1,0,0,0,14.87
0,0,0,0,1,0,0,0,0,1,0,0,14.7
0,0,0,0,1,0,0,0,0,0,1,0,14.7
0,0,0,0,1,0,0,0,0,0,0,1,14.7
0,0,0,0,0,1,1,0,0,0,0,0,18.88
0,0,0,0,0,1,0,1,0,0,0,0,18.89
0,0,0,0,0,1,0,0,1,0,0,0,19.16
0,0,0,0,0,1,0,0,0,1,0,0,18.91
0,0,0,0,0,1,0,0,0,0,1,0,18.91
0,0,0,0,0,1,0,0,0,0,0,1,18.9
0,0,0,0,0,0,1,1,0,0,0,0,14.7
0,0,0,0,0,0,1,0,1,0,0,0,14.81
0,0,0,0,0,0,1,0,0,1,0,0,14.69
0,0,0,0,0,0,1,0,0,0,1,0,14.7
0,0,0,0,0,0,1,0,0,0,0,1,14.68
0,0,0,0,0,0,0,1,1,0,0,0,14.83
0,0,0,0,0,0,0,1,0,1,0,0,14.69
0,0,0,0,0,0,0,1,0,0,1,0,14.69
0,0,0,0,0,0,0,1,0,0,0,1,14.69
0,0,0,0,0,0,0,0,1,1,0,0,14.86
0,0,0,0,0,0,0,0,1,0,1,0,14.88
0,0,0,0,0,0,0,0,1,0,0,1,14.83
0,0,0,0,0,0,0,0,0,1,1,0,14.69
0,0,0,0,0,0,0,0,0,1,0,1,14.7
0,0,0,0,0,0,0,0,0,0,1,1,14.69
0,0,1,1,1,1,1,1,1,1,1,0,19.12
0,1,0,1,1,1,1,1,1,1,1,0,19.22
0,1,1,0,1,1,1,1,1,1,1,0,19.21
0,1,1,1,0,1,1,1,1,1,1,0,19.19
0,1,1,1,1,0,1,1,1,1,1,0,14.88
0,1,1,1,1,1,0,1,1,1,1,0,19.3
0,1,1,1,1,1,1,0,1,1,1,0,19.17
0,1,1,1,1,1,1,1,0,1,1,0,18.94
0,1,1,1,1,1,1,1,1,0,1,0,19.23
0,1,1,1,1,1,1,1,1,1,0,0,19.2
1,0,0,1,1,1,1,1,1,1,1,0,17.47
1,0,1,0,1,1,1,1,1,1,1,0,17.48
1,0,1,1,0,1,1,1,1,1,1,0,17.48
1,0,1,1,1,0,1,1,1,1,1,0,8.89
1,0,1,1,1,1,0,1,1,1,1,0,17.44
1,0,1,1,1,1,1,0,1,1,1,0,17.46
1,0,1,1,1,1,1,1,0,1,1,0,17.24
1,0,1,1,1,1,1,1,1,0,1,0,17.53
1,0,1,1,1,1,1,1,1,1,0,0,17.27
1,1,0,0,1,1,1,1,1,1,1,0,15.22
1,1,0,1,0,1,1,1,1,1,1,0,15.22
1,1,0,1,1,0,1,1,1,1,1,0,8.94
1,1,0,1,1,1,0,1,1,1,1,0,15.25
1,1,0,1,1,1,1,0,1,1,1,0,15.24
1,1,0,1,1,1,1,1,0,1,1,0,14.95
1,1,0,1,1,1,1,1,1,0,1,0,15.21
1,1,0,1,1,1,1,1,1,1,0,0,15.2
1,1,1,0,0,1,1,1,1,1,1,0,15.21
1,1,1,0,1,0,1,1,1,1,1,0,9.01
1,1,1,0,1,1,0,1,1,1,1,0,15.2
1,1,1,0,1,1,1,0,1,1,1,0,15.2
1,1,1,0,1,1,1,1,0,1,1,0,14.95
1,1,1,0,1,1,1,1,1,0,1,0,15.2
1,1,1,0,1,1,1,1,1,1,0,0,15.21
1,1,1,1,0,0,1,1,1,1,1,0,8.88
1,1,1,1,0,1,0,1,1,1,1,0,15.19
1,1,1,1,0,1,1,0,1,1,1,0,15.2
1,1,1,1,0,1,1,1,0,1,1,0,14.95
1,1,1,1,0,1,1,1,1,0,1,0,15.26
1,1,1,1,0,1,1,1,1,1,0,0,15.24
1,1,1,1,1,0,0,1,1,1,1,0,8.92
1,1,1,1,1,0,1,0,1,1,1,0,8.94
1,1,1,1,1,0,1,1,0,1,1,0,8.76
1,1,1,1,1,0,1,1,1,0,1,0,8.9
1,1,1,1,1,0,1,1,1,1,0,0,8.89
1,1,1,1,1,1,0,0,1,1,1,0,15.21
1,1,1,1,1,1,0,1,0,1,1,0,14.95
1,1,1,1,1,1,0,1,1,0,1,0,15.27
1,1,1,1,1,1,0,1,1,1,0,0,15.25
1,1,1,1,1,1,1,0,0,1,1,0,14.94
1,1,1,1,1,1,1,0,1,0,1,0,15.21
1,1,1,1,1,1,1,0,1,1,0,0,15.24
1,1,1,1,1,1,1,1,0,0,1,0,14.95
1,1,1,1,1,1,1,1,0,1,0,0,14.96
1,1,1,1,1,1,1,1,1,0,0,0,15.22
0,0,0,1,1,1,1,0,0,0,1,0,18.88
1,1,0,1,1,0,0,1,1,1,1,0,8.89
1,1,1,1,1,1,1,1,1,1,1,1,15.2
0,1,0,0,0,1,1,1,0,1,0,0,18.94
0,0,0,0,0,0,0,0,0,0,0,0,14.7
1,0,0,0,0,1,1,1,1,1,1,0,17.47
1,1,0,1,1,0,0,1,1,0,0,0,8.89
1,0,0,0,0,0,1,1,1,0,0,0,8.93
0,1,0,0,0,1,1,1,0,1,0,1,18.94
0,1,0,0,0,0,1,1,0,1,0,0,14.69
0,0,0,0,1,0,1,0,0,0,0,1,14.7
0,1,0,0,0,0,1,1,0,1,0,1,14.69
1,0,1,1,1,1,0,1,0,1,0,0,16.96
1,0,1,1,1,1,0,1,0,1,0,1,16.97
1,1,1,1,1,1,1,1,0,1,0,1,14.95
1,0,1,1,0,1,0,1,0,1,1,0,17.23
1,0,1,1,0,1,0,1,0,1,1,1,17.22
1,1,1,1,0,1,1,1,1,1,1,1,15.24
1,1,1,1,0,1,1,1,0,1,0,0,14.96
1,0,1,1,0,1,1,1,0,1,0,0,16.96
1,1,1,1,1,0,1,1,1,1,1,1,8.89
0,0,0,0,0,0,1,0,1,0,0,1,14.85
1,1,1,1,1,1,0,1,0,1,1,1,14.95
0,1,0,0,0,0,0,1,1,1,0,0,14.82
1,1,1,1,0,1,1,1,0,1,0,1,14.95
0,1,0,0,0,0,0,1,1,1,0,1,14.85
1,0,1,1,0,1,1,1,0,1,0,1,16.97
1,1,0,1,1,1,1,0,0,0,0,0,14.95
1,1,1,1,1,1,1,1,0,1,1,1,14.95
0,1,0,0,0,0,0,1,0,1,1,0,14.71
0,1,0,0,0,1,0,1,0,1,1,0,18.93
1,1,1,1,1,1,0,1,1,1,0,1,15.24
0,1,0,0,0,1,0,1,0,1,1,1,18.93
0,1,0,0,0,0,0,1,0,1,1,1,14.69
0,0,0,0,0,0,1,0,0,1,1,0,14.68
0,1,0,0,1,1,0,1,0,1,0,0,18.93
1,1,1,1,1,1,1,1,1,1,0,1,15.2
1,0,0,1,0,1,0,0,0,0,0,0,16.96
1,1,1,1,0,1,0,1,1,1,0,0,15.29
1,1,1,1,0,1,0,1,1,1,0,1,15.21
0,0,1,1,0,1,1,1,0,1,1,0,18.89
1,1,1,1,1,1,0,1,1,1,1,1,15.3
0,1,0,0,1,0,0,1,0,1,0,0,14.68
1,1,1,1,0,1,0,1,0,1,1,0,14.94
1,1,1,1,0,1,0,1,0,1,1,1,14.95
0,1,0,0,1,1,0,1,0,1,0,1,18.93
1,1,0,1,1,1,1,0,0,0,0,1,14.93
0,1,0,0,1,0,0,1,0,1,0,1,14.68
0,0,1,1,0,1,1,1,0,1,1,1,18.88
1,1,1,1,0,1,1,1,0,1,1,1,14.95
1,0,0,1,0,1,0,0,0,0,0,1,16.99
1,1,1,1,1,0,1,1,0,1,0,0,8.76
1,1,1,1,1,0,1,1,0,1,0,1,8.76
1,0,1,1,1,1,1,1,1,1,1,1,17.49
1,1,1,1,1,0,0,1,1,1,0,0,8.89
0,1,0,0,0,1,0,1,0,1,0,0,18.94
1,1,1,1,1,0,0,1,1,1,0,1,8.88
1,1,1,1,0,0,1,1,1,1,0,0,8.89
0,0,0,0,0,1,0,0,0,0,1,1,18.88
0,0,0,0,0,0,0,0,1,0,1,1,14.83
0,1,0,0,0,1,0,1,0,1,0,1,19.02
1,1,1,1,0,1,1,1,1,1,0,1,15.24
1,0,1,0,0,1,1,1,0,1,1,0,17.24
0,1,0,0,0,1,0,1,1,1,0,0,19.18
1,1,0,1,1,1,0,0,0,0,1,0,14.95
1,0,1,0,0,1,1,1,0,1,1,1,17.23
1,1,0,1,0,0,0,0,0,0,0,0,8.76
1,1,0,1,1,1,0,0,0,0,1,1,14.96
1,1,1,1,0,0,1,1,1,1,0,1,8.88
0,1,0,0,0,1,0,1,1,1,0,1,19.2
0,1,1,0,0,1,0,1,0,1,0,0,18.95
1,1,1,1,1,1,0,1,0,1,0,0,14.94
1,1,1,1,1,1,0,1,0,1,0,1,14.96
0,1,1,0,0,1,0,1,0,1,0,1,18.95
1,1,0,1,0,0,0,0,0,0,0,1,8.76
1,0,1,1,1,1,1,1,0,1,0,0,16.97
1,0,1,1,1,1,1,1,0,1,0,1,16.96
1,1,0,1,1,1,1,1,1,1,1,1,15.21
1,1,1,1,0,1,0,1,1,1,1,1,15.2
0,1,0,1,0,1,0,1,0,1,0,0,18.94
