auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,0,0,0,0,0,0,7.28
0,1,0,0,0,0,0,0,0,0,0,0,11.7
0,0,1,0,0,0,0,0,0,0,0,0,11.53
0,0,0,1,0,0,0,0,0,0,0,0,11.51
0,0,0,0,1,0,0,0,0,0,0,0,11.5
0,0,0,0,0,1,0,0,0,0,0,0,12.16
0,0,0,0,0,0,1,0,0,0,0,0,11.57
0,0,0,0,0,0,0,1,0,0,0,0,11.57
0,0,0,0,0,0,0,0,1,0,0,0,12.78
0,0,0,0,0,0,0,0,0,1,0,0,11.55
0,0,0,0,0,0,0,0,0,0,1,0,11.52
0,0,0,0,0,0,0,0,0,0,0,1,11.53
0,1,1,1,1,1,1,1,1,1,1,0,14.16
1,0,1,1,1,1,1,1,1,1,1,0,7.79
1,1,0,1,1,1,1,1,1,1,1,0,9.0
1,1,1,0,1,1,1,1,1,1,1,0,8.96
1,1,1,1,0,1,1,1,1,1,1,0,8.98
1,1,1,1,1,0,1,1,1,1,1,0,8.38
1,1,1,1,1,1,0,1,1,1,1,0,8.97
1,1,1,1,1,1,1,0,1,1,1,0,8.97
1,1,1,1,1,1,1,1,0,1,1,0,7.89
1,1,1,1,1,1,1,1,1,0,1,0,9.03
1,1,1,1,1,1,1,1,1,1,0,0,8.97
1,1,1,1,1,1,1,1,1,1,1,0,9.02
1,1,0,0,0,0,0,0,0,0,0,0,7.26
1,0,1,0,0,0,0,0,0,0,0,0,7.22
1,0,0,1,0,0,0,0,0,0,0,0,7.25
1,0,0,0,1,0,0,0,0,0,0,0,7.21
1,0,0,0,0,1,0,0,0,0,0,0,6.73
1,0,0,0,0,0,1,0,0,0,0,0,7.29
1,0,0,0,0,0,0,1,0,0,0,0,7.27
1,0,0,0,0,0,0,0,1,0,0,0,8.36
1,0,0,0,0,0,0,0,0,1,0,0,7.21
1,0,0,0,0,0,0,0,0,0,1,0,7.22
1,0,0,0,0,0,0,0,0,0,0,1,7.22
0,1,1,0,0,0,0,0,0,0,0,0,11.56
0,1,0,1,0,0,0,0,0,0,0,0,11.53
0,1,0,0,1,0,0,0,0,0,0,0,11.53
