auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,0,0,0,0,0,0,10.02
0,1,0,0,0,0,0,0,0,0,0,0,19.67
0,0,1,0,0,0,0,0,0,0,0,0,18.9
0,0,0,1,0,0,0,0,0,0,0,0,18.79
0,0,0,0,1,0,0,0,0,0,0,0,18.74
0,0,0,0,0,1,0,0,0,0,0,0,26.41
0,0,0,0,0,0,1,0,0,0,0,0,18.57
0,0,0,0,0,0,0,1,0,0,0,0,18.74
0,0,0,0,0,0,0,0,1,0,0,0,33.18
0,0,0,0,0,0,0,0,0,1,0,0,18.73
0,0,0,0,0,0,0,0,0,0,1,0,18.83
0,0,0,0,0,0,0,0,0,0,0,1,18.82
0,1,1,1,1,1,1,1,1,1,1,0,84.7
1,0,1,1,1,1,1,1,1,1,1,0,22.35
1,1,0,1,1,1,1,1,1,1,1,0,36.36
1,1,1,0,1,1,1,1,1,1,1,0,36.96
1,1,1,1,0,1,1,1,1,1,1,0,36.81
1,1,1,1,1,0,1,1,1,1,1,0,14.52
1,1,1,1,1,1,0,1,1,1,1,0,36.38
1,1,1,1,1,1,1,0,1,1,1,0,36.84
1,1,1,1,1,1,1,1,0,1,1,0,37.19
1,1,1,1,1,1,1,1,1,0,1,0,36.39
1,1,1,1,1,1,1,1,1,1,0,0,36.61
1,1,1,1,1,1,1,1,1,1,1,0,36.78
1,1,0,0,0,0,0,0,0,0,0,0,7.88
1,0,1,0,0,0,0,0,0,0,0,0,10.01
1,0,0,1,0,0,0,0,0,0,0,0,9.99
1,0,0,0,1,0,0,0,0,0,0,0,9.98
1,0,0,0,0,1,0,0,0,0,0,0,11.76
1,0,0,0,0,0,1,0,0,0,0,0,10.04
1,0,0,0,0,0,0,1,0,0,0,0,10.01
1,0,0,0,0,0,0,0,1,0,0,0,18.67
1,0,0,0,0,0,0,0,0,1,0,0,10.06
1,0,0,0,0,0,0,0,0,0,1,0,9.99
1,0,0,0,0,0,0,0,0,0,0,1,9.98
0,1,1,0,0,0,0,0,0,0,0,0,19.7
0,1,0,1,0,0,0,0,0,0,0,0,19.45
0,1,0,0,1,0,0,0,0,0,0,0,19.75
0,1,0,0,0,1,0,0,0,0,0,0,54.24
0,1,0,0,0,0,1,0,0,0,0,0,19.7
0,1,0,0,0,0,0,1,0,0,0,0,19.67
0,1,0,0,0,0,0,0,1,0,0,0,35.98
0,1,0,0,0,0,0,0,0,1,0,0,19.88
0,1,0,0,0,0,0,0,0,0,1,0,19.72
0,1,0,0,0,0,0,0,0,0,0,1,19.85
0,0,1,1,0,0,0,0,0,0,0,0,18.87
0,0,1,0,1,0,0,0,0,0,0,0,18.72
0,0,1,0,0,1,0,0,0,0,0,0,26.28
0,0,1,0,0,0,1,0,0,0,0,0,18.69
0,0,1,0,0,0,0,1,0,0,0,0,18.88
0,0,1,0,0,0,0,0,1,0,0,0,32.96
0,0,1,0,0,0,0,0,0,1,0,0,18.71
0,0,1,0,0,0,0,0,0,0,1,0,18.84
0,0,1,0,0,0,0,0,0,0,0,1,18.71
0,0,0,1,1,0,0,0,0,0,0,0,18.84
0,0,0,1,0,1,0,0,0,0,0,0,26.35
0,0,0,1,0,0,1,0,0,0,0,0,18.7
0,0,0,1,0,0,0,1,0,0,0,0,18.7
0,0,0,1,0,0,0,0,1,0,0,0,33.1
0,0,0,1,0,0,0,0,0,1,0,0,18.81
0,0,0,1,0,0,0,0,0,0,1,0,18.92
0,0,0,1,0,0,0,0,0,0,0,1,18.81
0,0,0,0,1,1,0,0,0,0,0,0,26.39
0,0,0,0,1,0,1,0,0,0,0,0,18.85
0,0,0,0,1,0,0,1,0,0,0,0,18.73
0,0,0,0,1,0,0,0,1,0,0,0,32.96
0,0,0,0,1,0,0,0,0,1,0,0,18.74
0,0,0,0,1,0,0,0,0,0,1,0,18.93
0,0,0,0,1,0,0,0,0,0,0,1,18.88
0,0,0,0,0,1,1,0,0,0,0,0,26.41
0,0,0,0,0,1,0,1,0,0,0,0,26.43
0,0,0,0,0,1,0,0,1,0,0,0,46.44
0,0,0,0,0,1,0,0,0,1,0,0,26.27
0,0,0,0,0,1,0,0,0,0,1,0,19.01
0,0,0,0,0,1,0,0,0,0,0,1,26.47
0,0,0,0,0,0,1,1,0,0,0,0,18.72
0,0,0,0,0,0,1,0,1,0,0,0,32.74
0,0,0,0,0,0,1,0,0,1,0,0,18.71
0,0,0,0,0,0,1,0,0,0,1,0,18.92
0,0,0,0,0,0,1,0,0,0,0,1,18.78
0,0,0,0,0,0,0,1,1,0,0,0,33.05
0,0,0,0,0,0,0,1,0,1,0,0,18.85
0,0,0,0,0,0,0,1,0,0,1,0,18.78
0,0,0,0,0,0,0,1,0,0,0,1,18.72
0,0,0,0,0,0,0,0,1,1,0,0,33.08
0,0,0,0,0,0,0,0,1,0,1,0,33.22
0,0,0,0,0,0,0,0,1,0,0,1,33.01
0,0,0,0,0,0,0,0,0,1,1,0,18.8
0,0,0,0,0,0,0,0,0,1,0,1,18.76
0,0,0,0,0,0,0,0,0,0,1,1,18.88
0,0,1,1,1,1,1,1,1,1,1,0,35.88
