auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,0,0,0,0,0,0,4.32
0,1,0,0,0,0,0,0,0,0,0,0,3.89
0,0,1,0,0,0,0,0,0,0,0,0,3.9
0,0,0,1,0,0,0,0,0,0,0,0,3.87
0,0,0,0,1,0,0,0,0,0,0,0,3.89
0,0,0,0,0,1,0,0,0,0,0,0,24.5
0,0,0,0,0,0,1,0,0,0,0,0,3.88
0,0,0,0,0,0,0,1,0,0,0,0,3.88
0,0,0,0,0,0,0,0,1,0,0,0,9.87
0,0,0,0,0,0,0,0,0,1,0,0,3.92
0,0,0,0,0,0,0,0,0,0,1,0,12.27
0,0,0,0,0,0,0,0,0,0,0,1,3.9
0,1,1,1,1,1,1,1,1,1,1,0,939.62
1,0,1,1,1,1,1,1,1,1,1,0,49.58
1,1,0,1,1,1,1,1,1,1,1,0,208.35
1,1,1,0,1,1,1,1,1,1,1,0,207.96
1,1,1,1,0,1,1,1,1,1,1,0,208.07
1,1,1,1,1,0,1,1,1,1,1,0,18.95
1,1,1,1,1,1,0,1,1,1,1,0,207.81
1,1,1,1,1,1,1,0,1,1,1,0,208.43
1,1,1,1,1,1,1,1,0,1,1,0,186.92
1,1,1,1,1,1,1,1,1,0,1,0,208.31
1,1,1,1,1,1,1,1,1,1,0,0,207.11
1,1,1,1,1,1,1,1,1,1,1,0,207.7
1,1,0,0,0,0,0,0,0,0,0,0,4.32
1,0,1,0,0,0,0,0,0,0,0,0,4.33
1,0,0,1,0,0,0,0,0,0,0,0,4.36
1,0,0,0,1,0,0,0,0,0,0,0,4.37
1,0,0,0,0,1,0,0,0,0,0,0,20.29
1,0,0,0,0,0,1,0,0,0,0,0,4.37
1,0,0,0,0,0,0,1,0,0,0,0,4.33
1,0,0,0,0,0,0,0,1,0,0,0,14.24
1,0,0,0,0,0,0,0,0,1,0,0,4.3
1,0,0,0,0,0,0,0,0,0,1,0,5.33
1,0,0,0,0,0,0,0,0,0,0,1,4.32
0,1,1,0,0,0,0,0,0,0,0,0,3.89
0,1,0,1,0,0,0,0,0,0,0,0,3.9
0,1,0,0,1,0,0,0,0,0,0,0,3.89
0,1,0,0,0,1,0,0,0,0,0,0,913.54
0,1,0,0,0,0,1,0,0,0,0,0,3.9
0,1,0,0,0,0,0,1,0,0,0,0,3.9
0,1,0,0,0,0,0,0,1,0,0,0,9.79
0,1,0,0,0,0,0,0,0,1,0,0,3.92
0,1,0,0,0,0,0,0,0,0,1,0,12.46
0,1,0,0,0,0,0,0,0,0,0,1,3.88
0,0,1,1,0,0,0,0,0,0,0,0,3.88
0,0,1,0,1,0,0,0,0,0,0,0,3.9
0,0,1,0,0,1,0,0,0,0,0,0,25.73
0,0,1,0,0,0,1,0,0,0,0,0,3.91
0,0,1,0,0,0,0,1,0,0,0,0,3.9
0,0,1,0,0,0,0,0,1,0,0,0,9.82
0,0,1,0,0,0,0,0,0,1,0,0,3.89
0,0,1,0,0,0,0,0,0,0,1,0,12.4
0,0,1,0,0,0,0,0,0,0,0,1,3.9
0,0,0,1,1,0,0,0,0,0,0,0,3.91
0,0,0,1,0,1,0,0,0,0,0,0,25.65
0,0,0,1,0,0,1,0,0,0,0,0,3.88
0,0,0,1,0,0,0,1,0,0,0,0,3.89
0,0,0,1,0,0,0,0,1,0,0,0,9.74
0,0,0,1,0,0,0,0,0,1,0,0,3.9
0,0,0,1,0,0,0,0,0,0,1,0,12.33
0,0,0,1,0,0,0,0,0,0,0,1,3.9
0,0,0,0,1,1,0,0,0,0,0,0,25.68
0,0,0,0,1,0,1,0,0,0,0,0,3.89
0,0,0,0,1,0,0,1,0,0,0,0,3.91
0,0,0,0,1,0,0,0,1,0,0,0,9.79
0,0,0,0,1,0,0,0,0,1,0,0,3.92
0,0,0,0,1,0,0,0,0,0,1,0,12.05
0,0,0,0,1,0,0,0,0,0,0,1,3.91
0,0,0,0,0,1,1,0,0,0,0,0,25.41
0,0,0,0,0,1,0,1,0,0,0,0,25.89
0,0,0,0,0,1,0,0,1,0,0,0,56.73
0,0,0,0,0,1,0,0,0,1,0,0,24.41
0,0,0,0,0,1,0,0,0,0,1,0,25.69
0,0,0,0,0,1,0,0,0,0,0,1,25.76
0,0,0,0,0,0,1,1,0,0,0,0,3.89
0,0,0,0,0,0,1,0,1,0,0,0,9.76
0,0,0,0,0,0,1,0,0,1,0,0,3.93
0,0,0,0,0,0,1,0,0,0,1,0,12.34
0,0,0,0,0,0,1,0,0,0,0,1,3.93
0,0,0,0,0,0,0,1,1,0,0,0,9.76
0,0,0,0,0,0,0,1,0,1,0,0,3.91
0,0,0,0,0,0,0,1,0,0,1,0,12.48
0,0,0,0,0,0,0,1,0,0,0,1,3.9
0,0,0,0,0,0,0,0,1,1,0,0,9.86
0,0,0,0,0,0,0,0,1,0,1,0,36.51
0,0,0,0,0,0,0,0,1,0,0,1,9.9
0,0,0,0,0,0,0,0,0,1,1,0,12.46
0,0,0,0,0,0,0,0,0,1,0,1,3.89
0,0,0,0,0,0,0,0,0,0,1,1,12.1
0,0,1,1,1,1,1,1,1,1,1,0,56.42
0,1,0,1,1,1,1,1,1,1,1,0,941.73
0,1,1,0,1,1,1,1,1,1,1,0,939.92
0,1,1,1,0,1,1,1,1,1,1,0,938.77
0,1,1,1,1,0,1,1,1,1,1,0,36.36
0,1,1,1,1,1,0,1,1,1,1,0,941.26
0,1,1,1,1,1,1,0,1,1,1,0,939.25
0,1,1,1,1,1,1,1,0,1,1,0,914.57
0,1,1,1,1,1,1,1,1,0,1,0,942.25
0,1,1,1,1,1,1,1,1,1,0,0,940.05
